generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
RootPopulationSizeScaler0	9568	10922	1	0.0263158	0.459839	
LeafPopulationSizeScaler0	11010	9457	1	0.0263158	2.11134	
RootPopulationSizeScaler1	9674	10729	1	0.0263158	0.460724	
LeafPopulationSizeScaler1	11340	9127	1	0.0263158	2.20609	
RootPopulationSizeScaler2	9968	10436	1	0.0263158	0.449632	
LeafPopulationSizeScaler2	12863	7492	1	0.0263158	2.22346	
RootPopulationSizeScaler3	9367	11056	1	0.0263158	0.475942	
LeafPopulationSizeScaler3	12034	8420	1	0.0263158	2.4226	
RootPopulationSizeScaler4	9573	10836	1	0.0263158	0.470782	
LeafPopulationSizeScaler4	11916	8533	1	0.0263158	3.04842	
RootPopulationSizeScaler5	9665	10686	1	0.0263158	0.459464	
LeafPopulationSizeScaler5	13289	7104	1	0.0263158	2.61099	
generation 70000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	18547	0	10	0.263158	none	
ConcentrationScaler	2659	3037	3	0.0789474	2.31785	
TimeSizeRateMixer	14498	16584	6	0.157895	0.348211	
TimeRootSizeMixer	16008	15725	6	0.157895	0.180634	
EventTimeScaler	61063	59868	1	0.0263158	1.8151	
RootPopulationSizeScaler0	11114	12732	1	0.0263158	0.460911	
LeafPopulationSizeScaler0	12742	11093	1	0.0263158	2.13283	
RootPopulationSizeScaler1	11259	12494	1	0.0263158	0.462503	
LeafPopulationSizeScaler1	13066	10771	1	0.0263158	2.23208	
RootPopulationSizeScaler2	11596	12198	1	0.0263158	0.452298	
LeafPopulationSizeScaler2	14782	8945	1	0.0263158	2.27006	
RootPopulationSizeScaler3	10924	12874	1	0.0263158	0.477349	
LeafPopulationSizeScaler3	13828	9936	1	0.0263158	2.46063	
RootPopulationSizeScaler4	11093	12680	1	0.0263158	0.47163	
LeafPopulationSizeScaler4	13688	10123	1	0.0263158	3.08918	
RootPopulationSizeScaler5	11251	12455	1	0.0263158	0.461433	
LeafPopulationSizeScaler5	15251	8502	1	0.0263158	2.66848	
generation 80000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	21211	0	10	0.263158	none	
ConcentrationScaler	3001	3465	3	0.0789474	2.31948	
TimeSizeRateMixer	16621	19013	6	0.157895	0.349447	
TimeRootSizeMixer	18129	18036	6	0.157895	0.181453	
EventTimeScaler	69548	68788	1	0.0263158	1.82684	
RootPopulationSizeScaler0	12685	14593	1	0.0263158	0.461905	
LeafPopulationSizeScaler0	14500	12726	1	0.0263158	2.15404	
RootPopulationSizeScaler1	12849	14331	1	0.0263158	0.463939	
LeafPopulationSizeScaler1	14842	12449	1	0.0263158	2.25564	
RootPopulationSizeScaler2	13257	13959	1	0.0263158	0.454609	
LeafPopulationSizeScaler2	16765	10401	1	0.0263158	2.31088	
RootPopulationSizeScaler3	12452	14775	1	0.0263158	0.477768	
LeafPopulationSizeScaler3	15654	11541	1	0.0263158	2.49219	
RootPopulationSizeScaler4	12687	14502	1	0.0263158	0.472829	
LeafPopulationSizeScaler4	15470	11758	1	0.0263158	3.12509	
RootPopulationSizeScaler5	12864	14283	1	0.0263158	0.463462	
LeafPopulationSizeScaler5	17244	9931	1	0.0263158	2.71795	
generation 90000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	23924	0	10	0.263158	none	
ConcentrationScaler	3354	3890	3	0.0789474	2.32003	
TimeSizeRateMixer	18767	21473	6	0.157895	0.350751	
TimeRootSizeMixer	20418	20404	6	0.157895	0.182551	
EventTimeScaler	78129	78056	1	0.0263158	1.83685	
RootPopulationSizeScaler0	14269	16440	1	0.0263158	0.462679	
LeafPopulationSizeScaler0	16202	14422	1	0.0263158	2.17011	
RootPopulationSizeScaler1	14402	16183	1	0.0263158	0.464876	
LeafPopulationSizeScaler1	16572	14101	1	0.0263158	2.27621	
RootPopulationSizeScaler2	14843	15772	1	0.0263158	0.456195	
LeafPopulationSizeScaler2	18648	11928	1	0.0263158	2.34355	
RootPopulationSizeScaler3	13934	16695	1	0.0263158	0.477627	
LeafPopulationSizeScaler3	17455	13139	1	0.0263158	2.5177	
RootPopulationSizeScaler4	14267	16318	1	0.0263158	0.473885	
LeafPopulationSizeScaler4	17291	13361	1	0.0263158	3.15763	
RootPopulationSizeScaler5	14397	16142	1	0.0263158	0.464354	
LeafPopulationSizeScaler5	19239	11349	1	0.0263158	2.76405	
generation 100000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	26505	0	10	0.263158	none	
ConcentrationScaler	3704	4337	3	0.0789474	2.32374	
TimeSizeRateMixer	20746	23893	6	0.157895	0.351191	
TimeRootSizeMixer	22603	22738	6	0.157895	0.183396	
EventTimeScaler	86160	87020	1	0.0263158	1.8427	
RootPopulationSizeScaler0	15847	18240	1	0.0263158	0.463823	
LeafPopulationSizeScaler0	17848	16165	1	0.0263158	2.18157	
RootPopulationSizeScaler1	16008	17979	1	0.0263158	0.466319	
LeafPopulationSizeScaler1	18258	15786	1	0.0263158	2.2915	
RootPopulationSizeScaler2	16438	17604	1	0.0263158	0.457247	
LeafPopulationSizeScaler2	20553	13422	1	0.0263158	2.37228	
RootPopulationSizeScaler3	15469	18552	1	0.0263158	0.478116	
LeafPopulationSizeScaler3	19235	14759	1	0.0263158	2.53857	
RootPopulationSizeScaler4	15813	18177	1	0.0263158	0.474722	
LeafPopulationSizeScaler4	19079	14957	1	0.0263158	3.18698	
RootPopulationSizeScaler5	15951	17989	1	0.0263158	0.465316	
LeafPopulationSizeScaler5	21172	12830	1	0.0263158	2.80051	
