Run	Gene_Length	Population_Size	Mutation_Rate	Prob_1_Event	Prob_2_Events	Prob_3_Events	Prob_4_Events	Prob_5_Events	Prob_6_Events	Mean_Divergence_PopA_PopB	Mean_Divergence_PopC_PopD	Mean_Divergence_PopE_PopF	Mean_Divergence_PopG_PopH	Mean_Divergence_PopI_PopJ	Mean_Divergence_PopK_PopL	Gene_Length	Population_Size	Mutation_Rate	Samples_Simulated_Per_Pop	True_Number_Events	True_Divergence_PopA_PopB	True_Divergence_PopC_PopD	True_Divergence_PopE_PopF	True_Divergence_PopG_PopH	True_Divergence_PopI_PopJ	True_Divergence_PopK_PopL
1	X	Y	Z	0.962038	0.035964	0.000999	0	0	0.000999	0.000015	0.000016	0.000016	0.000015	0.000015	0.000015	1000	10000	1.00E-08	10	3	10000	10000	50000	50000	90000	90000
2	X	Y	Z	0.928072	0.070929	0	0	0	0.000999	0.000014	0.000015	0.000015	0.000015	0.000025	0.000023	1000	10000	1.00E-08	10	3	10000	10000	50000	50000	90000	90000
3	X	Y	Z	0.971029	0.025974	0.001998	0	0	0.000999	0.000012	0.000007	0.000006	0.000007	0.000006	0.000006	1000	10000	1.00E-08	10	3	10000	10000	50000	50000	90000	90000
4	X	Y	Z	0.979021	0.01998	0	0	0	0.000999	0.000006	0.000007	0.000006	0.000006	0.000007	0.000006	1000	10000	1.00E-08	10	3	10000	10000	50000	50000	90000	90000
5	X	Y	Z	0.959041	0.038961	0.000999	0	0	0.000999	0.000012	0.000012	0.00002	0.000012	0.000012	0.000012	1000	10000	1.00E-08	10	3	10000	10000	50000	50000	90000	90000
6	X	Y	Z	0.922078	0.074925	0.001998	0	0	0.000999	0.00002	0.000032	0.00002	0.00002	0.00004	0.00002	1000	10000	1.00E-08	10	3	10000	10000	50000	50000	90000	90000
7	X	Y	Z	0.916084	0.074925	0.007992	0	0	0.000999	0.000046	0.000051	0.000045	0.000052	0.000045	0.00005	1000	10000	1.00E-08	10	3	10000	10000	50000	50000	90000	90000
8	X	Y	Z	0.955045	0.043956	0	0	0	0.000999	0.000031	0.00002	0.000021	0.00002	0.00002	0.00002	1000	10000	1.00E-08	10	3	10000	10000	50000	50000	90000	90000
9	X	Y	Z	0.947053	0.045954	0.005994	0	0	0.000999	0.000015	0.000016	0.000015	0.00002	0.000018	0.000015	1000	10000	1.00E-08	10	3	10000	10000	50000	50000	90000	90000
10	X	Y	Z	0.936064	0.061938	0.000999	0	0	0.000999	0.000017	0.000031	0.000024	0.000017	0.000017	0.000018	1000	10000	1.00E-08	10	3	10000	10000	50000	50000	90000	90000
11	X	Y	Z	0.899101	0.094905	0.004995	0	0	0.000999	0.000041	0.000043	0.000033	0.000033	0.000041	0.00004	1000	10000	1.00E-08	10	3	10000	10000	50000	50000	90000	90000
12	X	Y	Z	0.839161	0.151848	0.007992	0	0	0.000999	0.000094	0.000065	0.000062	0.00006	0.000061	0.000062	1000	10000	1.00E-08	10	3	10000	10000	50000	50000	90000	90000
13	X	Y	Z	0.9001	0.090909	0.006993	0.000999	0	0.000999	0.000042	0.000048	0.000026	0.000025	0.000025	0.000025	1000	10000	1.00E-08	10	3	10000	10000	50000	50000	90000	90000
