generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
RootPopulationSizeScaler0	9378	11333	1	0.0263158	0.481366	
LeafPopulationSizeScaler0	11663	9082	1	0.0263158	1.96936	
RootPopulationSizeScaler1	9763	10958	1	0.0263158	0.466815	
LeafPopulationSizeScaler1	12141	8611	1	0.0263158	3.08192	
RootPopulationSizeScaler2	9692	11051	1	0.0263158	0.459403	
LeafPopulationSizeScaler2	11370	9392	1	0.0263158	1.77427	
RootPopulationSizeScaler3	9905	10760	1	0.0263158	0.461822	
LeafPopulationSizeScaler3	12029	8736	1	0.0263158	1.90305	
RootPopulationSizeScaler4	9492	11173	1	0.0263158	0.47973	
LeafPopulationSizeScaler4	11606	9150	1	0.0263158	2.17587	
RootPopulationSizeScaler5	9431	11304	1	0.0263158	0.474572	
LeafPopulationSizeScaler5	12020	8634	1	0.0263158	2.57149	
generation 70000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	18425	0	10	0.263158	none	
ConcentrationScaler	2544	2865	3	0.0789474	2.61954	
TimeSizeRateMixer	7629	9094	6	0.157895	0.254793	
TimeRootSizeMixer	8946	7016	6	0.157895	0.120471	
EventTimeScaler	30744	31589	1	0.0263158	1.32221	
RootPopulationSizeScaler0	10931	13224	1	0.0263158	0.482034	
LeafPopulationSizeScaler0	13430	10748	1	0.0263158	1.99171	
RootPopulationSizeScaler1	11337	12837	1	0.0263158	0.467867	
LeafPopulationSizeScaler1	13958	10232	1	0.0263158	3.12596	
RootPopulationSizeScaler2	11286	12930	1	0.0263158	0.460639	
LeafPopulationSizeScaler2	13109	11124	1	0.0263158	1.79262	
RootPopulationSizeScaler3	11508	12592	1	0.0263158	0.463146	
LeafPopulationSizeScaler3	13900	10312	1	0.0263158	1.93157	
RootPopulationSizeScaler4	11085	13029	1	0.0263158	0.480824	
LeafPopulationSizeScaler4	13412	10795	1	0.0263158	2.20346	
RootPopulationSizeScaler5	10998	13196	1	0.0263158	0.475396	
LeafPopulationSizeScaler5	13865	10248	1	0.0263158	2.61096	
generation 80000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	21107	0	10	0.263158	none	
ConcentrationScaler	2893	3307	3	0.0789474	2.62359	
TimeSizeRateMixer	8687	10342	6	0.157895	0.255255	
TimeRootSizeMixer	10148	8053	6	0.157895	0.122077	
EventTimeScaler	34879	36299	1	0.0263158	1.32729	
RootPopulationSizeScaler0	12429	15060	1	0.0263158	0.482803	
LeafPopulationSizeScaler0	15115	12412	1	0.0263158	2.00862	
RootPopulationSizeScaler1	12898	14672	1	0.0263158	0.469504	
LeafPopulationSizeScaler1	15702	11837	1	0.0263158	3.16442	
RootPopulationSizeScaler2	12873	14699	1	0.0263158	0.462203	
LeafPopulationSizeScaler2	14821	12773	1	0.0263158	1.80914	
RootPopulationSizeScaler3	13041	14424	1	0.0263158	0.46422	
LeafPopulationSizeScaler3	15621	11904	1	0.0263158	1.95223	
RootPopulationSizeScaler4	12551	14921	1	0.0263158	0.48125	
LeafPopulationSizeScaler4	15131	12442	1	0.0263158	2.22383	
RootPopulationSizeScaler5	12484	15088	1	0.0263158	0.475791	
LeafPopulationSizeScaler5	15672	11789	1	0.0263158	2.645	
generation 90000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	23695	0	10	0.263158	none	
ConcentrationScaler	3270	3728	3	0.0789474	2.63218	
TimeSizeRateMixer	9680	11622	6	0.157895	0.255286	
TimeRootSizeMixer	11271	9152	6	0.157895	0.123042	
EventTimeScaler	38897	40894	1	0.0263158	1.3317	
RootPopulationSizeScaler0	14009	16911	1	0.0263158	0.48383	
LeafPopulationSizeScaler0	16828	14134	1	0.0263158	2.02552	
RootPopulationSizeScaler1	14497	16500	1	0.0263158	0.470697	
LeafPopulationSizeScaler1	17558	13446	1	0.0263158	3.20052	
RootPopulationSizeScaler2	14397	16592	1	0.0263158	0.462801	
LeafPopulationSizeScaler2	16566	14477	1	0.0263158	1.82288	
RootPopulationSizeScaler3	14611	16265	1	0.0263158	0.465404	
LeafPopulationSizeScaler3	17350	13594	1	0.0263158	1.96944	
RootPopulationSizeScaler4	14066	16839	1	0.0263158	0.4817	
LeafPopulationSizeScaler4	16926	14086	1	0.0263158	2.2435	
RootPopulationSizeScaler5	14030	16983	1	0.0263158	0.476333	
LeafPopulationSizeScaler5	17466	13430	1	0.0263158	2.67032	
generation 100000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	26360	0	10	0.263158	none	
ConcentrationScaler	3624	4165	3	0.0789474	2.6373	
TimeSizeRateMixer	10725	12883	6	0.157895	0.255551	
TimeRootSizeMixer	12502	10232	6	0.157895	0.124311	
EventTimeScaler	43065	45592	1	0.0263158	1.33634	
RootPopulationSizeScaler0	15477	18872	1	0.0263158	0.483546	
LeafPopulationSizeScaler0	18559	15821	1	0.0263158	2.0403	
RootPopulationSizeScaler1	16015	18353	1	0.0263158	0.47111	
LeafPopulationSizeScaler1	19302	15105	1	0.0263158	3.22499	
RootPopulationSizeScaler2	15956	18425	1	0.0263158	0.463937	
LeafPopulationSizeScaler2	18246	16181	1	0.0263158	1.83379	
RootPopulationSizeScaler3	16244	18031	1	0.0263158	0.466941	
LeafPopulationSizeScaler3	19095	15235	1	0.0263158	1.98515	
RootPopulationSizeScaler4	15614	18689	1	0.0263158	0.482351	
LeafPopulationSizeScaler4	18634	15809	1	0.0263158	2.25692	
RootPopulationSizeScaler5	15544	18864	1	0.0263158	0.476624	
LeafPopulationSizeScaler5	19226	15048	1	0.0263158	2.691	
