Run	Gene_Length	Population_Size	Mutation_Rate	Prob_1_Event	Prob_2_Events	Prob_3_Events	Prob_4_Events	Prob_5_Events	Prob_6_Events	Mean_Divergence_PopA_PopB	Mean_Divergence_PopC_PopD	Mean_Divergence_PopE_PopF	Mean_Divergence_PopG_PopH	Mean_Divergence_PopI_PopJ	Mean_Divergence_PopK_PopL	Gene_Length	Population_Size	Mutation_Rate	Samples_Simulated_Per_Pop	True_Number_Events	True_Divergence_PopA_PopB	True_Divergence_PopC_PopD	True_Divergence_PopE_PopF	True_Divergence_PopG_PopH	True_Divergence_PopI_PopJ	True_Divergence_PopK_PopL
1	X	Y	Z	0.436563	0.332667	0.168831	0.046953	0.012987	0.001998	0.000627	0.000635	0.000771	0.000794	0.000779	0.001093	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
2	X	Y	Z	0.621379	0.26973	0.080919	0.020979	0.005994	0.000999	0.000516	0.000587	0.000534	0.000528	0.000579	0.000622	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
3	X	Y	Z	0.113886	0.351648	0.318681	0.163836	0.042957	0.008991	0.000533	0.000594	0.000572	0.001641	0.001943	0.000764	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
4	X	Y	Z	0.07992	0.345654	0.340659	0.175824	0.050949	0.006993	0.00019	0.000633	0.000426	0.001032	0.001357	0.000754	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
5	X	Y	Z	0.71029	0.225774	0.050949	0.00999	0.000999	0.001998	0.000335	0.000343	0.000373	0.000335	0.000386	0.000339	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
6	X	Y	Z	0.030969	0.265734	0.345654	0.266733	0.080919	0.00999	0.000678	0.000643	0.002248	0.00123	0.00067	0.002743	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
7	X	Y	Z	0.739261	0.210789	0.03996	0.007992	0.000999	0.000999	0.000289	0.000293	0.000299	0.000292	0.000348	0.000316	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
8	X	Y	Z	0.372627	0.350649	0.194805	0.063936	0.016983	0.000999	0.00064	0.00064	0.000622	0.001187	0.000734	0.000948	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
9	X	Y	Z	0.16983	0.402597	0.268731	0.114885	0.036963	0.006993	0.000805	0.000898	0.000917	0.000692	0.001169	0.002069	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
10	X	Y	Z	0.107892	0.435564	0.306693	0.122877	0.024975	0.001998	0.000377	0.000398	0.000446	0.000383	0.001284	0.001587	1000	10000	1.00E-08	10	6	10000	30000	50000	70000	90000	110000
