model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,0,0,0,0	0.971111	0.971111	0.026104	1254.13
0,0,1,0,0,0	0.00444444	0.975556	0.007325	0.604995
0,1,0,0,0,0	0.00444444	0.98	0.007221	0.613772
0,0,0,0,1,0	0.00333333	0.983333	0.007457	0.445158
0,0,0,0,0,1	0.00333333	0.986667	0.0074	0.448612
0,0,0,1,0,0	0.00222222	0.988889	0.007423	0.297809
0,1,0,1,1,1	0.00222222	0.991111	0.001796	1.23785
0,0,0,1,1,1	0.00111111	0.992222	0.001245	0.892339
0,0,1,0,1,0	0.00111111	0.993333	0.001873	0.592773
0,0,1,1,1,1	0.00111111	0.994444	0.001831	0.606396
0,0,0,1,1,0	0.00111111	0.995556	0.001869	0.594044
0,0,0,1,0,1	0.00111111	0.996667	0.001791	0.619964
0,1,1,0,0,0	0.00111111	0.997778	0.001827	0.607726
0,1,1,0,1,0	0.00111111	0.998889	0.001179	0.942354
0,1,1,1,1,0	0.00111111	1	0.001879	0.590877
