generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
RootPopulationSizeScaler0	9575	10826	1	0.0263158	0.465886	
LeafPopulationSizeScaler0	12985	7383	1	0.0263158	1.9345	
RootPopulationSizeScaler1	9966	10440	1	0.0263158	0.435789	
LeafPopulationSizeScaler1	11909	8494	1	0.0263158	1.87075	
RootPopulationSizeScaler2	9567	10778	1	0.0263158	0.44303	
LeafPopulationSizeScaler2	11287	9109	1	0.0263158	1.83175	
RootPopulationSizeScaler3	9470	10871	1	0.0263158	0.460171	
LeafPopulationSizeScaler3	11170	9179	1	0.0263158	1.91968	
RootPopulationSizeScaler4	9609	10808	1	0.0263158	0.456189	
LeafPopulationSizeScaler4	11420	8993	1	0.0263158	2.22926	
RootPopulationSizeScaler5	9927	10462	1	0.0263158	0.448804	
LeafPopulationSizeScaler5	12800	7547	1	0.0263158	2.15803	
generation 70000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	18481	0	10	0.263158	none	
ConcentrationScaler	2666	2864	3	0.0789474	2.8552	
TimeSizeRateMixer	5215	5994	6	0.157895	0.19628	
TimeRootSizeMixer	5564	5749	6	0.157895	0.0195661	
EventTimeScaler	23591	19751	1	0.0263158	2.91479	
RootPopulationSizeScaler0	11094	12747	1	0.0263158	0.466473	
LeafPopulationSizeScaler0	14956	8832	1	0.0263158	1.9749	
RootPopulationSizeScaler1	11599	12230	1	0.0263158	0.437632	
LeafPopulationSizeScaler1	13695	10144	1	0.0263158	1.89493	
RootPopulationSizeScaler2	11157	12611	1	0.0263158	0.444795	
LeafPopulationSizeScaler2	12978	10844	1	0.0263158	1.85091	
RootPopulationSizeScaler3	10984	12794	1	0.0263158	0.460544	
LeafPopulationSizeScaler3	12931	10831	1	0.0263158	1.94371	
RootPopulationSizeScaler4	11189	12666	1	0.0263158	0.457865	
LeafPopulationSizeScaler4	13227	10620	1	0.0263158	2.25868	
RootPopulationSizeScaler5	11579	12226	1	0.0263158	0.451638	
LeafPopulationSizeScaler5	14787	8999	1	0.0263158	2.20465	
generation 80000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	21059	0	10	0.263158	none	
ConcentrationScaler	3043	3265	3	0.0789474	2.87141	
TimeSizeRateMixer	5943	6844	6	0.157895	0.196714	
TimeRootSizeMixer	6385	6590	6	0.157895	0.0196929	
EventTimeScaler	26670	22808	1	0.0263158	2.93916	
RootPopulationSizeScaler0	12686	14566	1	0.0263158	0.467607	
LeafPopulationSizeScaler0	16850	10376	1	0.0263158	2.00911	
RootPopulationSizeScaler1	13183	14087	1	0.0263158	0.439067	
LeafPopulationSizeScaler1	15468	11775	1	0.0263158	1.91663	
RootPopulationSizeScaler2	12746	14467	1	0.0263158	0.44575	
LeafPopulationSizeScaler2	14699	12551	1	0.0263158	1.87019	
RootPopulationSizeScaler3	12516	14704	1	0.0263158	0.460553	
LeafPopulationSizeScaler3	14681	12516	1	0.0263158	1.96243	
RootPopulationSizeScaler4	12696	14587	1	0.0263158	0.458562	
LeafPopulationSizeScaler4	14992	12293	1	0.0263158	2.28162	
RootPopulationSizeScaler5	13185	14049	1	0.0263158	0.453448	
LeafPopulationSizeScaler5	16743	10485	1	0.0263158	2.24485	
generation 90000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	23679	0	10	0.263158	none	
ConcentrationScaler	3417	3715	3	0.0789474	2.87252	
TimeSizeRateMixer	6688	7747	6	0.157895	0.197038	
TimeRootSizeMixer	7131	7422	6	0.157895	0.0197865	
EventTimeScaler	29769	25866	1	0.0263158	2.96164	
RootPopulationSizeScaler0	14275	16375	1	0.0263158	0.468842	
LeafPopulationSizeScaler0	18779	11867	1	0.0263158	2.03788	
RootPopulationSizeScaler1	14773	15904	1	0.0263158	0.440561	
LeafPopulationSizeScaler1	17306	13372	1	0.0263158	1.93671	
RootPopulationSizeScaler2	14377	16282	1	0.0263158	0.447339	
LeafPopulationSizeScaler2	16432	14236	1	0.0263158	1.88665	
RootPopulationSizeScaler3	14083	16541	1	0.0263158	0.461057	
LeafPopulationSizeScaler3	16402	14237	1	0.0263158	1.97689	
RootPopulationSizeScaler4	14219	16498	1	0.0263158	0.459203	
LeafPopulationSizeScaler4	16771	13943	1	0.0263158	2.30383	
RootPopulationSizeScaler5	14740	15935	1	0.0263158	0.454386	
LeafPopulationSizeScaler5	18621	12021	1	0.0263158	2.27618	
generation 100000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	26302	0	10	0.263158	none	
ConcentrationScaler	3784	4119	3	0.0789474	2.87951	
TimeSizeRateMixer	7437	8632	6	0.157895	0.197349	
TimeRootSizeMixer	7888	8309	6	0.157895	0.0198473	
EventTimeScaler	32906	28959	1	0.0263158	2.98194	
RootPopulationSizeScaler0	15874	18255	1	0.0263158	0.469707	
LeafPopulationSizeScaler0	20705	13410	1	0.0263158	2.06414	
RootPopulationSizeScaler1	16342	17787	1	0.0263158	0.441569	
LeafPopulationSizeScaler1	19084	15046	1	0.0263158	1.95253	
RootPopulationSizeScaler2	15962	18151	1	0.0263158	0.448076	
LeafPopulationSizeScaler2	18215	15911	1	0.0263158	1.90069	
RootPopulationSizeScaler3	15645	18466	1	0.0263158	0.461532	
LeafPopulationSizeScaler3	18114	15985	1	0.0263158	1.98952	
RootPopulationSizeScaler4	15785	18404	1	0.0263158	0.459988	
LeafPopulationSizeScaler4	18530	15637	1	0.0263158	2.32056	
RootPopulationSizeScaler5	16352	17775	1	0.0263158	0.455508	
LeafPopulationSizeScaler5	20426	13643	1	0.0263158	2.29983	
