model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,0,0,1,0	0.563333	0.563333	0.007436	172.201
0,1,0,0,2,0	0.0422222	0.605556	0.004769	9.19968
0,0,0,0,1,2	0.0377778	0.643333	0.004725	8.26994
0,0,0,1,2,0	0.0366667	0.68	0.004679	8.09664
0,1,1,1,2,1	0.0344444	0.714444	0.004712	7.53504
0,0,1,0,2,0	0.0288889	0.743333	0.00478	6.19374
0,1,0,0,1,0	0.0244444	0.767778	0.001839	13.6003
0,1,1,0,2,1	0.0133333	0.781111	0.001522	8.86527
0,1,0,1,2,0	0.0122222	0.793333	0.001553	7.95508
0,1,0,0,2,1	0.0122222	0.805556	0.001582	7.80903
0,0,1,1,2,0	0.0111111	0.816667	0.001665	6.73709
0,1,0,1,2,1	0.0111111	0.827778	0.001593	7.04209
0,1,1,1,2,0	0.00888889	0.836667	0.001557	5.75122
0,0,0,0,1,1	0.00888889	0.845556	0.001826	4.90265
0,1,1,0,2,0	0.00888889	0.854444	0.001595	5.61398
0,0,1,1,2,1	0.00777778	0.862222	0.001583	4.94399
0,1,0,2,3,0	0.00666667	0.868889	0.006353	1.0497
0,1,2,2,3,2	0.00666667	0.875556	0.006393	1.04309
0,0,0,1,2,3	0.00666667	0.882222	0.006523	1.02217
0,0,0,1,2,1	0.00666667	0.888889	0.001629	4.11325
0,1,2,1,3,1	0.00666667	0.895556	0.006419	1.03884
0,0,1,0,2,1	0.00666667	0.902222	0.00154	4.35135
0,0,0,0,0,0	0.00555556	0.907778	0.026153	0.208025
0,1,2,3,4,2	0.00555556	0.913333	0.019186	0.285594
0,1,0,0,2,3	0.00555556	0.918889	0.006316	0.878928
0,0,1,2,3,0	0.00444444	0.923333	0.006471	0.685427
0,1,2,0,3,0	0.00444444	0.927778	0.006342	0.69946
0,1,2,0,3,1	0.00444444	0.932222	0.003199	1.39106
0,0,1,1,2,3	0.00444444	0.936667	0.003156	1.41007
0,1,1,2,3,1	0.00444444	0.941111	0.006514	0.680873
0,0,1,0,2,3	0.00444444	0.945556	0.006402	0.692862
0,1,2,1,3,4	0.00333333	0.948889	0.018894	0.173668
0,1,2,1,3,0	0.00333333	0.952222	0.003216	1.03661
0,1,1,1,2,3	0.00333333	0.955556	0.006625	0.501483
0,1,0,2,3,1	0.00222222	0.957778	0.003125	0.710468
0,1,0,2,3,2	0.00222222	0.96	0.003245	0.684112
0,1,2,2,3,4	0.00222222	0.962222	0.018975	0.115147
0,1,2,2,3,0	0.00222222	0.964444	0.003249	0.683267
0,0,1,0,1,0	0.00222222	0.966667	0.001815	1.22486
0,0,1,1,0,1	0.00222222	0.968889	0.001254	1.77383
0,1,2,0,3,2	0.00222222	0.971111	0.003118	0.712068
0,0,1,2,1,0	0.00222222	0.973333	0.001583	1.4047
0,1,2,3,4,5	0.00222222	0.975556	0.153834	0.0122506
0,1,1,2,3,2	0.00222222	0.977778	0.003273	0.678241
0,1,1,2,0,1	0.00111111	0.978889	0.001561	0.711474
0,1,1,2,3,0	0.00111111	0.98	0.003202	0.346279
0,1,0,0,1,1	0.00111111	0.981111	0.001276	0.870633
0,1,0,0,1,2	0.00111111	0.982222	0.001573	0.706038
0,1,1,2,3,4	0.00111111	0.983333	0.018942	0.0576115
0,1,0,1,1,1	0.00111111	0.984444	0.001858	0.597567
0,1,0,1,2,3	0.00111111	0.985556	0.00322	0.344337
0,1,1,1,1,1	0.00111111	0.986667	0.007459	0.148016
0,1,2,0,3,3	0.00111111	0.987778	0.003238	0.342417
0,1,1,1,0,2	0.00111111	0.988889	0.001599	0.694539
0,0,1,1,0,0	0.00111111	0.99	0.00185	0.600156
0,1,1,1,0,1	0.00111111	0.991111	0.001843	0.60244
0,1,2,2,1,2	0.00111111	0.992222	0.001535	0.723544
0,1,1,1,0,0	0.00111111	0.993333	0.001246	0.891622
0,0,1,0,0,0	0.00111111	0.994444	0.00736	0.150022
0,1,0,2,3,4	0.00111111	0.995556	0.019083	0.0571776
0,1,2,3,3,3	0.00111111	0.996667	0.006505	0.169886
0,0,0,1,1,0	0.00111111	0.997778	0.001778	0.624505
0,1,2,3,4,3	0.00111111	0.998889	0.018809	0.0580267
0,1,0,0,0,1	0.00111111	1	0.001875	0.592139
