model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,0,0,0,0	0.883333	0.883333	0.025777	286.157
0,0,0,0,0,1	0.0244444	0.907778	0.007429	3.3478
0,0,0,0,1,0	0.02	0.927778	0.007323	2.76645
0,0,1,0,0,0	0.0177778	0.945556	0.007274	2.47015
0,0,1,0,0,1	0.01	0.955556	0.001803	5.59223
0,0,1,0,1,0	0.00555556	0.961111	0.001835	3.03888
0,0,0,0,1,1	0.00444444	0.965556	0.001931	2.30744
0,1,1,1,1,1	0.00333333	0.968889	0.007327	0.453115
0,1,0,0,0,0	0.00333333	0.972222	0.007332	0.452804
0,0,0,0,1,2	0.00222222	0.974444	0.004708	0.470834
0,1,1,0,1,1	0.00222222	0.976667	0.001804	1.23235
0,1,1,0,1,0	0.00222222	0.978889	0.001283	1.73368
0,0,1,0,1,1	0.00222222	0.981111	0.001258	1.76818
0,0,1,0,1,2	0.00222222	0.983333	0.001575	1.41185
0,0,1,1,1,0	0.00111111	0.984444	0.00123	0.903235
0,0,1,1,1,1	0.00111111	0.985556	0.001909	0.581573
0,0,1,1,0,0	0.00111111	0.986667	0.001776	0.625209
0,1,0,0,0,2	0.00111111	0.987778	0.00482	0.229665
0,1,0,0,1,0	0.00111111	0.988889	0.001841	0.603096
0,1,0,1,0,0	0.00111111	0.99	0.001879	0.590877
0,1,1,0,0,0	0.00111111	0.991111	0.001908	0.581879
0,1,1,0,0,1	0.00111111	0.992222	0.001251	0.888054
0,0,1,0,0,2	0.00111111	0.993333	0.004763	0.232427
0,0,0,1,1,0	0.00111111	0.994444	0.001783	0.62275
0,1,1,1,0,2	0.00111111	0.995556	0.00158	0.702905
0,1,1,1,1,0	0.00111111	0.996667	0.001911	0.580964
0,0,0,1,0,0	0.00111111	0.997778	0.007355	0.150125
0,1,2,1,0,2	0.00111111	0.998889	0.000784	1.4177
0,1,2,1,1,1	0.00111111	1	0.004678	0.23667
