model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,0,0,0,0	0.631111	0.631111	0.025824	64.5393
0,0,0,1,0,0	0.137778	0.768889	0.007192	22.0585
0,1,0,1,0,0	0.0455556	0.814444	0.001884	25.2866
0,1,0,0,0,0	0.0222222	0.836667	0.007306	3.08804
0,1,0,2,0,0	0.0222222	0.858889	0.004738	4.77408
0,1,0,1,0,1	0.0144444	0.873333	0.001268	11.5438
0,0,0,0,0,1	0.0122222	0.885556	0.007353	1.6704
0,0,0,1,0,1	0.00888889	0.894444	0.001901	4.70887
0,1,0,1,1,0	0.00777778	0.902222	0.001195	6.55178
0,1,1,1,1,1	0.00666667	0.908889	0.007501	0.888024
0,0,1,0,0,0	0.00555556	0.914444	0.007413	0.748034
0,0,0,1,0,2	0.00555556	0.92	0.004694	1.18457
0,1,0,1,0,2	0.00444444	0.924444	0.00163	2.73436
0,1,0,1,1,1	0.00444444	0.928889	0.001839	2.4231
0,1,1,1,1,0	0.00333333	0.932222	0.001826	1.82824
0,1,1,1,0,1	0.00333333	0.935556	0.001766	1.89047
0,1,0,2,0,3	0.00333333	0.938889	0.00647	0.513577
0,0,1,1,0,0	0.00333333	0.942222	0.001834	1.82026
0,1,0,1,2,2	0.00222222	0.944444	0.000811	2.74398
0,1,2,1,2,2	0.00222222	0.946667	0.001609	1.38197
0,0,0,0,1,0	0.00222222	0.948889	0.007403	0.29862
0,0,1,2,1,0	0.00222222	0.951111	0.001579	1.40827
0,0,0,1,1,0	0.00222222	0.953333	0.00189	1.17617
0,1,0,2,1,1	0.00222222	0.955556	0.001525	1.45821
0,1,0,0,1,1	0.00222222	0.957778	0.001243	1.78954
0,1,0,2,0,2	0.00222222	0.96	0.00162	1.37257
0,0,1,0,1,0	0.00222222	0.962222	0.001896	1.17244
0,0,1,1,1,2	0.00111111	0.963333	0.001546	0.718388
0,0,1,1,1,1	0.00111111	0.964444	0.001863	0.595961
0,0,1,1,0,1	0.00111111	0.965556	0.001287	0.863182
0,0,1,2,1,1	0.00111111	0.966667	0.001584	0.701127
0,0,1,2,0,0	0.00111111	0.967778	0.004622	0.239551
0,1,0,2,0,1	0.00111111	0.968889	0.001559	0.712388
0,0,1,2,0,1	0.00111111	0.97	0.001644	0.675498
0,0,0,1,2,0	0.00111111	0.971111	0.00475	0.233066
0,1,0,2,1,0	0.00111111	0.972222	0.001562	0.711018
0,1,0,0,1,0	0.00111111	0.973333	0.001873	0.592773
0,1,0,2,2,0	0.00111111	0.974444	0.001588	0.699358
0,1,0,2,2,1	0.00111111	0.975556	0.000777	1.43048
0,1,0,2,2,3	0.00111111	0.976667	0.003233	0.342948
0,1,0,2,3,0	0.00111111	0.977778	0.006528	0.169284
0,1,1,0,0,0	0.00111111	0.978889	0.0018	0.616858
0,1,1,0,0,1	0.00111111	0.98	0.00127	0.874751
0,1,1,0,1,0	0.00111111	0.981111	0.001246	0.891622
0,1,1,0,1,1	0.00111111	0.982222	0.00192	0.578235
0,1,0,0,0,1	0.00111111	0.983333	0.001801	0.616515
0,0,0,0,1,1	0.00111111	0.984444	0.001838	0.604082
0,0,1,2,1,3	0.00111111	0.985556	0.003249	0.341254
0,1,1,2,1,0	0.00111111	0.986667	0.001668	0.665762
0,1,1,2,1,1	0.00111111	0.987778	0.004717	0.234704
0,1,1,2,1,2	0.00111111	0.988889	0.001616	0.687221
0,1,1,2,2,1	0.00111111	0.99	0.001626	0.682988
0,1,2,0,2,2	0.00111111	0.991111	0.001589	0.698917
0,1,2,1,0,1	0.00111111	0.992222	0.001574	0.705588
0,1,2,1,2,1	0.00111111	0.993333	0.001547	0.717923
0,0,1,2,1,2	0.00111111	0.994444	0.000763	1.45675
0,1,2,1,2,3	0.00111111	0.995556	0.003197	0.346822
0,1,2,1,3,0	0.00111111	0.996667	0.003227	0.343588
0,1,2,2,0,2	0.00111111	0.997778	0.001612	0.688929
0,1,2,3,0,2	0.00111111	0.998889	0.003356	0.330338
0,1,2,3,2,1	0.00111111	1	0.003298	0.336167
