model	post_prob	cumulative_post_prob	prior_prob	bf
0,1,1,1,1,1	0.131111	0.131111	0.007355	20.3651
0,1,2,3,4,5	0.06	0.191111	0.153475	0.352067
0,1,1,1,2,1	0.0555556	0.246667	0.004821	12.1427
0,1,1,2,3,4	0.0455556	0.292222	0.019197	2.43859
0,1,1,1,2,2	0.0355556	0.327778	0.001612	22.8331
0,1,1,1,2,3	0.0322222	0.36	0.006519	5.07409
0,1,1,2,3,2	0.0311111	0.391111	0.003203	9.9929
0,1,2,2,2,2	0.03	0.421111	0.004786	6.43122
0,1,2,3,4,3	0.0255556	0.446667	0.019046	1.35074
0,1,2,1,1,1	0.0255556	0.472222	0.004605	5.66884
0,1,1,1,1,2	0.0222222	0.494444	0.004684	4.82938
0,1,2,3,4,4	0.0222222	0.516667	0.018974	1.17508
0,1,2,1,3,1	0.0188889	0.535556	0.006478	2.95274
0,1,2,2,3,2	0.0188889	0.554444	0.006508	2.93904
0,1,1,2,1,1	0.0188889	0.573333	0.004668	4.10512
0,1,1,2,3,1	0.0188889	0.592222	0.006436	2.97213
0,1,2,2,3,4	0.0177778	0.61	0.018862	0.941478
0,1,1,2,2,2	0.0166667	0.626667	0.001562	10.834
0,1,1,2,3,3	0.0166667	0.643333	0.003209	5.26481
0,1,2,3,4,1	0.0155556	0.658889	0.019188	0.807701
0,1,2,1,3,4	0.0155556	0.674444	0.018953	0.817911
0,1,2,3,4,2	0.0144444	0.688889	0.019045	0.754897
0,1,2,3,3,3	0.0144444	0.703333	0.006426	2.2661
0,1,2,3,3,4	0.0133333	0.716667	0.019143	0.692411
0,1,1,2,2,3	0.0122222	0.728889	0.00313	3.94081
0,1,2,2,3,3	0.0122222	0.741111	0.003187	3.8701
0,1,1,2,2,1	0.0122222	0.753333	0.001598	7.73071
0,1,2,3,1,1	0.0111111	0.764444	0.006301	1.77197
0,1,0,1,2,1	0.0111111	0.775556	0.001595	7.03325
0,1,2,1,3,3	0.0111111	0.786667	0.003268	3.42694
0,1,0,2,3,4	0.0111111	0.797778	0.019333	0.569944
0,1,2,3,3,2	0.01	0.807778	0.003259	3.08932
0,1,2,3,2,2	0.01	0.817778	0.006447	1.55668
0,1,2,1,2,2	0.00888889	0.826667	0.001556	5.75492
0,1,2,1,1,3	0.00888889	0.835556	0.006381	1.39655
0,1,1,2,1,3	0.00777778	0.843333	0.00642	1.21315
0,1,2,1,3,2	0.00777778	0.851111	0.00318	2.45718
0,1,0,2,3,2	0.00777778	0.858889	0.003184	2.45408
0,0,0,0,1,0	0.00777778	0.866667	0.007225	1.07711
0,1,0,1,1,1	0.00666667	0.873333	0.00183	3.66073
0,1,2,1,2,3	0.00555556	0.878889	0.003173	1.75508
0,1,0,1,2,2	0.00555556	0.884444	0.000786	7.10204
0,1,2,3,2,4	0.00555556	0.89	0.019103	0.286859
0,0,0,1,1,1	0.00555556	0.895556	0.001252	4.45655
0,1,2,2,2,1	0.00444444	0.9	0.001607	2.77356
0,1,0,2,2,2	0.00444444	0.904444	0.001557	2.86277
0,1,2,3,3,1	0.00444444	0.908889	0.003249	1.36958
0,0,0,0,1,1	0.00444444	0.913333	0.001794	2.48399
0,1,0,1,2,3	0.00444444	0.917778	0.003276	1.35826
0,1,2,2,2,3	0.00444444	0.922222	0.006398	0.693298
0,1,0,2,3,3	0.00444444	0.926667	0.003127	1.42319
0,1,2,2,3,1	0.00444444	0.931111	0.003243	1.37213
0,1,2,3,2,3	0.00444444	0.935556	0.003263	1.36369
0,0,0,0,0,0	0.00333333	0.938889	0.025865	0.125961
0,1,0,2,3,1	0.00333333	0.942222	0.00317	1.0517
0,0,0,0,1,2	0.00333333	0.945556	0.004728	0.704033
0,0,1,1,1,1	0.00333333	0.948889	0.001847	1.80742
0,1,1,2,1,2	0.00333333	0.952222	0.001618	2.0637
0,1,0,2,1,3	0.00333333	0.955556	0.003143	1.06076
0,1,2,3,1,4	0.00333333	0.958889	0.019093	0.171823
0,0,0,1,1,2	0.00333333	0.962222	0.00167	1.99934
0,1,2,3,1,2	0.00333333	0.965556	0.003308	1.00768
0,1,2,2,1,2	0.00222222	0.967778	0.001619	1.37342
0,1,2,2,1,1	0.00222222	0.97	0.001526	1.45726
0,0,1,2,3,2	0.00222222	0.972222	0.003132	0.708875
0,1,2,1,1,2	0.00222222	0.974444	0.001535	1.4487
0,0,1,1,1,2	0.00222222	0.976667	0.001652	1.34594
0,0,0,1,2,2	0.00222222	0.978889	0.001634	1.36079
0,0,1,1,2,3	0.00222222	0.981111	0.003345	0.663594
0,0,1,0,2,0	0.00111111	0.982222	0.004599	0.240755
0,0,1,0,2,2	0.00111111	0.983333	0.001551	0.716068
0,1,2,2,1,3	0.00111111	0.984444	0.003174	0.349344
0,0,1,1,1,0	0.00111111	0.985556	0.001255	0.88522
0,1,2,3,2,1	0.00111111	0.986667	0.003206	0.345846
0,1,0,2,2,1	0.00111111	0.987778	0.000751	1.48004
0,1,2,1,2,1	0.00111111	0.988889	0.001541	0.720722
0,1,2,0,3,4	0.00111111	0.99	0.018824	0.0579796
0,0,1,2,1,1	0.00111111	0.991111	0.001601	0.69367
0,0,1,2,2,2	0.00111111	0.992222	0.001592	0.697598
0,0,0,1,2,1	0.00111111	0.993333	0.001594	0.696721
0,1,0,0,2,3	0.00111111	0.994444	0.006521	0.169467
0,1,0,1,1,2	0.00111111	0.995556	0.001628	0.682148
0,1,0,2,1,1	0.00111111	0.996667	0.001629	0.681728
0,1,0,2,3,0	0.00111111	0.997778	0.00637	0.17351
0,1,0,2,2,3	0.00111111	0.998889	0.003242	0.341993
0,1,2,1,3,0	0.00111111	1	0.003298	0.336167
