generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
RootPopulationSizeScaler0	9711	10992	1	0.0263158	0.469919	
LeafPopulationSizeScaler0	12891	7921	1	0.0263158	2.40074	
RootPopulationSizeScaler1	9902	10700	1	0.0263158	0.454067	
LeafPopulationSizeScaler1	11738	8995	1	0.0263158	2.69538	
RootPopulationSizeScaler2	9902	10853	1	0.0263158	0.460733	
LeafPopulationSizeScaler2	11399	9345	1	0.0263158	1.54923	
RootPopulationSizeScaler3	9669	11010	1	0.0263158	0.468929	
LeafPopulationSizeScaler3	11785	8953	1	0.0263158	2.22498	
RootPopulationSizeScaler4	9933	10769	1	0.0263158	0.463099	
LeafPopulationSizeScaler4	11471	9284	1	0.0263158	2.2833	
RootPopulationSizeScaler5	9531	11193	1	0.0263158	0.469079	
LeafPopulationSizeScaler5	12115	8664	1	0.0263158	1.96636	
generation 70000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	18189	0	10	0.263158	none	
ConcentrationScaler	2433	2968	3	0.0789474	2.20115	
TimeSizeRateMixer	17276	19889	6	0.157895	0.349915	
TimeRootSizeMixer	18899	18890	6	0.157895	0.299904	
EventTimeScaler	70975	71402	1	0.0263158	1.49806	
RootPopulationSizeScaler0	11291	12885	1	0.0263158	0.471373	
LeafPopulationSizeScaler0	14824	9411	1	0.0263158	2.44345	
RootPopulationSizeScaler1	11524	12540	1	0.0263158	0.456333	
LeafPopulationSizeScaler1	13554	10635	1	0.0263158	2.73289	
RootPopulationSizeScaler2	11495	12732	1	0.0263158	0.462289	
LeafPopulationSizeScaler2	13200	11017	1	0.0263158	1.56756	
RootPopulationSizeScaler3	11236	12891	1	0.0263158	0.470237	
LeafPopulationSizeScaler3	13628	10587	1	0.0263158	2.25585	
RootPopulationSizeScaler4	11571	12597	1	0.0263158	0.465144	
LeafPopulationSizeScaler4	13227	10959	1	0.0263158	2.30856	
RootPopulationSizeScaler5	11153	13020	1	0.0263158	0.470784	
LeafPopulationSizeScaler5	13929	10274	1	0.0263158	1.99362	
generation 80000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
