parameter	burnin	psrf	ess_concat	ess_0
ln_likelihood	1	-	886.6017461225968	886.6017461225968
concentration	1	-	649.6506407215858	649.6506407215858
ln_likelihood_PopulationA	1	-	856.6638767182093	856.6638767182093
root_height_PopulationA	1	-	922.5699455663128	922.5699455663128
pop_size_PopulationA	1	-	765.8093464082222	765.8093464082222
pop_size_PopulationB	1	-	843.7569469752716	843.7569469752716
pop_size_root_PopulationA	1	-	740.5468270397126	740.5468270397126
ln_likelihood_PopulationC	1	-	863.6804160126799	863.6804160126799
root_height_PopulationC	1	-	1000.0	1000.0
pop_size_PopulationC	1	-	700.089195576086	700.089195576086
pop_size_PopulationD	1	-	797.933445752765	797.933445752765
pop_size_root_PopulationC	1	-	937.8908145169585	937.8908145169585
ln_likelihood_PopulationE	1	-	760.2697206630029	760.2697206630029
root_height_PopulationE	1	-	1000.0	1000.0
pop_size_PopulationE	1	-	853.2481988405206	853.2481988405206
pop_size_PopulationF	1	-	1000.0	1000.0
pop_size_root_PopulationE	1	-	1000.0	1000.0
ln_likelihood_PopulationG	1	-	1000.0	1000.0
root_height_PopulationG	1	-	938.7907222285669	938.7907222285669
pop_size_PopulationG	1	-	966.817764218011	966.817764218011
pop_size_PopulationH	1	-	985.7086157474115	985.7086157474115
pop_size_root_PopulationG	1	-	1000.0	1000.0
ln_likelihood_PopulationI	1	-	1000.0	1000.0
root_height_PopulationI	1	-	709.9027906455879	709.9027906455879
pop_size_PopulationI	1	-	1000.0	1000.0
pop_size_PopulationJ	1	-	991.5458887955773	991.5458887955773
pop_size_root_PopulationI	1	-	670.2631543256924	670.2631543256924
ln_likelihood_PopulationK	1	-	859.0119307392455	859.0119307392455
root_height_PopulationK	1	-	1000.0	1000.0
pop_size_PopulationK	1	-	886.1293088040295	886.1293088040295
pop_size_PopulationL	1	-	1000.0	1000.0
pop_size_root_PopulationK	1	-	1000.0	1000.0
ln_likelihood	100	-	901.0	901.0
concentration	100	-	853.7167922173207	853.7167922173207
ln_likelihood_PopulationA	100	-	901.0	901.0
root_height_PopulationA	100	-	901.0	901.0
pop_size_PopulationA	100	-	753.7534343717049	753.7534343717049
pop_size_PopulationB	100	-	712.3913017120962	712.3913017120962
pop_size_root_PopulationA	100	-	901.0	901.0
ln_likelihood_PopulationC	100	-	901.0	901.0
root_height_PopulationC	100	-	901.0	901.0
pop_size_PopulationC	100	-	701.8818430418672	701.8818430418672
pop_size_PopulationD	100	-	848.2709968851069	848.2709968851069
pop_size_root_PopulationC	100	-	901.0	901.0
ln_likelihood_PopulationE	100	-	733.8350920364953	733.8350920364953
root_height_PopulationE	100	-	901.0	901.0
pop_size_PopulationE	100	-	685.6897887976817	685.6897887976817
pop_size_PopulationF	100	-	901.0	901.0
pop_size_root_PopulationE	100	-	901.0	901.0
ln_likelihood_PopulationG	100	-	901.0	901.0
root_height_PopulationG	100	-	626.4102463077409	626.4102463077409
pop_size_PopulationG	100	-	901.0	901.0
pop_size_PopulationH	100	-	810.5704975856654	810.5704975856654
pop_size_root_PopulationG	100	-	901.0	901.0
ln_likelihood_PopulationI	100	-	792.0806044284217	792.0806044284217
root_height_PopulationI	100	-	901.0	901.0
pop_size_PopulationI	100	-	794.1688620412767	794.1688620412767
pop_size_PopulationJ	100	-	809.9318636631497	809.9318636631497
pop_size_root_PopulationI	100	-	676.3461756514242	676.3461756514242
ln_likelihood_PopulationK	100	-	901.0	901.0
root_height_PopulationK	100	-	901.0	901.0
pop_size_PopulationK	100	-	901.0	901.0
pop_size_PopulationL	100	-	901.0	901.0
pop_size_root_PopulationK	100	-	901.0	901.0
