generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_PopulationA	ln_likelihood_PopulationA	ln_prior_PopulationA	root_height_PopulationA	mutation_rate_PopulationA	freq_1_PopulationA	pop_size_PopulationA	pop_size_PopulationB	pop_size_root_PopulationA	root_height_index_PopulationC	ln_likelihood_PopulationC	ln_prior_PopulationC	root_height_PopulationC	mutation_rate_PopulationC	freq_1_PopulationC	pop_size_PopulationC	pop_size_PopulationD	pop_size_root_PopulationC	root_height_index_PopulationE	ln_likelihood_PopulationE	ln_prior_PopulationE	root_height_PopulationE	mutation_rate_PopulationE	freq_1_PopulationE	pop_size_PopulationE	pop_size_PopulationF	pop_size_root_PopulationE	root_height_index_PopulationG	ln_likelihood_PopulationG	ln_prior_PopulationG	root_height_PopulationG	mutation_rate_PopulationG	freq_1_PopulationG	pop_size_PopulationG	pop_size_PopulationH	pop_size_root_PopulationG	root_height_index_PopulationI	ln_likelihood_PopulationI	ln_prior_PopulationI	root_height_PopulationI	mutation_rate_PopulationI	freq_1_PopulationI	pop_size_PopulationI	pop_size_PopulationJ	pop_size_root_PopulationI	root_height_index_PopulationK	ln_likelihood_PopulationK	ln_prior_PopulationK	root_height_PopulationK	mutation_rate_PopulationK	freq_1_PopulationK	pop_size_PopulationK	pop_size_PopulationL	pop_size_root_PopulationK
0	-4590.08949860514622	94.0687681358670744	6	5.8795551357813105	0	-765.097670394459215	14.4865292396130627	0.00146547656220248623	1	0.5	2.13617750890828897e-05	2.13617750890828897e-05	2.34659064601009496e-05	1	-749.053075560781281	11.6201632861534723	5.68394701420082057e-05	1	0.5	0.000706628369204525186	0.000706628369204525186	0.000899226826574102173	2	-747.650833153713506	13.9780212986681054	0.000406988956879708933	1	0.5	0.000367215305950686118	0.000367215305950686118	0.000388623311191379139	3	-761.006499678303044	12.1524605645773889	0.00111971796677963671	1	0.5	0.000855890191628054888	0.000855890191628054888	0.00101951465784458893	4	-792.981106935216417	8.31402626157676394	0.0145934148563455924	1	0.5	0.00305773169876583876	0.00305773169876583876	0.00341203676624371064	5	-774.300312882673438	13.1601816171785373	0.0111791537718032869	1	0.5	0.000704998232484321265	0.000704998232484321265	0.000768928193717921581
100	-4469.96475018656565	72.7745712756827885	1	0.771879087366408201	0	-754.244881482214964	12.2768373919659179	1.42010686248128145e-05	1	0.5	1.81608941780301077e-05	2.36264770891698268e-05	2.77982204878541442e-05	0	-747.190806910978381	13.3872753243138014	1.42010686248128145e-05	1	0.5	0.000614904090535220047	0.000678658521598069268	0.000581036285469283898	0	-745.224991567405482	14.1128803034690282	1.42010686248128145e-05	1	0.5	0.000394263430486185113	0.00035350864598926088	0.000365061475425550077	0	-745.423115016015004	12.9612241742763175	1.42010686248128145e-05	1	0.5	0.000859525675115737384	0.000784749612526320739	0.000726195901326726154	0	-739.056593314879251	6.83646296786024976	1.42010686248128145e-05	1	0.5	0.00287053778092932277	0.0021201001470274039	0.00168271600343965514	0	-738.82436189507257	12.8975335112921048	1.42010686248128145e-05	1	0.5	0.000597774479211868564	0.000766070607291562187	0.000778352338003360711
200	-4466.5635913860533	73.7147657642251772	1	0.486774604967493474	0	-753.074935387406299	9.57106334529995095	2.27143651536238227e-06	1	0.5	2.12379450384371271e-05	2.01498288528952603e-05	3.11672037057521921e-05	0	-747.11888195354959	13.0207170046312264	2.27143651536238227e-06	1	0.5	0.000446921221794092612	0.000762101003019670397	0.000692667941144508898	0	-745.096478478570248	13.8276907308821286	2.27143651536238227e-06	1	0.5	0.000432638201713346168	0.000560048077243504509	0.000506488720860466405	0	-744.887009623369863	13.4913065758614898	2.27143651536238227e-06	1	0.5	0.000633326982306479567	0.000728401842967477228	0.000655300543280022902	0	-738.847440749104294	10.1595361502808093	2.27143651536238227e-06	1	0.5	0.00223599926159971955	0.00181033131333557546	0.00167591234283705117	0	-737.538845194053465	13.2393871801711356	2.27143651536238227e-06	1	0.5	0.000529498336475389209	0.000608772748074637112	0.000483037657647529767
300	-4459.33174147243881	78.199456503616716	1	2.14344849206975896	0	-748.836631596552365	14.5459453370470548	5.3040702608480933e-06	1	0.5	0.00010335606831120289	8.99921657056825756e-05	8.82195551352809551e-05	0	-748.096325983598035	12.018057861212494	5.3040702608480933e-06	1	0.5	0.000466094852231643179	0.00111207413977646406	0.000962553256294828566	0	-745.001955405101853	13.5634431647319875	5.3040702608480933e-06	1	0.5	0.000363975212088552772	0.000932069841006012549	0.000640037503259792114	0	-745.176799422022441	13.1626516890368848	5.3040702608480933e-06	1	0.5	0.00093076233536660679	0.000721172499074444924	0.000774731920475942937	0	-734.356199589208813	12.1600744609031004	5.3040702608480933e-06	1	0.5	0.00151667214778425158	0.00051460439611304904	0.000839714840191231994	0	-737.863829475955754	13.5979276979535868	5.3040702608480933e-06	1	0.5	0.000641680714462556441	0.000572643977842129709	0.000568874984949776391
400	-4457.68871215822764	78.605344610858026	1	0.677094698647694782	0	-749.626195304668272	14.5513534326704423	2.81327264159866763e-06	1	0.5	7.31160191501746196e-05	8.33623022112844864e-05	7.07708951327384959e-05	0	-746.72236845265013	13.1959359065180344	2.81327264159866763e-06	1	0.5	0.000415348111414634037	0.000636608065638768713	0.000438159744531844573	0	-745.497449792980319	9.44722778577012079	2.81327264159866763e-06	1	0.5	0.000771974639976979321	0.000362194677915388195	0.00082143679116463298	0	-745.400210418774691	12.9447201132651557	2.81327264159866763e-06	1	0.5	0.000913199748489268567	0.000996179758744314154	0.000919999906753065332	0	-733.10165492160354	13.7346114004143089	2.81327264159866763e-06	1	0.5	0.000789577601195783226	0.000332872058551306822	0.000543069836869526559	0	-737.340833267550693	14.3780139088647729	2.81327264159866763e-06	1	0.5	8.74740701858714204e-05	0.000296692695937081385	0.000200450251236105128
500	-4456.49788278634423	79.5648639867629583	1	0.377064218809855634	0	-745.193868315679197	14.0093130378677238	1.0168135451363284e-05	1	0.5	0.000394015907643691544	0.000449399712612947558	0.000420906410743718035	0	-747.358606462064131	13.0486124598186883	1.0168135451363284e-05	1	0.5	0.000308034359101690548	0.0012624037646031881	0.000695557971974249535	0	-745.929017531204181	13.385320297864407	1.0168135451363284e-05	1	0.5	0.000256664787683264569	0.000295501842362834205	0.000221375476994900501	0	-745.935964965073822	11.1811307564889724	1.0168135451363284e-05	1	0.5	0.000982834838924284779	0.000502545366264341522	0.000967916985139136371	0	-734.376770340039229	13.1346429826879536	1.0168135451363284e-05	1	0.5	0.000773519883869968066	0.000946756844350621742	0.000829743046795878886	0	-737.70365517228413	14.4245032997852345	1.0168135451363284e-05	1	0.5	5.87080665747969187e-05	0.000323654357719560721	0.000196301721326837931
600	-4454.88330263616808	78.3021861511196278	1	0.689674842354540796	0	-745.084294560767603	12.4634817282194028	7.77958704705921114e-06	1	0.5	0.000180653521667711625	0.00117756496146347272	0.000537699219121445912	0	-747.099081266550684	11.5095311098531496	7.77958704705921114e-06	1	0.5	0.000323589737233488282	0.00133518176155292484	0.000617449619037653444	0	-744.950368654352019	13.7485455436152613	7.77958704705921114e-06	1	0.5	0.000218533532422556431	0.000544629860054763877	0.000420393775577199819	0	-746.267448354488465	13.6015953840978199	7.77958704705921114e-06	1	0.5	0.000403541619246644567	0.000157968436916757307	0.000324224909370285689	0	-734.127307935454837	12.7603037098357817	7.77958704705921114e-06	1	0.5	0.000892137370638865072	0.000460206311753175363	0.000785301821598409066	0	-737.35480186455402	13.8716806962082657	7.77958704705921114e-06	1	0.5	0.000113838196488056406	0.000633887751405149877	0.00033119807409212257
700	-4454.76266974420923	76.1339045862566337	1	5.67644130646152423	0	-745.07897323688303	12.2741080524896002	4.11440721997185255e-06	1	0.5	0.000490855936097561339	0.000976342566527507358	0.000575987462769282014	0	-747.010240707926641	13.4966150155390991	4.11440721997185255e-06	1	0.5	0.000836918011407012134	0.000331103371021245537	0.000625106867333895082	0	-745.299925928231232	13.5688610432581704	4.11440721997185255e-06	1	0.5	0.000652980917750063607	0.000305248571637359452	0.00041683096083774691	0	-745.816653202000566	13.1018867307957549	4.11440721997185255e-06	1	0.5	0.000246266489845566429	0.000464839090154972666	0.000281256653561591584	0	-734.295456694322183	13.0472866349427594	4.11440721997185255e-06	1	0.5	0.00091217189931647809	0.000855158966476192548	0.000828863096251522915	0	-737.261419974845808	14.3556044357906742	4.11440721997185255e-06	1	0.5	0.000297501227463220443	0.000205325939502281626	0.000248908800718560625
800	-4453.18107139142921	78.82354381046963	1	0.490481076164928365	0	-745.428814782534801	12.5597306340161996	5.5348980459861697e-06	1	0.5	0.000949686953050617958	0.000348779705172705726	0.000773792319743096617	0	-746.927019303434463	13.8463212673548544	5.5348980459861697e-06	1	0.5	0.000746976391051356226	0.000126585542099101714	0.000461356401725554303	0	-745.405592683642453	12.0799996213878149	5.5348980459861697e-06	1	0.5	6.93161767324649647e-05	0.000634003970070819308	0.000253764470985094856	0	-745.052338892191187	12.9592463953993899	5.5348980459861697e-06	1	0.5	0.000999828729901301424	0.000504848240504544138	0.00064737079761678076	0	-732.710787557428375	14.091139230568885	5.5348980459861697e-06	1	0.5	0.000557426599347889433	0.000208951162764119239	0.00038001015885896788	0	-737.656518172198162	12.8824657184306623	5.5348980459861697e-06	1	0.5	0.000302183027750397388	9.92558441701435891e-05	0.000150926672806428583
900	-4454.52787378561243	82.7767723225569796	1	0.867173322998732843	0	-745.688297773148861	14.1354668284250362	1.43869226269888948e-05	1	0.5	7.12206323820361941e-05	0.000647131512724340423	0.000358046493585492567	0	-747.112972575812364	13.4503470648423562	1.43869226269888948e-05	1	0.5	0.000528629615841031894	0.000460958822081061401	0.00042407791153435925	0	-745.034188686675179	13.7485937179531454	1.43869226269888948e-05	1	0.5	0.000557422238778669922	0.000468291415345962667	0.00053308977124033141	0	-745.605199920204313	13.1774175880074083	1.43869226269888948e-05	1	0.5	0.000551246048625093888	0.000979339130698007833	0.00081082177747842472	0	-732.983919701534887	14.3739836897806637	1.43869226269888948e-05	1	0.5	0.000161008301887627581	0.00025069423949134308	0.000213125633732785423	0	-738.103295128236027	13.648815540566158	1.43869226269888948e-05	1	0.5	0.000130983956248670785	0.00104693002585336085	0.000599029431824582115
