generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_PopulationA	ln_likelihood_PopulationA	ln_prior_PopulationA	root_height_PopulationA	mutation_rate_PopulationA	freq_1_PopulationA	pop_size_PopulationA	pop_size_PopulationB	pop_size_root_PopulationA	root_height_index_PopulationC	ln_likelihood_PopulationC	ln_prior_PopulationC	root_height_PopulationC	mutation_rate_PopulationC	freq_1_PopulationC	pop_size_PopulationC	pop_size_PopulationD	pop_size_root_PopulationC	root_height_index_PopulationE	ln_likelihood_PopulationE	ln_prior_PopulationE	root_height_PopulationE	mutation_rate_PopulationE	freq_1_PopulationE	pop_size_PopulationE	pop_size_PopulationF	pop_size_root_PopulationE	root_height_index_PopulationG	ln_likelihood_PopulationG	ln_prior_PopulationG	root_height_PopulationG	mutation_rate_PopulationG	freq_1_PopulationG	pop_size_PopulationG	pop_size_PopulationH	pop_size_root_PopulationG	root_height_index_PopulationI	ln_likelihood_PopulationI	ln_prior_PopulationI	root_height_PopulationI	mutation_rate_PopulationI	freq_1_PopulationI	pop_size_PopulationI	pop_size_PopulationJ	pop_size_root_PopulationI	root_height_index_PopulationK	ln_likelihood_PopulationK	ln_prior_PopulationK	root_height_PopulationK	mutation_rate_PopulationK	freq_1_PopulationK	pop_size_PopulationK	pop_size_PopulationL	pop_size_root_PopulationK
0	-4497.84308314332247	83.9066633726506552	6	0.886638311677055757	0	-753.473899230866209	14.3962189861245697	0.0131199781360490583	1	0.5	0.0002096594022673864	0.0002096594022673864	0.000196743532602531641	1	-723.487544643246224	12.0029742580892602	0.00192212956109130348	1	0.5	0.000196495524150573864	0.000196495524150573864	0.000137764801243304795	2	-772.462300249039686	10.5521580296676234	0.00844613236432048727	1	0.5	0.00179386518512896767	0.00179386518512896767	0.00207707480033583964	3	-746.101292099042894	9.68949135726867894	0.00541944908469253663	1	0.5	0.00225050767227135805	0.00225050767227135805	0.00186048176736689484	4	-754.82675194823878	9.78313362751180904	0.0046679129721846806	1	0.5	0.00250439747910796229	0.00250439747910796229	0.00258692599768209786	5	-747.49129497288834	14.332433941356058	0.0135929061332665298	1	0.5	0.000224066382628095202	0.000224066382628095202	0.00023240686269663052
100	-4428.17328186105897	88.2383680918016609	4	2.02867939504416306	0	-723.595190209675025	14.5127412939459504	6.52344954754462543e-05	1	0.5	0.000148907876037699213	0.000159516920385950405	0.000157302898046694469	1	-723.378615536568986	14.4255643590120446	0.00176274540085228867	1	0.5	0.000178942796227287522	0.000138722911961025065	0.0001666982444913983	1	-759.400759126016624	12.2578531406670912	0.00176274540085228867	1	0.5	0.00126590175669861115	0.00129503867995641678	0.00130765756986057978	2	-737.910394667847413	11.5399213123905877	0.000884085815112538938	1	0.5	0.00216908108749347406	0.00114620874421138665	0.00164955643995190991	1	-746.415163377788645	10.9207803952287552	0.00176274540085228867	1	0.5	0.00162652758493710744	0.0019957988210222888	0.00158036592993994821	3	-737.47315894316182	14.1978135331803728	0.00443489390505652763	1	0.5	0.000209524525045126593	0.000231312137297434663	0.000196080578826687921
200	-4412.50494127143975	80.0484173725875934	3	2.91188109229574899	0	-724.474620466392139	14.598198648230797	6.23848323263802941e-05	1	0.5	0.000116531274592088514	9.46463664209066797e-05	0.000108299162950780637	0	-720.72170409827288	14.2909832211694514	6.23848323263802941e-05	1	0.5	0.000104927084916925251	0.00025179470087708614	0.000158988281265635744	1	-755.83344090549474	12.8171548704871086	0.00248766596819572413	1	0.5	0.000623543889551792093	0.0010394836938622564	0.00092074112272403578	1	-729.042055196289198	10.9399402241524886	0.00248766596819572413	1	0.5	0.000771757710792467938	0.000675925205126553835	0.000959229138242195171	2	-742.856037057911749	11.9166736007255167	0.00613803960309771031	1	0.5	0.00101617778001710586	0.00112007690756519445	0.00124854492330133196	1	-739.577083547079269	10.6269085428708898	0.00248766596819572413	1	0.5	0.000329443654373149264	0.00036354394520106241	0.000226284099458322292
300	-4393.2221525080613	97.6587948040318992	5	11.4092080487076917	0	-724.224415001827083	13.5885948144859405	0.000117312490501878132	1	0.5	0.000127386846502036195	0.000255471571291530691	0.000154087720084782048	1	-720.842217273371716	13.0522074910257793	0.000376592515655930799	1	0.5	0.000148913563024092059	0.000385948555231771582	0.000326470616098805853	2	-753.456653833267978	13.6477854754756116	0.00149532518443985969	1	0.5	0.00035334582801922938	0.000802131543274244474	0.000594111988561397378	3	-723.631158883947478	14.2343876457701626	0.00165095137864167216	1	0.5	0.00016895300008141413	0.000261133766276377402	0.000230183994598813561	2	-734.248555151229539	13.3877614620761332	0.00149532518443985969	1	0.5	0.000656790827242601438	0.000485314678972916501	0.000497068613876687363	4	-736.819152364417164	14.4848384893131126	0.003880557485333452	1	0.5	0.0002290519344755809	0.000116043485458651495	0.000163148134269460192
400	-4390.43849271573526	94.0956314775925904	4	7.76585585209993745	0	-723.015539636000312	13.9092393857960861	6.97501225885005635e-06	1	0.5	7.17425408247251647e-05	7.43966954485224296e-05	8.53896480407329109e-05	1	-722.144350172604049	14.2427262040759057	0.000415863547514656157	1	0.5	2.58069724286971495e-05	0.000527300614431374997	0.000257285963702171504	2	-753.229573059549352	13.4527552482925987	0.0012542402760326722	1	0.5	0.000304264629534497719	0.00090832526131080153	0.000648857360142772238	2	-723.130942135024156	13.9982200782743256	0.0012542402760326722	1	0.5	0.000122159822201367178	0.000209664429303378224	0.00018771811024548705	2	-732.87281343977088	13.702536801430206	0.0012542402760326722	1	0.5	0.000489008811726478762	0.000322960732630284738	0.00044707299524610213	3	-736.045274272786628	14.7054039970999462	0.0047546027865428735	1	0.5	0.00013079398853533297	2.42930270650718356e-05	7.56521860104632579e-05
500	-4390.88612850660866	87.2071382459138391	3	10.8389425170753437	0	-721.975229974470381	14.2625807889648346	5.29020355662418066e-06	1	0.5	0.000131603940054839574	0.000215070091661106452	0.000187675649082345728	1	-724.390447831662527	12.2344894464303842	0.000682170743328532688	1	0.5	0.000785520772669271068	0.00072000923603000725	0.000906952477131933396	2	-752.500978583529673	13.9873723643674523	0.00247758130736885863	1	0.5	4.80886019013118435e-05	0.000791293746776333792	0.000426863005400711598	2	-724.119349162147159	14.4068249795654282	0.00247758130736885863	1	0.5	7.23285403267574063e-05	0.000381658698540441688	0.000223043692715237546	2	-731.78312043114272	14.1471361962189306	0.00247758130736885863	1	0.5	0.000327170259379166474	0.000163271677730506958	0.000218092939121791154	2	-736.117002523656538	14.5317887336300515	0.00247758130736885863	1	0.5	6.71860622441292473e-05	7.75137880572497205e-05	6.49267817594857542e-05
600	-4398.20491956537353	99.4605464328822393	5	2.94321832914695491	0	-723.187325822195476	14.3857185335515538	4.85678572361972807e-05	1	0.5	0.000129628497039723981	0.000173969949889128076	0.000161565581337534984	0	-721.901211370219471	14.2252752471373363	4.85678572361972807e-05	1	0.5	0.000509568990876271073	9.81332413997636942e-05	0.000287819423641010811	1	-757.801423034658114	13.5837376499621705	0.00590214513490744386	1	0.5	5.67900029776464464e-05	0.00121338746449713825	0.000633018966210890542	2	-725.345035998327717	14.3889558780717017	0.00271228862930652289	1	0.5	0.000309169248062080785	0.000150937072033485535	0.000220515280239452831	3	-731.856086751544012	14.0257943344938862	0.00120729254777340628	1	0.5	0.000347346755442292656	0.000139590077933523821	0.000211271370121475234	4	-738.113836588428967	13.7676671205227734	0.00327511282059683674	1	0.5	0.000561475089743236145	5.16870789153098811e-06	0.000320378191909064989
700	-4389.59554264854251	88.9130746933856244	3	7.03098654014514057	0	-724.115722223708758	14.187975745922083	0.000164715641011530678	1	0.5	0.000329321936838621314	0.000309551355819459757	0.00030150784084322698	0	-721.062682550321483	13.4447394238517823	0.000164715641011530678	1	0.5	0.000384263908647448438	0.000309257678467113556	0.000284752261661556233	1	-753.179737342726639	14.3347929432775629	0.00154433389679944672	1	0.5	9.07837196375194848e-05	0.000305081948640367176	0.000208467562286400432	1	-724.28586128227073	14.4011223240085791	0.00154433389679944672	1	0.5	0.000310133950546602239	0.000138705604650652824	0.000215299417935384474	1	-730.245392175464872	14.3025536345169915	0.00154433389679944672	1	0.5	9.96732925513132859e-05	0.000216765727088123571	0.000140151319637497711	2	-736.706147074050136	14.4577964595217914	0.00406132343550089873	1	0.5	0.000288856429226111346	3.04627707793717288e-05	0.000165800374925544568
800	-4392.69903424350196	92.0341098401534481	4	4.39041814346835224	0	-723.564617244504689	12.6067913918995842	2.37750027462608961e-05	1	0.5	0.000855084887852382747	0.000981897721757012034	0.000787712825025677966	1	-721.91980530779631	13.446091305168995	0.000574967466279980026	1	0.5	0.000557172055540870173	0.00041272055295898133	0.000414042165166208446	2	-752.225896643939564	13.0904971783376975	0.000743129689873850787	1	0.5	5.94271043685072164e-05	0.00151219070908845186	0.000702779023553594569	3	-727.508121393763872	13.3179217121369717	0.00201321864298765725	1	0.5	0.000770664760720716135	0.000423987662915346496	0.000657988847245164952	3	-730.257860114592404	14.4184704940773507	0.00201321864298765725	1	0.5	3.67057919508599002e-05	0.000363608399815685624	0.000188125367977637218	3	-737.222733538905345	14.0730149181818547	0.00201321864298765725	1	0.5	0.000189839100519661628	3.66298277554686789e-05	9.5007098456371955e-05
900	-4390.74792468420037	88.7225520255108506	3	3.78389025287612135	0	-724.842751938994752	13.5515055984230717	0.000252546939651386029	1	0.5	0.000293312355825481113	0.000495727925823085031	0.000445750374784756526	0	-720.621227440399139	14.5406650462550076	0.000252546939651386029	1	0.5	9.0049037313890887e-05	0.000133128580030402604	0.00011638830394662023	1	-752.741170575651381	13.845662516731025	0.00259620797673526136	1	0.5	5.35825247126345917e-05	0.000653427191541094661	0.000386764100166142578	2	-723.693420861974005	14.727604508729458	0.00221944685324888379	1	0.5	3.92333175658781641e-05	7.50582574152149019e-05	5.44542015879314714e-05	1	-731.564991604078841	12.7588279113218555	0.00259620797673526136	1	0.5	0.000137949336594158934	0.000518849182732424182	0.000249858996293823203	1	-737.284362263101912	14.2857590611200358	0.00259620797673526136	1	0.5	0.000305938766018438958	4.88454225462352153e-05	0.000157871365370521158
