model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,0,0,0,0	0.916667	0.916667	0.026192	408.976
0,0,0,1,0,0	0.0166667	0.933333	0.007332	2.29472
0,0,0,0,0,1	0.0155556	0.948889	0.007241	2.1664
0,1,0,0,0,0	0.00777778	0.956667	0.007467	1.04195
0,0,1,0,0,0	0.00666667	0.963333	0.007273	0.916073
0,1,1,1,1,1	0.00555556	0.968889	0.007374	0.75202
0,0,1,1,1,1	0.00222222	0.971111	0.001887	1.17804
0,0,0,0,1,0	0.00222222	0.973333	0.007519	0.293979
0,1,0,0,0,1	0.00222222	0.975556	0.001837	1.21017
0,0,1,0,0,1	0.00222222	0.977778	0.001859	1.19582
0,0,0,0,1,1	0.00222222	0.98	0.001899	1.17059
0,0,1,1,1,0	0.00222222	0.982222	0.001179	1.88681
0,0,1,1,0,1	0.00111111	0.983333	0.001265	0.878213
0,0,1,0,1,0	0.00111111	0.984444	0.001892	0.586809
0,0,0,1,1,0	0.00111111	0.985556	0.001874	0.592456
0,0,1,0,0,2	0.00111111	0.986667	0.004814	0.229953
0,0,0,1,0,1	0.00111111	0.987778	0.001793	0.619271
0,1,0,0,0,2	0.00111111	0.988889	0.004607	0.240335
0,1,0,0,1,0	0.00111111	0.99	0.001797	0.61789
0,1,0,0,1,1	0.00111111	0.991111	0.001227	0.905446
0,1,0,0,2,0	0.00111111	0.992222	0.00463	0.239135
0,1,0,0,2,2	0.00111111	0.993333	0.001595	0.696284
0,1,0,1,0,0	0.00111111	0.994444	0.001835	0.605071
0,1,0,1,0,1	0.00111111	0.995556	0.001201	0.925072
0,1,1,0,0,1	0.00111111	0.996667	0.001292	0.859837
0,0,0,1,2,0	0.00111111	0.997778	0.004839	0.228759
0,1,1,1,2,2	0.00111111	0.998889	0.001606	0.691507
0,1,2,0,0,0	0.00111111	1	0.004819	0.229713
