generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
RootPopulationSizeScaler0	10137	10370	1	0.0263158	0.444449	
LeafPopulationSizeScaler0	11738	8752	1	0.0263158	1.91904	
RootPopulationSizeScaler1	10036	10347	1	0.0263158	0.446356	
LeafPopulationSizeScaler1	12511	7988	1	0.0263158	2.09527	
RootPopulationSizeScaler2	9569	10940	1	0.0263158	0.466698	
LeafPopulationSizeScaler2	11927	8553	1	0.0263158	2.12741	
RootPopulationSizeScaler3	9632	10873	1	0.0263158	0.470557	
LeafPopulationSizeScaler3	10989	9463	1	0.0263158	1.73813	
RootPopulationSizeScaler4	9656	10907	1	0.0263158	0.471456	
LeafPopulationSizeScaler4	11226	9280	1	0.0263158	2.14576	
RootPopulationSizeScaler5	9853	10655	1	0.0263158	0.461972	
LeafPopulationSizeScaler5	10880	9596	1	0.0263158	1.51467	
generation 70000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	18301	0	10	0.263158	none	
ConcentrationScaler	2517	2916	3	0.0789474	1.97032	
TimeSizeRateMixer	21466	25336	6	0.157895	0.374333	
TimeRootSizeMixer	22263	23997	6	0.157895	0.382679	
EventTimeScaler	85481	92265	1	0.0263158	1.0368	
RootPopulationSizeScaler0	11732	12227	1	0.0263158	0.446703	
LeafPopulationSizeScaler0	13638	10322	1	0.0263158	1.94998	
RootPopulationSizeScaler1	11677	12189	1	0.0263158	0.448805	
LeafPopulationSizeScaler1	14441	9481	1	0.0263158	2.13377	
RootPopulationSizeScaler2	11118	12827	1	0.0263158	0.467728	
LeafPopulationSizeScaler2	13769	10163	1	0.0263158	2.16095	
RootPopulationSizeScaler3	11163	12789	1	0.0263158	0.471494	
LeafPopulationSizeScaler3	12709	11197	1	0.0263158	1.75403	
RootPopulationSizeScaler4	11223	12781	1	0.0263158	0.472641	
LeafPopulationSizeScaler4	12997	10964	1	0.0263158	2.16989	
RootPopulationSizeScaler5	11419	12529	1	0.0263158	0.463197	
LeafPopulationSizeScaler5	12543	11349	1	0.0263158	1.52722	
generation 80000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	20904	0	10	0.263158	none	
ConcentrationScaler	2874	3333	3	0.0789474	1.97429	
TimeSizeRateMixer	24518	28980	6	0.157895	0.375111	
TimeRootSizeMixer	25412	27535	6	0.157895	0.38426	
EventTimeScaler	97431	105807	1	0.0263158	1.04035	
RootPopulationSizeScaler0	13406	13990	1	0.0263158	0.448484	
LeafPopulationSizeScaler0	15477	11906	1	0.0263158	1.97568	
RootPopulationSizeScaler1	13282	14016	1	0.0263158	0.450365	
LeafPopulationSizeScaler1	16296	11067	1	0.0263158	2.16305	
RootPopulationSizeScaler2	12690	14675	1	0.0263158	0.468515	
LeafPopulationSizeScaler2	15641	11742	1	0.0263158	2.189	
RootPopulationSizeScaler3	12746	14663	1	0.0263158	0.472606	
LeafPopulationSizeScaler3	14441	12885	1	0.0263158	1.76885	
RootPopulationSizeScaler4	12774	14672	1	0.0263158	0.472964	
LeafPopulationSizeScaler4	14674	12707	1	0.0263158	2.18806	
RootPopulationSizeScaler5	13030	14369	1	0.0263158	0.465143	
LeafPopulationSizeScaler5	14250	13084	1	0.0263158	1.53885	
generation 90000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	23559	0	10	0.263158	none	
ConcentrationScaler	3213	3737	3	0.0789474	1.97832	
TimeSizeRateMixer	27482	32591	6	0.157895	0.375699	
TimeRootSizeMixer	28486	30989	6	0.157895	0.385618	
EventTimeScaler	109248	119380	1	0.0263158	1.04349	
RootPopulationSizeScaler0	14965	15853	1	0.0263158	0.449573	
LeafPopulationSizeScaler0	17273	13555	1	0.0263158	1.99567	
RootPopulationSizeScaler1	14916	15793	1	0.0263158	0.451835	
LeafPopulationSizeScaler1	18159	12636	1	0.0263158	2.19124	
RootPopulationSizeScaler2	14286	16489	1	0.0263158	0.469577	
LeafPopulationSizeScaler2	17466	13332	1	0.0263158	2.21247	
RootPopulationSizeScaler3	14336	16489	1	0.0263158	0.473704	
LeafPopulationSizeScaler3	16084	14631	1	0.0263158	1.77885	
RootPopulationSizeScaler4	14407	16490	1	0.0263158	0.474594	
LeafPopulationSizeScaler4	16350	14454	1	0.0263158	2.20112	
RootPopulationSizeScaler5	14602	16206	1	0.0263158	0.466175	
LeafPopulationSizeScaler5	15912	14803	1	0.0263158	1.54689	
generation 100000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	26199	0	10	0.263158	none	
ConcentrationScaler	3570	4168	3	0.0789474	1.98291	
TimeSizeRateMixer	30272	36118	6	0.157895	0.375989	
TimeRootSizeMixer	31403	34359	6	0.157895	0.386479	
EventTimeScaler	120575	132716	1	0.0263158	1.04573	
RootPopulationSizeScaler0	16581	17619	1	0.0263158	0.451077	
LeafPopulationSizeScaler0	19022	15168	1	0.0263158	2.01403	
RootPopulationSizeScaler1	16486	17579	1	0.0263158	0.453127	
LeafPopulationSizeScaler1	19974	14224	1	0.0263158	2.21567	
RootPopulationSizeScaler2	15910	18248	1	0.0263158	0.470943	
LeafPopulationSizeScaler2	19232	14926	1	0.0263158	2.23228	
RootPopulationSizeScaler3	15826	18356	1	0.0263158	0.474249	
LeafPopulationSizeScaler3	17748	16344	1	0.0263158	1.7882	
RootPopulationSizeScaler4	15945	18330	1	0.0263158	0.475172	
LeafPopulationSizeScaler4	18046	16144	1	0.0263158	2.21375	
RootPopulationSizeScaler5	16206	17982	1	0.0263158	0.467799	
LeafPopulationSizeScaler5	17582	16504	1	0.0263158	1.55587	
