generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
RootPopulationSizeScaler0	9599	10919	1	0.0263158	0.471627	
LeafPopulationSizeScaler0	12141	8421	1	0.0263158	2.51493	
RootPopulationSizeScaler1	9953	10688	1	0.0263158	0.454982	
LeafPopulationSizeScaler1	12928	7622	1	0.0263158	2.27983	
RootPopulationSizeScaler2	9583	10986	1	0.0263158	0.478556	
LeafPopulationSizeScaler2	11895	8678	1	0.0263158	2.28632	
RootPopulationSizeScaler3	9859	10716	1	0.0263158	0.451336	
LeafPopulationSizeScaler3	11535	9035	1	0.0263158	1.57977	
RootPopulationSizeScaler4	9622	10926	1	0.0263158	0.46376	
LeafPopulationSizeScaler4	11318	9241	1	0.0263158	1.71833	
RootPopulationSizeScaler5	9614	10970	1	0.0263158	0.472876	
LeafPopulationSizeScaler5	12657	7957	1	0.0263158	2.30157	
generation 70000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	18314	0	10	0.263158	none	
ConcentrationScaler	2672	2814	3	0.0789474	2.55027	
TimeSizeRateMixer	8364	9973	6	0.157895	0.278222	
TimeRootSizeMixer	9093	9603	6	0.157895	0.24467	
EventTimeScaler	34282	36298	1	0.0263158	1.43191	
RootPopulationSizeScaler0	11216	12787	1	0.0263158	0.473076	
LeafPopulationSizeScaler0	14058	10020	1	0.0263158	2.55447	
RootPopulationSizeScaler1	11576	12569	1	0.0263158	0.457032	
LeafPopulationSizeScaler1	14847	9162	1	0.0263158	2.32438	
RootPopulationSizeScaler2	11121	12961	1	0.0263158	0.478656	
LeafPopulationSizeScaler2	13780	10282	1	0.0263158	2.32231	
RootPopulationSizeScaler3	11507	12563	1	0.0263158	0.453401	
LeafPopulationSizeScaler3	13335	10757	1	0.0263158	1.59795	
RootPopulationSizeScaler4	11196	12847	1	0.0263158	0.464763	
LeafPopulationSizeScaler4	13073	10982	1	0.0263158	1.73457	
RootPopulationSizeScaler5	11203	12894	1	0.0263158	0.473518	
LeafPopulationSizeScaler5	14694	9441	1	0.0263158	2.34872	
generation 80000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
