parameter	burnin	psrf	ess_concat	ess_0
ln_likelihood	1	-	746.9303210089058	746.9303210089058
concentration	1	-	584.4705726239774	584.4705726239774
ln_likelihood_PopulationA	1	-	689.9917780561591	689.9917780561591
root_height_PopulationA	1	-	1000.0	1000.0
pop_size_PopulationA	1	-	547.6282956012856	547.6282956012856
pop_size_PopulationB	1	-	919.9834943214768	919.9834943214768
pop_size_root_PopulationA	1	-	913.8499785709334	913.8499785709334
ln_likelihood_PopulationC	1	-	988.6363403246992	988.6363403246992
root_height_PopulationC	1	-	820.6933705290879	820.6933705290879
pop_size_PopulationC	1	-	871.0935352830135	871.0935352830135
pop_size_PopulationD	1	-	890.7395929880236	890.7395929880236
pop_size_root_PopulationC	1	-	965.694299139211	965.694299139211
ln_likelihood_PopulationE	1	-	1000.0	1000.0
root_height_PopulationE	1	-	1000.0	1000.0
pop_size_PopulationE	1	-	969.4866655587173	969.4866655587173
pop_size_PopulationF	1	-	857.082397199791	857.082397199791
pop_size_root_PopulationE	1	-	887.6212196427175	887.6212196427175
ln_likelihood_PopulationG	1	-	1000.0	1000.0
root_height_PopulationG	1	-	1000.0	1000.0
pop_size_PopulationG	1	-	1000.0	1000.0
pop_size_PopulationH	1	-	873.3431887338032	873.3431887338032
pop_size_root_PopulationG	1	-	823.6692305676103	823.6692305676103
ln_likelihood_PopulationI	1	-	839.6688709301847	839.6688709301847
root_height_PopulationI	1	-	710.0236393024062	710.0236393024062
pop_size_PopulationI	1	-	1000.0	1000.0
pop_size_PopulationJ	1	-	952.2633046305563	952.2633046305563
pop_size_root_PopulationI	1	-	1000.0	1000.0
ln_likelihood_PopulationK	1	-	1000.0	1000.0
root_height_PopulationK	1	-	767.730659343802	767.730659343802
pop_size_PopulationK	1	-	725.5275788074277	725.5275788074277
pop_size_PopulationL	1	-	818.5708241091459	818.5708241091459
pop_size_root_PopulationK	1	-	984.3831590528721	984.3831590528721
ln_likelihood	100	-	833.3547267498368	833.3547267498368
concentration	100	-	799.4310722006783	799.4310722006783
ln_likelihood_PopulationA	100	-	736.6752254658492	736.6752254658492
root_height_PopulationA	100	-	901.0	901.0
pop_size_PopulationA	100	-	659.2636625675717	659.2636625675717
pop_size_PopulationB	100	-	697.5519587196206	697.5519587196206
pop_size_root_PopulationA	100	-	899.2623323751578	899.2623323751578
ln_likelihood_PopulationC	100	-	901.0	901.0
root_height_PopulationC	100	-	798.3275273992431	798.3275273992431
pop_size_PopulationC	100	-	901.0	901.0
pop_size_PopulationD	100	-	729.6810870578056	729.6810870578056
pop_size_root_PopulationC	100	-	839.1198198743515	839.1198198743515
ln_likelihood_PopulationE	100	-	901.0	901.0
root_height_PopulationE	100	-	901.0	901.0
pop_size_PopulationE	100	-	901.0	901.0
pop_size_PopulationF	100	-	853.6591351860984	853.6591351860984
pop_size_root_PopulationE	100	-	901.0	901.0
ln_likelihood_PopulationG	100	-	901.0	901.0
root_height_PopulationG	100	-	901.0	901.0
pop_size_PopulationG	100	-	881.4064423595127	881.4064423595127
pop_size_PopulationH	100	-	816.3090729976822	816.3090729976822
pop_size_root_PopulationG	100	-	901.0	901.0
ln_likelihood_PopulationI	100	-	901.0	901.0
root_height_PopulationI	100	-	752.9563658001566	752.9563658001566
pop_size_PopulationI	100	-	901.0	901.0
pop_size_PopulationJ	100	-	901.0	901.0
pop_size_root_PopulationI	100	-	901.0	901.0
ln_likelihood_PopulationK	100	-	895.8058510494849	895.8058510494849
root_height_PopulationK	100	-	901.0	901.0
pop_size_PopulationK	100	-	901.0	901.0
pop_size_PopulationL	100	-	901.0	901.0
pop_size_root_PopulationK	100	-	901.0	901.0
ln_likelihood	200	-	706.4386521071708	706.4386521071708
concentration	200	-	422.61277187138535	422.61277187138535
ln_likelihood_PopulationA	200	-	668.1449177039491	668.1449177039491
root_height_PopulationA	200	-	801.0	801.0
pop_size_PopulationA	200	-	667.143310450199	667.143310450199
pop_size_PopulationB	200	-	583.153916612165	583.153916612165
pop_size_root_PopulationA	200	-	801.0	801.0
ln_likelihood_PopulationC	200	-	754.1835910725675	754.1835910725675
root_height_PopulationC	200	-	548.090663320443	548.090663320443
pop_size_PopulationC	200	-	665.2258176166192	665.2258176166192
pop_size_PopulationD	200	-	636.1535278264532	636.1535278264532
pop_size_root_PopulationC	200	-	511.30279992562606	511.30279992562606
ln_likelihood_PopulationE	200	-	801.0	801.0
root_height_PopulationE	200	-	649.0106062360503	649.0106062360503
pop_size_PopulationE	200	-	801.0	801.0
pop_size_PopulationF	200	-	801.0	801.0
pop_size_root_PopulationE	200	-	801.0	801.0
ln_likelihood_PopulationG	200	-	801.0	801.0
root_height_PopulationG	200	-	801.0	801.0
pop_size_PopulationG	200	-	711.8494223837829	711.8494223837829
pop_size_PopulationH	200	-	710.0695403257868	710.0695403257868
pop_size_root_PopulationG	200	-	660.5205369011712	660.5205369011712
ln_likelihood_PopulationI	200	-	801.0	801.0
root_height_PopulationI	200	-	464.12709426202014	464.12709426202014
pop_size_PopulationI	200	-	801.0	801.0
pop_size_PopulationJ	200	-	801.0	801.0
pop_size_root_PopulationI	200	-	801.0	801.0
ln_likelihood_PopulationK	200	-	543.680026070807	543.680026070807
root_height_PopulationK	200	-	772.4935338845854	772.4935338845854
pop_size_PopulationK	200	-	522.8613281666476	522.8613281666476
pop_size_PopulationL	200	-	801.0	801.0
pop_size_root_PopulationK	200	-	801.0	801.0
ln_likelihood	300	-	701.0	701.0
concentration	300	-	677.9923548557213	677.9923548557213
ln_likelihood_PopulationA	300	-	562.0974351423424	562.0974351423424
root_height_PopulationA	300	-	701.0	701.0
pop_size_PopulationA	300	-	496.1024998902179	496.1024998902179
pop_size_PopulationB	300	-	580.6202261545602	580.6202261545602
pop_size_root_PopulationA	300	-	667.4931380380172	667.4931380380172
ln_likelihood_PopulationC	300	-	608.4029376714739	608.4029376714739
root_height_PopulationC	300	-	466.82362809627284	466.82362809627284
pop_size_PopulationC	300	-	467.6985926566268	467.6985926566268
pop_size_PopulationD	300	-	608.5785759578858	608.5785759578858
