model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,1,1,1,1	0.126667	0.126667	0.001845	78.4664
0,0,1,2,3,4	0.0722222	0.198889	0.018903	4.04025
0,0,1,2,1,1	0.0555556	0.254444	0.001509	38.923
0,1,2,3,4,5	0.0422222	0.296667	0.152974	0.244093
0,0,1,1,1,2	0.0411111	0.337778	0.001518	28.2007
0,0,1,2,3,1	0.0355556	0.373333	0.003375	10.8865
0,0,1,1,2,1	0.0322222	0.405556	0.001637	20.3058
0,0,1,2,1,3	0.0311111	0.436667	0.003146	10.1745
0,0,1,1,2,3	0.03	0.466667	0.003231	9.54129
0,0,1,1,2,2	0.0277778	0.494444	0.000802	35.5967
0,1,2,3,2,2	0.0255556	0.52	0.006356	4.09992
0,0,1,0,1,1	0.0244444	0.544444	0.00125	20.0205
0,0,1,2,2,3	0.0244444	0.568889	0.0032	7.80524
0,0,1,2,3,3	0.0244444	0.593333	0.003053	8.18226
0,1,2,2,2,2	0.0233333	0.616667	0.004874	4.87779
0,0,1,2,2,2	0.0211111	0.637778	0.001564	13.7677
0,0,1,2,2,1	0.0188889	0.656667	0.000784	24.5376
0,1,2,0,3,3	0.0177778	0.674444	0.003153	5.72232
0,0,1,2,3,2	0.0166667	0.691111	0.00309	5.46821
0,1,2,0,2,2	0.0155556	0.706667	0.00153	10.3119
0,1,2,3,2,4	0.0155556	0.722222	0.018869	0.821623
0,1,2,3,3,4	0.0155556	0.737778	0.01888	0.821135
0,1,2,3,4,4	0.0155556	0.753333	0.01922	0.806329
0,1,2,0,3,4	0.0155556	0.768889	0.01927	0.804196
0,1,0,0,0,0	0.0144444	0.783333	0.007392	1.96805
0,1,2,2,2,3	0.0133333	0.796667	0.006353	2.11359
0,1,2,3,4,2	0.0122222	0.808889	0.019262	0.630003
0,1,2,2,3,4	0.0122222	0.821111	0.019113	0.635011
0,0,1,0,2,3	0.0111111	0.832222	0.006357	1.75626
0,1,2,0,2,3	0.0111111	0.843333	0.003219	3.47928
0,1,2,3,3,3	0.01	0.853333	0.00645	1.55595
0,1,2,3,3,2	0.00888889	0.862222	0.00324	2.75912
0,1,2,2,3,3	0.00888889	0.871111	0.00326	2.74214
0,0,1,0,1,2	0.00888889	0.88	0.001527	5.86438
0,1,0,0,0,2	0.00777778	0.887778	0.004733	1.64835
0,1,0,0,2,3	0.00777778	0.895556	0.006341	1.22836
0,0,1,2,1,2	0.00777778	0.903333	0.000794	9.86464
0,1,2,0,0,3	0.00777778	0.911111	0.006369	1.22293
0,1,2,0,3,2	0.00666667	0.917778	0.003256	2.05453
0,1,0,0,2,2	0.00555556	0.923333	0.001635	3.41129
0,1,2,3,2,3	0.00555556	0.928889	0.00321	1.73478
0,0,1,0,2,2	0.00555556	0.934444	0.00157	3.55275
0,1,2,2,3,2	0.00555556	0.94	0.006456	0.859747
0,1,2,2,0,2	0.00444444	0.944444	0.00157	2.83903
0,0,0,1,1,1	0.00444444	0.948889	0.001255	3.55274
0,1,2,3,4,3	0.00444444	0.953333	0.019014	0.230325
0,1,2,1,3,4	0.00444444	0.957778	0.0191	0.229268
0,0,0,0,1,1	0.00333333	0.961111	0.001885	1.77092
0,0,1,0,2,1	0.00333333	0.964444	0.001587	2.10408
0,1,0,2,0,2	0.00333333	0.967778	0.001593	2.09614
0,1,2,0,0,0	0.00222222	0.97	0.004665	0.475194
0,0,0,0,1,2	0.00222222	0.972222	0.004685	0.473156
0,1,2,3,0,4	0.00222222	0.974444	0.019026	0.114832
0,1,0,0,2,0	0.00222222	0.976667	0.004701	0.471538
0,1,2,3,2,0	0.00222222	0.978889	0.003234	0.686447
0,1,2,3,0,0	0.00222222	0.981111	0.006349	0.348564
0,1,1,1,2,3	0.00111111	0.982222	0.006455	0.171211
0,1,0,2,3,3	0.00111111	0.983333	0.003166	0.350229
0,1,2,1,2,3	0.00111111	0.984444	0.003263	0.339785
0,1,2,3,0,3	0.00111111	0.985556	0.003265	0.339576
0,1,2,1,0,3	0.00111111	0.986667	0.003203	0.346171
0,1,2,0,0,2	0.00111111	0.987778	0.001535	0.723544
0,1,0,2,2,3	0.00111111	0.988889	0.003252	0.340938
0,1,0,2,2,2	0.00111111	0.99	0.00159	0.698477
0,1,0,2,2,0	0.00111111	0.991111	0.001577	0.704244
0,1,2,3,3,0	0.00111111	0.992222	0.003237	0.342523
0,1,0,2,0,3	0.00111111	0.993333	0.006438	0.171666
0,1,2,1,3,3	0.00111111	0.994444	0.003275	0.338536
0,1,2,0,2,0	0.00111111	0.995556	0.001511	0.735054
0,1,2,2,2,0	0.00111111	0.996667	0.001584	0.701127
0,0,0,1,2,3	0.00111111	0.997778	0.006386	0.173073
0,1,2,0,3,0	0.00111111	0.998889	0.006467	0.170891
0,1,2,1,3,2	0.00111111	1	0.003239	0.342311
