model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,0,0,0,0	0.952222	0.952222	0.026069	744.588
0,0,1,0,0,0	0.02	0.972222	0.007416	2.7315
0,0,0,0,1,0	0.00444444	0.976667	0.007452	0.594608
0,0,0,1,0,0	0.00444444	0.981111	0.007328	0.604745
0,0,0,0,0,1	0.00333333	0.984444	0.007354	0.45144
0,1,1,1,1,1	0.00333333	0.987778	0.0073	0.454804
0,1,1,0,1,1	0.00222222	0.99	0.001889	1.17679
0,0,0,1,1,0	0.00111111	0.991111	0.001833	0.605733
0,0,1,0,2,0	0.00111111	0.992222	0.004707	0.235205
0,0,1,1,0,0	0.00111111	0.993333	0.001914	0.580051
0,1,0,1,1,0	0.00111111	0.994444	0.001157	0.960294
0,1,0,2,1,1	0.00111111	0.995556	0.001603	0.692803
0,1,1,0,1,0	0.00111111	0.996667	0.001219	0.911395
0,1,1,1,0,1	0.00111111	0.997778	0.001831	0.606396
0,1,1,1,1,0	0.00111111	0.998889	0.001925	0.57673
0,1,1,2,0,1	0.00111111	1	0.001591	0.698037
