model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,0,0,0,0	0.226667	0.226667	0.025941	11.0057
0,0,1,1,1,1	0.0566667	0.283333	0.001772	33.8399
0,0,0,0,1,0	0.0433333	0.326667	0.0072	6.24584
0,0,0,1,1,1	0.0422222	0.368889	0.001268	34.7221
0,1,0,0,0,0	0.0322222	0.401111	0.007355	4.49357
0,1,1,1,1,1	0.0266667	0.427778	0.007129	3.81567
0,0,0,1,1,0	0.0222222	0.45	0.001766	12.8466
0,0,0,1,0,0	0.0188889	0.468889	0.007254	2.63481
0,0,1,1,2,1	0.0177778	0.486667	0.001595	11.3296
0,0,0,1,1,2	0.0177778	0.504444	0.00155	11.659
0,0,1,2,3,4	0.0133333	0.517778	0.019071	0.695076
0,1,0,0,2,0	0.0133333	0.531111	0.004807	2.7977
0,0,0,0,0,1	0.0122222	0.543333	0.007333	1.67499
0,0,1,2,1,1	0.0111111	0.554444	0.001638	6.84832
0,0,1,1,1,2	0.0111111	0.565556	0.001593	7.04209
0,1,2,2,2,2	0.0111111	0.576667	0.004649	2.40562
0,0,0,1,2,1	0.0111111	0.587778	0.001598	7.02003
0,0,1,0,0,0	0.01	0.597778	0.007478	1.34066
0,0,0,1,2,2	0.01	0.607778	0.001574	6.40731
0,0,1,2,3,2	0.00888889	0.616667	0.003178	2.81312
0,1,1,1,2,1	0.00888889	0.625556	0.004727	1.88835
0,0,0,1,2,0	0.00888889	0.634444	0.00479	1.86339
0,0,0,1,2,3	0.00888889	0.643333	0.006491	1.37273
0,0,0,0,1,2	0.00777778	0.651111	0.00477	1.6355
0,0,1,1,2,2	0.00777778	0.658889	0.000745	10.514
0,1,0,2,3,4	0.00666667	0.665556	0.019063	0.345353
0,0,1,1,1,0	0.00666667	0.672222	0.00123	5.44972
0,1,2,0,0,0	0.00666667	0.678889	0.004781	1.39706
0,1,1,0,1,0	0.00666667	0.685556	0.001229	5.45416
0,0,1,2,3,1	0.00666667	0.692222	0.003257	2.0539
0,0,1,2,3,3	0.00666667	0.698889	0.003212	2.08277
0,1,1,2,2,3	0.00666667	0.705556	0.003193	2.0952
0,0,1,1,2,3	0.00666667	0.712222	0.003244	2.06216
