model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,0,0,0,0	0.921111	0.921111	0.025981	437.731
0,0,0,0,1,0	0.04	0.961111	0.007411	5.58061
0,1,0,0,0,0	0.0144444	0.975556	0.00742	1.96057
0,1,0,0,1,0	0.00444444	0.98	0.00183	2.43504
0,1,1,1,1,1	0.00222222	0.982222	0.007282	0.303619
0,0,0,1,0,0	0.00222222	0.984444	0.007441	0.297084
0,0,1,0,1,0	0.00111111	0.985556	0.001817	0.611076
0,0,1,0,1,1	0.00111111	0.986667	0.001206	0.921232
0,0,0,0,0,1	0.00111111	0.987778	0.0073	0.151264
0,1,0,0,0,1	0.00111111	0.988889	0.001808	0.614124
0,0,1,0,0,1	0.00111111	0.99	0.001812	0.612766
0,1,0,0,1,1	0.00111111	0.991111	0.001187	0.935996
0,1,0,1,0,0	0.00111111	0.992222	0.001885	0.588992
0,1,0,1,0,1	0.00111111	0.993333	0.001227	0.905446
0,1,0,1,1,1	0.00111111	0.994444	0.001808	0.614124
0,1,1,0,1,0	0.00111111	0.995556	0.001192	0.932065
0,1,1,1,1,0	0.00111111	0.996667	0.001955	0.567863
0,0,1,0,0,0	0.00111111	0.997778	0.007464	0.147916
0,1,1,1,2,1	0.00111111	0.998889	0.004813	0.230001
0,1,2,2,2,2	0.00111111	1	0.004669	0.237129
