generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	2640	0	10	0.263158	none	
ConcentrationScaler	411	345	3	0.0789474	2.4367	
TimeSizeRateMixer	868	921	6	0.157895	0.212106	
TimeRootSizeMixer	738	999	6	0.157895	0.0628428	
EventTimeScaler	4091	2754	1	0.0263158	1.97184	
RootPopulationSizeScaler0	1733	1655	1	0.0263158	0.423752	
LeafPopulationSizeScaler0	2151	1204	1	0.0263158	1.62034	
RootPopulationSizeScaler1	1687	1702	1	0.0263158	0.440748	
LeafPopulationSizeScaler1	2347	1038	1	0.0263158	1.60188	
RootPopulationSizeScaler2	1687	1693	1	0.0263158	0.441035	
LeafPopulationSizeScaler2	2160	1218	1	0.0263158	1.80922	
RootPopulationSizeScaler3	1729	1668	1	0.0263158	0.405574	
LeafPopulationSizeScaler3	2134	1245	1	0.0263158	1.62375	
RootPopulationSizeScaler4	1752	1619	1	0.0263158	0.409848	
LeafPopulationSizeScaler4	2206	1214	1	0.0263158	1.63728	
RootPopulationSizeScaler5	1719	1652	1	0.0263158	0.420935	
LeafPopulationSizeScaler5	2227	1118	1	0.0263158	1.61968	
generation 20000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	5206	0	10	0.263158	none	
ConcentrationScaler	837	728	3	0.0789474	2.5718	
TimeSizeRateMixer	1684	1887	6	0.157895	0.215491	
TimeRootSizeMixer	1510	2083	6	0.157895	0.0618426	
EventTimeScaler	7718	5910	1	0.0263158	2.10979	
RootPopulationSizeScaler0	3352	3512	1	0.0263158	0.431826	
LeafPopulationSizeScaler0	4147	2703	1	0.0263158	1.78571	
RootPopulationSizeScaler1	3278	3601	1	0.0263158	0.448204	
LeafPopulationSizeScaler1	4460	2423	1	0.0263158	1.79778	
RootPopulationSizeScaler2	3341	3567	1	0.0263158	0.450016	
LeafPopulationSizeScaler2	4131	2763	1	0.0263158	1.97653	
RootPopulationSizeScaler3	3405	3497	1	0.0263158	0.418177	
LeafPopulationSizeScaler3	4102	2784	1	0.0263158	1.78315	
RootPopulationSizeScaler4	3411	3467	1	0.0263158	0.42268	
LeafPopulationSizeScaler4	4219	2714	1	0.0263158	1.79989	
RootPopulationSizeScaler5	3433	3455	1	0.0263158	0.43446	
LeafPopulationSizeScaler5	4197	2653	1	0.0263158	1.77688	
generation 30000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	7846	0	10	0.263158	none	
ConcentrationScaler	1253	1117	3	0.0789474	2.64172	
TimeSizeRateMixer	2501	2824	6	0.157895	0.217644	
TimeRootSizeMixer	2314	3082	6	0.157895	0.0619711	
EventTimeScaler	11218	9245	1	0.0263158	2.17769	
RootPopulationSizeScaler0	4934	5316	1	0.0263158	0.436811	
LeafPopulationSizeScaler0	6019	4223	1	0.0263158	1.86325	
RootPopulationSizeScaler1	4850	5412	1	0.0263158	0.453735	
LeafPopulationSizeScaler1	6379	3879	1	0.0263158	1.8943	
RootPopulationSizeScaler2	4924	5386	1	0.0263158	0.454138	
LeafPopulationSizeScaler2	5944	4347	1	0.0263158	2.06208	
RootPopulationSizeScaler3	5055	5276	1	0.0263158	0.426065	
LeafPopulationSizeScaler3	5919	4323	1	0.0263158	1.85791	
RootPopulationSizeScaler4	5070	5184	1	0.0263158	0.431638	
LeafPopulationSizeScaler4	6078	4257	1	0.0263158	1.8848	
RootPopulationSizeScaler5	5072	5197	1	0.0263158	0.441764	
LeafPopulationSizeScaler5	6080	4157	1	0.0263158	1.86343	
generation 40000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	10450	0	10	0.263158	none	
ConcentrationScaler	1637	1495	3	0.0789474	2.68841	
TimeSizeRateMixer	3347	3850	6	0.157895	0.218343	
TimeRootSizeMixer	3140	4090	6	0.157895	0.0621295	
EventTimeScaler	14680	12671	1	0.0263158	2.21937	
