Run	Gene_Length	Population_Size	Mutation_Rate	Prob_1_Event	Prob_2_Events	Prob_3_Events	Prob_4_Events	Prob_5_Events	Prob_6_Events	Mean_Divergence_PopA_PopB	Mean_Divergence_PopC_PopD	Mean_Divergence_PopE_PopF	Mean_Divergence_PopG_PopH	Mean_Divergence_PopI_PopJ	Mean_Divergence_PopK_PopL	Gene_Length	Population_Size	Mutation_Rate	Samples_Simulated_Per_Pop	True_Number_Events	True_Divergence_PopA_PopB	True_Divergence_PopC_PopD	True_Divergence_PopE_PopF	True_Divergence_PopG_PopH	True_Divergence_PopI_PopJ	True_Divergence_PopK_PopL
1	X	Y	Z	0.958042	0.037962	0.002997	0	0	0.000999	0.000017	0.000024	0.000017	0.000016	0.000017	0.000017	1000	10000	1e-8	10	6	10000	170000	330000	490000	650000	810000
2	X	Y	Z	0.878122	0.111888	0.008991	0	0	0.000999	0.000033	0.000027	0.000025	0.000068	0.000024	0.000024	1000	10000	1e-8	10	6	10000	170000	330000	490000	650000	810000
3	X	Y	Z	0.982018	0.016983	0	0	0	0.000999	0.000006	0.000007	0.000007	0.000006	0.000006	0.000006	1000	10000	1e-8	10	6	10000	170000	330000	490000	650000	810000
4	X	Y	Z	0.941059	0.052947	0.004995	0	0	0.000999	0.000015	0.000016	0.000028	0.000015	0.000015	0.000019	1000	10000	1e-8	10	6	10000	170000	330000	490000	650000	810000
5	X	Y	Z	0.962038	0.035964	0.000999	0	0	0.000999	0.00002	0.00002	0.00002	0.00002	0.000021	0.00002	1000	10000	1e-8	10	6	10000	170000	330000	490000	650000	810000
6	X	Y	Z	0.945055	0.052947	0.000999	0	0	0.000999	0.00001	0.00001	0.00001	0.00003	0.00001	0.00001	1000	10000	1e-8	10	6	10000	170000	330000	490000	650000	810000
7	X	Y	Z	0.976024	0.022977	0	0	0	0.000999	0.000009	0.000007	0.000008	0.000007	0.000007	0.000008	1000	10000	1e-8	10	6	10000	170000	330000	490000	650000	810000
8	X	Y	Z	0.905095	0.088911	0.003996	0	0.000999	0.000999	0.000017	0.000037	0.000023	0.000017	0.000017	0.00003	1000	10000	1e-8	10	6	10000	170000	330000	490000	650000	810000
9	X	Y	Z	0.954046	0.043956	0.000999	0	0	0.000999	0.000012	0.000008	0.00002	0.000008	0.000008	0.000008	1000	10000	1e-8	10	6	10000	170000	330000	490000	650000	810000
10	X	Y	Z	0.955045	0.040959	0.002997	0	0	0.000999	0.00002	0.000013	0.00002	0.000013	0.000013	0.000014	1000	10000	1e-8	10	6	10000	170000	330000	490000	650000	810000
11	X	Y	Z	0.926074	0.06993	0.002997	0	0	0.000999	0.00003	0.000014	0.000012	0.000013	0.000013	0.000012	1000	10000	1e-8	10	6	10000	170000	330000	490000	650000	810000
12	X	Y	Z	0.947053	0.048951	0.002997	0	0	0.000999	0.000013	0.000013	0.000013	0.000022	0.000025	0.000013	1000	10000	1e-8	10	6	10000	170000	330000	490000	650000	810000
