generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	2596	0	10	0.263158	none	
ConcentrationScaler	410	402	3	0.0789474	2.71787	
TimeSizeRateMixer	752	870	6	0.157895	0.196404	
TimeRootSizeMixer	639	981	6	0.157895	0.0197411	
EventTimeScaler	4039	2215	1	0.0263158	2.5774	
RootPopulationSizeScaler0	1627	1737	1	0.0263158	0.451091	
LeafPopulationSizeScaler0	2180	1186	1	0.0263158	2.14815	
RootPopulationSizeScaler1	1665	1669	1	0.0263158	0.430257	
LeafPopulationSizeScaler1	2446	930	1	0.0263158	1.54894	
RootPopulationSizeScaler2	1683	1667	1	0.0263158	0.429165	
LeafPopulationSizeScaler2	2124	1213	1	0.0263158	1.81947	
RootPopulationSizeScaler3	1745	1586	1	0.0263158	0.397654	
LeafPopulationSizeScaler3	2016	1338	1	0.0263158	1.41406	
RootPopulationSizeScaler4	1750	1624	1	0.0263158	0.420404	
LeafPopulationSizeScaler4	2137	1216	1	0.0263158	1.75084	
RootPopulationSizeScaler5	1708	1646	1	0.0263158	0.439156	
LeafPopulationSizeScaler5	2255	1091	1	0.0263158	1.87828	
generation 20000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	5268	0	10	0.263158	none	
ConcentrationScaler	799	824	3	0.0789474	2.78287	
TimeSizeRateMixer	1489	1781	6	0.157895	0.197839	
TimeRootSizeMixer	1418	1915	6	0.157895	0.0197897	
EventTimeScaler	7626	5082	1	0.0263158	2.79957	
RootPopulationSizeScaler0	3231	3605	1	0.0263158	0.456998	
LeafPopulationSizeScaler0	4065	2714	1	0.0263158	2.33763	
RootPopulationSizeScaler1	3284	3459	1	0.0263158	0.441508	
LeafPopulationSizeScaler1	4544	2240	1	0.0263158	1.77052	
RootPopulationSizeScaler2	3313	3469	1	0.0263158	0.439819	
LeafPopulationSizeScaler2	4033	2725	1	0.0263158	1.98218	
RootPopulationSizeScaler3	3398	3362	1	0.0263158	0.408435	
LeafPopulationSizeScaler3	3844	2916	1	0.0263158	1.51621	
RootPopulationSizeScaler4	3405	3393	1	0.0263158	0.431679	
LeafPopulationSizeScaler4	4032	2756	1	0.0263158	1.90537	
RootPopulationSizeScaler5	3286	3492	1	0.0263158	0.448851	
LeafPopulationSizeScaler5	4212	2565	1	0.0263158	2.06211	
generation 30000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	7878	0	10	0.263158	none	
ConcentrationScaler	1162	1239	3	0.0789474	2.81112	
TimeSizeRateMixer	2280	2644	6	0.157895	0.200052	
TimeRootSizeMixer	2105	2879	6	0.157895	0.0195205	
EventTimeScaler	11050	7922	1	0.0263158	2.92107	
RootPopulationSizeScaler0	4802	5492	1	0.0263158	0.461789	
LeafPopulationSizeScaler0	5892	4356	1	0.0263158	2.43257	
RootPopulationSizeScaler1	4965	5244	1	0.0263158	0.448614	
LeafPopulationSizeScaler1	6626	3645	1	0.0263158	1.89173	
RootPopulationSizeScaler2	4884	5353	1	0.0263158	0.444101	
LeafPopulationSizeScaler2	5874	4326	1	0.0263158	2.06288	
