generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
EventTimeScaler	21293	17548	1	0.0263158	2.63351	
RootPopulationSizeScaler0	9547	10798	1	0.0263158	0.455142	
LeafPopulationSizeScaler0	11416	9046	1	0.0263158	2.1788	
RootPopulationSizeScaler1	9692	10752	1	0.0263158	0.454202	
LeafPopulationSizeScaler1	11462	8938	1	0.0263158	2.5243	
RootPopulationSizeScaler2	9690	10725	1	0.0263158	0.445573	
LeafPopulationSizeScaler2	11105	9358	1	0.0263158	1.94477	
RootPopulationSizeScaler3	9863	10635	1	0.0263158	0.4517	
LeafPopulationSizeScaler3	11972	8442	1	0.0263158	2.03263	
RootPopulationSizeScaler4	9748	10696	1	0.0263158	0.447059	
LeafPopulationSizeScaler4	11146	9288	1	0.0263158	2.21487	
RootPopulationSizeScaler5	9462	10962	1	0.0263158	0.466503	
LeafPopulationSizeScaler5	11870	8550	1	0.0263158	2.60869	
generation 70000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	18460	0	10	0.263158	none	
ConcentrationScaler	2597	2894	3	0.0789474	2.77876	
TimeSizeRateMixer	5638	6307	6	0.157895	0.202775	
TimeRootSizeMixer	4612	7009	6	0.157895	0.0337727	
EventTimeScaler	24593	20767	1	0.0263158	2.65872	
RootPopulationSizeScaler0	11157	12681	1	0.0263158	0.456609	
LeafPopulationSizeScaler0	13215	10732	1	0.0263158	2.20626	
RootPopulationSizeScaler1	11278	12647	1	0.0263158	0.455563	
LeafPopulationSizeScaler1	13278	10608	1	0.0263158	2.55763	
RootPopulationSizeScaler2	11286	12599	1	0.0263158	0.446835	
LeafPopulationSizeScaler2	12797	11126	1	0.0263158	1.95964	
RootPopulationSizeScaler3	11442	12503	1	0.0263158	0.453069	
LeafPopulationSizeScaler3	13830	10059	1	0.0263158	2.06523	
RootPopulationSizeScaler4	11369	12561	1	0.0263158	0.448734	
LeafPopulationSizeScaler4	12900	11003	1	0.0263158	2.23684	
RootPopulationSizeScaler5	11074	12836	1	0.0263158	0.467819	
LeafPopulationSizeScaler5	13722	10193	1	0.0263158	2.64456	
generation 80000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	21029	0	10	0.263158	none	
ConcentrationScaler	2968	3308	3	0.0789474	2.78766	
TimeSizeRateMixer	6353	7221	6	0.157895	0.202851	
TimeRootSizeMixer	5275	8016	6	0.157895	0.0335463	
EventTimeScaler	27779	23889	1	0.0263158	2.68111	
RootPopulationSizeScaler0	12762	14488	1	0.0263158	0.458151	
LeafPopulationSizeScaler0	14990	12365	1	0.0263158	2.23125	
RootPopulationSizeScaler1	12844	14456	1	0.0263158	0.456739	
LeafPopulationSizeScaler1	15009	12268	1	0.0263158	2.58272	
