model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,0,0,0,0	0.533333	0.533333	0.026018	42.7828
0,1,0,0,0,0	0.0366667	0.57	0.007369	5.12713
0,1,1,1,1,1	0.0344444	0.604444	0.007333	4.82907
0,0,0,1,0,0	0.03	0.634444	0.007374	4.16325
0,0,0,0,0,1	0.0266667	0.661111	0.00751	3.62071
0,0,0,0,1,0	0.0211111	0.682222	0.007349	2.91304
0,0,1,0,0,0	0.0177778	0.7	0.007392	2.43043
0,0,1,1,1,1	0.0155556	0.715556	0.001865	8.45677
0,0,1,0,0,1	0.0111111	0.726667	0.001866	6.01018
0,0,0,1,1,0	0.01	0.736667	0.001874	5.37998
0,1,1,1,0,1	0.00777778	0.744444	0.001863	4.19975
0,1,0,0,0,1	0.00777778	0.752222	0.001822	4.29444
0,1,2,2,2,2	0.00777778	0.76	0.004718	1.65362
0,0,0,1,2,0	0.00666667	0.766667	0.004743	1.4083
0,1,0,0,1,0	0.00666667	0.773333	0.001852	3.61716
0,0,1,1,0,1	0.00666667	0.78	0.001248	5.37102
0,1,0,1,0,0	0.00666667	0.786667	0.001841	3.63881
0,0,1,1,1,0	0.00555556	0.792222	0.001265	4.41069
0,1,1,1,2,1	0.00555556	0.797778	0.004805	1.15708
0,1,0,1,0,1	0.00555556	0.803333	0.001265	4.41069
0,1,1,0,0,0	0.00444444	0.807778	0.001876	2.37522
0,1,1,2,2,3	0.00444444	0.812222	0.003211	1.38585
0,0,1,0,1,1	0.00444444	0.816667	0.001224	3.64283
0,0,1,0,1,0	0.00444444	0.821111	0.001861	2.3944
0,1,0,1,1,0	0.00444444	0.825556	0.001263	3.5302
0,0,0,1,0,1	0.00333333	0.828889	0.001872	1.78324
0,0,1,1,1,2	0.00333333	0.832222	0.001549	2.15578
0,0,1,1,2,0	0.00333333	0.835556	0.001567	2.13098
0,1,1,1,0,0	0.00333333	0.838889	0.001201	2.7814
0,1,1,1,1,0	0.00333333	0.842222	0.001838	1.81629
0,1,1,0,1,1	0.00333333	0.845556	0.001891	1.76529
0,1,2,2,1,1	0.00333333	0.848889	0.001606	2.07915
0,1,2,2,0,2	0.00333333	0.852222	0.001579	2.11476
0,0,0,1,0,2	0.00333333	0.855556	0.004795	0.694149
0,1,2,3,3,2	0.00333333	0.858889	0.003183	1.04739
