Run	Gene_Length	Population_Size	Mutation_Rate	Prob_1_Event	Prob_2_Events	Prob_3_Events	Prob_4_Events	Prob_5_Events	Prob_6_Events	Mean_Divergence_PopA_PopB	Mean_Divergence_PopC_PopD	Mean_Divergence_PopE_PopF	Mean_Divergence_PopG_PopH	Mean_Divergence_PopI_PopJ	Mean_Divergence_PopK_PopL	Gene_Length	Population_Size	Mutation_Rate	Samples_Simulated_Per_Pop	True_Number_Events	True_Divergence_PopA_PopB	True_Divergence_PopC_PopD	True_Divergence_PopE_PopF	True_Divergence_PopG_PopH	True_Divergence_PopI_PopJ	True_Divergence_PopK_PopL
1	X	Y	Z	0.811189	0.173826	0.013986	0	0	0.000999	0.000019	0.00002	0.000023	0.000043	0.000019	0.000087	1000	10000	1.00E-08	10	1	160000	160000	160000	160000	160000	160000
2	X	Y	Z	0.967033	0.030969	0.000999	0	0	0.000999	0.000007	0.000007	0.000024	0.000008	0.000007	0.000008	1000	10000	1.00E-08	10	1	160000	160000	160000	160000	160000	160000
3	X	Y	Z	0.818182	0.166833	0.013986	0	0	0.000999	0.000022	0.000081	0.000022	0.000023	0.00004	0.000022	1000	10000	1.00E-08	10	1	160000	160000	160000	160000	160000	160000
4	X	Y	Z	0.979021	0.01998	0	0	0	0.000999	0.000007	0.000007	0.000008	0.000007	0.000007	0.000007	1000	10000	1.00E-08	10	1	160000	160000	160000	160000	160000	160000
5	X	Y	Z	0.849151	0.130869	0.016983	0.001998	0	0.000999	0.000067	0.000055	0.000071	0.000053	0.000071	0.000076	1000	10000	1.00E-08	10	1	160000	160000	160000	160000	160000	160000
6	X	Y	Z	0.952048	0.046953	0	0	0	0.000999	0.000025	0.000025	0.00003	0.000024	0.000025	0.000025	1000	10000	1.00E-08	10	1	160000	160000	160000	160000	160000	160000
7	X	Y	Z	0.942058	0.054945	0.001998	0	0	0.000999	0.000021	0.000024	0.000021	0.000024	0.000021	0.00002	1000	10000	1.00E-08	10	1	160000	160000	160000	160000	160000	160000
8	X	Y	Z	0.966034	0.032967	0	0	0	0.000999	0.000017	0.000011	0.000012	0.000011	0.000011	0.000011	1000	10000	1.00E-08	10	1	160000	160000	160000	160000	160000	160000
9	X	Y	Z	0.962038	0.033966	0.002997	0	0	0.000999	0.000017	0.00001	0.000011	0.000009	0.00001	0.00001	1000	10000	1.00E-08	10	1	160000	160000	160000	160000	160000	160000
10	X	Y	Z	0.96004	0.037962	0.000999	0	0	0.000999	0.000018	0.000011	0.000012	0.000011	0.000012	0.000011	1000	10000	1.00E-08	10	1	160000	160000	160000	160000	160000	160000
11	X	Y	Z	0.958042	0.03996	0.000999	0	0	0.000999	0.000011	0.000011	0.00001	0.000019	0.000011	0.000011	1000	10000	1.00E-08	10	1	160000	160000	160000	160000	160000	160000
12	X	Y	Z	0.927073	0.068931	0.002997	0	0	0.000999	0.000029	0.000015	0.000015	0.000016	0.000015	0.000024	1000	10000	1.00E-08	10	1	160000	160000	160000	160000	160000	160000
13	X	Y	Z	0.953047	0.043956	0.001998	0	0	0.000999	0.000015	0.000015	0.000021	0.000015	0.000019	0.000018	1000	10000	1.00E-08	10	1	160000	160000	160000	160000	160000	160000
14	X	Y	Z	0.818182	0.170829	0.00999	0	0	0.000999	0.000102	0.000025	0.000027	0.000027	0.000029	0.000028	1000	10000	1.00E-08	10	1	160000	160000	160000	160000	160000	160000
15	X	Y	Z	0.944056	0.051948	0.001998	0.000999	0	0.000999	0.000009	0.000033	0.000008	0.000008	0.000009	0.000008	1000	10000	1.00E-08	10	1	160000	160000	160000	160000	160000	160000
16	X	Y	Z	0.872128	0.118881	0.006993	0.000999	0	0.000999	0.000018	0.000062	0.000019	0.000029	0.000017	0.000018	1000	10000	1.00E-08	10	1	160000	160000	160000	160000	160000	160000
17	X	Y	Z	0.95005	0.046953	0.001998	0	0	0.000999	0.000018	0.000018	0.000018	0.000018	0.000032	0.000019	1000	10000	1.00E-08	10	1	160000	160000	160000	160000	160000	160000
18	X	Y	Z	0.96004	0.038961	0	0	0	0.000999	0.000016	0.000016	0.000017	0.000016	0.000018	0.000016	1000	10000	1.00E-08	10	1	160000	160000	160000	160000	160000	160000
19	X	Y	Z	0.941059	0.055944	0.001998	0	0	0.000999	0.000015	0.000016	0.00002	0.000018	0.000016	0.000015	1000	10000	1.00E-08	10	1	160000	160000	160000	160000	160000	160000
