Run	Gene_Length	Population_Size	Mutation_Rate	Prob_1_Event	Prob_2_Events	Prob_3_Events	Prob_4_Events	Prob_5_Events	Prob_6_Events	Mean_Divergence_PopA_PopB	Mean_Divergence_PopC_PopD	Mean_Divergence_PopE_PopF	Mean_Divergence_PopG_PopH	Mean_Divergence_PopI_PopJ	Mean_Divergence_PopK_PopL	Gene_Length	Population_Size	Mutation_Rate	Samples_Simulated_Per_Pop	True_Number_Events	True_Divergence_PopA_PopB	True_Divergence_PopC_PopD	True_Divergence_PopE_PopF	True_Divergence_PopG_PopH	True_Divergence_PopI_PopJ	True_Divergence_PopK_PopL
1	X	Y	Z	0.981019	0.017982	0	0	0	0.000999	0.000008	0.000008	0.000008	0.000008	0.000009	0.000008	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
2	X	Y	Z	0.935065	0.063936	0	0	0	0.000999	0.000012	0.000018	0.000012	0.000012	0.000012	0.000022	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
3	X	Y	Z	0.93007	0.060939	0.006993	0.000999	0	0.000999	0.000026	0.000032	0.000031	0.000026	0.000026	0.000026	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
4	X	Y	Z	0.882118	0.104895	0.010989	0.000999	0	0.000999	0.000036	0.000042	0.000022	0.000031	0.000022	0.000022	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
5	X	Y	Z	0.938062	0.057942	0.002997	0	0	0.000999	0.000005	0.000033	0.000005	0.000005	0.000005	0.000005	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
6	X	Y	Z	0.959041	0.038961	0.000999	0	0	0.000999	0.00001	0.00001	0.000021	0.00001	0.00001	0.000011	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
7	X	Y	Z	0.945055	0.051948	0.001998	0	0	0.000999	0.000024	0.000038	0.000023	0.000023	0.000029	0.000024	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
8	X	Y	Z	0.893107	0.101898	0.003996	0	0	0.000999	0.000024	0.00005	0.000025	0.000024	0.000031	0.000024	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
9	X	Y	Z	0.954046	0.042957	0.001998	0	0	0.000999	0.000028	0.000016	0.000016	0.000016	0.000016	0.000016	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
10	X	Y	Z	0.946054	0.051948	0.000999	0	0	0.000999	0.000026	0.000025	0.000038	0.000025	0.000029	0.000025	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
11	X	Y	Z	0.968032	0.030969	0	0	0	0.000999	0.000008	0.000008	0.00001	0.000009	0.000008	0.000008	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
12	X	Y	Z	0.939061	0.056943	0.002997	0	0	0.000999	0.00003	0.00002	0.000026	0.000019	0.00002	0.00002	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
13	X	Y	Z	0.91009	0.083916	0.004995	0	0	0.000999	0.000035	0.000023	0.000035	0.000023	0.000022	0.00003	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
14	X	Y	Z	0.713287	0.250749	0.033966	0.000999	0	0.000999	0.000053	0.000163	0.000055	0.000053	0.000082	0.000081	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
15	X	Y	Z	0.962038	0.035964	0.000999	0	0	0.000999	0.00001	0.000013	0.00001	0.00001	0.000011	0.00001	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
16	X	Y	Z	0.968032	0.030969	0	0	0	0.000999	0.000009	0.000009	0.000013	0.000009	0.000009	0.000009	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
17	X	Y	Z	0.898102	0.095904	0.004995	0	0	0.000999	0.000042	0.000027	0.000027	0.000027	0.00004	0.000026	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
18	X	Y	Z	0.471528	0.508492	0.017982	0.000999	0	0.000999	0.000014	0.000013	0.000014	0.000014	0.000366	0.000013	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
19	X	Y	Z	0.515485	0.40959	0.06993	0.003996	0	0.000999	0.000111	0.00004	0.000059	0.000063	0.000039	0.000296	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
20	X	Y	Z	0.973027	0.025974	0	0	0	0.000999	0.000007	0.00001	0.000006	0.000007	0.000006	0.000006	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
21	X	Y	Z	0.947053	0.048951	0.002997	0	0	0.000999	0.000014	0.000013	0.000014	0.000029	0.000013	0.000013	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
22	X	Y	Z	0.97003	0.028971	0	0	0	0.000999	0.000011	0.000012	0.000011	0.000011	0.000011	0.000011	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
23	X	Y	Z	0.851149	0.140859	0.005994	0.000999	0	0.000999	0.00002	0.00002	0.000075	0.000024	0.00002	0.00002	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
24	X	Y	Z	0.941059	0.056943	0.000999	0	0	0.000999	0.000017	0.000025	0.000011	0.000011	0.000011	0.000011	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
25	X	Y	Z	0.969031	0.02997	0	0	0	0.000999	0.000012	0.000011	0.000011	0.000016	0.000011	0.000011	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
26	X	Y	Z	0.942058	0.055944	0.000999	0	0	0.000999	0.000018	0.000018	0.000034	0.000027	0.000018	0.000019	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
27	X	Y	Z	0.946054	0.04995	0.002997	0	0	0.000999	0.00001	0.00001	0.00001	0.000015	0.000017	0.00001	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
28	X	Y	Z	0.663337	0.317682	0.017982	0	0	0.000999	0.000026	0.000024	0.000023	0.000198	0.000043	0.000025	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
29	X	Y	Z	0.904096	0.084915	0.00999	0	0	0.000999	0.00003	0.000022	0.000022	0.000028	0.000022	0.000041	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
30	X	Y	Z	0.935065	0.05994	0.003996	0	0	0.000999	0.00002	0.000026	0.000019	0.00002	0.000035	0.00002	1000	10000	1.00E-08	10	1	20000	20000	20000	20000	20000	20000
