parameter	burnin	psrf	ess_concat	ess_0
ln_likelihood	1	-	767.4100272935577	767.4100272935577
concentration	1	-	869.2315628252721	869.2315628252721
ln_likelihood_PopulationA	1	-	807.7586622040028	807.7586622040028
root_height_PopulationA	1	-	1000.0	1000.0
pop_size_PopulationA	1	-	710.7076830993484	710.7076830993484
pop_size_PopulationB	1	-	633.012204335512	633.012204335512
pop_size_root_PopulationA	1	-	807.4072160698837	807.4072160698837
ln_likelihood_PopulationC	1	-	884.3619991182591	884.3619991182591
root_height_PopulationC	1	-	1000.0	1000.0
pop_size_PopulationC	1	-	988.9148003707465	988.9148003707465
pop_size_PopulationD	1	-	1000.0	1000.0
pop_size_root_PopulationC	1	-	1000.0	1000.0
ln_likelihood_PopulationE	1	-	883.8639614135129	883.8639614135129
root_height_PopulationE	1	-	985.4413124691165	985.4413124691165
pop_size_PopulationE	1	-	784.4855390906604	784.4855390906604
pop_size_PopulationF	1	-	1000.0	1000.0
pop_size_root_PopulationE	1	-	1000.0	1000.0
ln_likelihood_PopulationG	1	-	664.050997903002	664.050997903002
root_height_PopulationG	1	-	1000.0	1000.0
pop_size_PopulationG	1	-	1000.0	1000.0
pop_size_PopulationH	1	-	1000.0	1000.0
pop_size_root_PopulationG	1	-	893.7998255175065	893.7998255175065
ln_likelihood_PopulationI	1	-	1000.0	1000.0
root_height_PopulationI	1	-	1000.0	1000.0
pop_size_PopulationI	1	-	1000.0	1000.0
pop_size_PopulationJ	1	-	983.6599246907584	983.6599246907584
pop_size_root_PopulationI	1	-	781.8795436914729	781.8795436914729
ln_likelihood_PopulationK	1	-	1000.0	1000.0
root_height_PopulationK	1	-	1000.0	1000.0
pop_size_PopulationK	1	-	916.7654174688429	916.7654174688429
pop_size_PopulationL	1	-	1000.0	1000.0
pop_size_root_PopulationK	1	-	772.2135874295102	772.2135874295102
ln_likelihood	100	-	901.0	901.0
concentration	100	-	836.3013511414863	836.3013511414863
ln_likelihood_PopulationA	100	-	901.0	901.0
root_height_PopulationA	100	-	901.0	901.0
pop_size_PopulationA	100	-	854.5761432897477	854.5761432897477
pop_size_PopulationB	100	-	773.2537298859801	773.2537298859801
pop_size_root_PopulationA	100	-	746.7770738931301	746.7770738931301
ln_likelihood_PopulationC	100	-	901.0	901.0
root_height_PopulationC	100	-	901.0	901.0
pop_size_PopulationC	100	-	886.4807031373753	886.4807031373753
pop_size_PopulationD	100	-	901.0	901.0
pop_size_root_PopulationC	100	-	901.0	901.0
ln_likelihood_PopulationE	100	-	901.0	901.0
root_height_PopulationE	100	-	901.0	901.0
pop_size_PopulationE	100	-	895.0719394306643	895.0719394306643
pop_size_PopulationF	100	-	901.0	901.0
pop_size_root_PopulationE	100	-	901.0	901.0
ln_likelihood_PopulationG	100	-	730.6739559077611	730.6739559077611
root_height_PopulationG	100	-	901.0	901.0
pop_size_PopulationG	100	-	901.0	901.0
pop_size_PopulationH	100	-	901.0	901.0
pop_size_root_PopulationG	100	-	901.0	901.0
ln_likelihood_PopulationI	100	-	719.8540216952028	719.8540216952028
root_height_PopulationI	100	-	901.0	901.0
pop_size_PopulationI	100	-	901.0	901.0
pop_size_PopulationJ	100	-	725.3269306920957	725.3269306920957
pop_size_root_PopulationI	100	-	552.5934982090023	552.5934982090023
ln_likelihood_PopulationK	100	-	894.7778158313351	894.7778158313351
root_height_PopulationK	100	-	901.0	901.0
pop_size_PopulationK	100	-	668.4793931037492	668.4793931037492
pop_size_PopulationL	100	-	803.9704979469037	803.9704979469037
pop_size_root_PopulationK	100	-	672.9601557147619	672.9601557147619
ln_likelihood	200	-	674.1457361214882	674.1457361214882
concentration	200	-	623.358792679561	623.358792679561
ln_likelihood_PopulationA	200	-	738.7565133876609	738.7565133876609
root_height_PopulationA	200	-	801.0	801.0
pop_size_PopulationA	200	-	801.0	801.0
pop_size_PopulationB	200	-	549.81508581719	549.81508581719
pop_size_root_PopulationA	200	-	765.5508561467241	765.5508561467241
ln_likelihood_PopulationC	200	-	670.9711079129329	670.9711079129329
root_height_PopulationC	200	-	777.4274870666812	777.4274870666812
pop_size_PopulationC	200	-	801.0	801.0
pop_size_PopulationD	200	-	801.0	801.0
pop_size_root_PopulationC	200	-	801.0	801.0
ln_likelihood_PopulationE	200	-	801.0	801.0
root_height_PopulationE	200	-	801.0	801.0
pop_size_PopulationE	200	-	801.0	801.0
pop_size_PopulationF	200	-	801.0	801.0
pop_size_root_PopulationE	200	-	801.0	801.0
ln_likelihood_PopulationG	200	-	801.0	801.0
root_height_PopulationG	200	-	801.0	801.0
pop_size_PopulationG	200	-	801.0	801.0
pop_size_PopulationH	200	-	801.0	801.0
pop_size_root_PopulationG	200	-	801.0	801.0
ln_likelihood_PopulationI	200	-	801.0	801.0
root_height_PopulationI	200	-	749.4059828543972	749.4059828543972
pop_size_PopulationI	200	-	773.8173314674516	773.8173314674516
pop_size_PopulationJ	200	-	801.0	801.0
pop_size_root_PopulationI	200	-	707.4040524942654	707.4040524942654
ln_likelihood_PopulationK	200	-	611.412517111542	611.412517111542
root_height_PopulationK	200	-	783.437906181127	783.437906181127
pop_size_PopulationK	200	-	698.3231680214676	698.3231680214676
pop_size_PopulationL	200	-	699.6439136871496	699.6439136871496
pop_size_root_PopulationK	200	-	597.4542772722133	597.4542772722133
ln_likelihood	300	-	661.5739549967298	661.5739549967298
concentration	300	-	565.2338039732946	565.2338039732946
ln_likelihood_PopulationA	300	-	600.6443231222237	600.6443231222237
root_height_PopulationA	300	-	632.9295133133628	632.9295133133628
pop_size_PopulationA	300	-	636.6200275899405	636.6200275899405
pop_size_PopulationB	300	-	483.8486441977532	483.8486441977532
pop_size_root_PopulationA	300	-	583.7401135126934	583.7401135126934
ln_likelihood_PopulationC	300	-	701.0	701.0
root_height_PopulationC	300	-	701.0	701.0
pop_size_PopulationC	300	-	602.6233543341185	602.6233543341185
pop_size_PopulationD	300	-	701.0	701.0
pop_size_root_PopulationC	300	-	701.0	701.0
ln_likelihood_PopulationE	300	-	656.6268068513225	656.6268068513225
root_height_PopulationE	300	-	701.0	701.0
pop_size_PopulationE	300	-	632.7102291810158	632.7102291810158
pop_size_PopulationF	300	-	670.4679390443986	670.4679390443986
pop_size_root_PopulationE	300	-	701.0	701.0
ln_likelihood_PopulationG	300	-	701.0	701.0
root_height_PopulationG	300	-	634.4341208321259	634.4341208321259
pop_size_PopulationG	300	-	691.105677967615	691.105677967615
pop_size_PopulationH	300	-	701.0	701.0
pop_size_root_PopulationG	300	-	572.684791129528	572.684791129528
ln_likelihood_PopulationI	300	-	701.0	701.0
root_height_PopulationI	300	-	604.5038971935868	604.5038971935868
pop_size_PopulationI	300	-	701.0	701.0
pop_size_PopulationJ	300	-	597.766692001737	597.766692001737
pop_size_root_PopulationI	300	-	687.9560975755668	687.9560975755668
ln_likelihood_PopulationK	300	-	701.0	701.0
