parameter	burnin	psrf	ess_concat	ess_0
ln_likelihood_PopulationA	300	-	701.0	701.0
root_height_PopulationA	300	-	701.0	701.0
pop_size_PopulationA	300	-	691.6862007517174	691.6862007517174
pop_size_PopulationB	300	-	585.6596871424528	585.6596871424528
pop_size_root_PopulationA	300	-	701.0	701.0
ln_likelihood_PopulationC	300	-	581.6754638756972	581.6754638756972
root_height_PopulationC	300	-	701.0	701.0
pop_size_PopulationC	300	-	701.0	701.0
pop_size_PopulationD	300	-	410.10454802457	410.10454802457
pop_size_root_PopulationC	300	-	568.0901434436977	568.0901434436977
ln_likelihood_PopulationE	300	-	701.0	701.0
root_height_PopulationE	300	-	701.0	701.0
pop_size_PopulationE	300	-	682.1643914495066	682.1643914495066
pop_size_PopulationF	300	-	515.37105445368	515.37105445368
pop_size_root_PopulationE	300	-	506.52549250085445	506.52549250085445
ln_likelihood_PopulationG	300	-	701.0	701.0
root_height_PopulationG	300	-	701.0	701.0
pop_size_PopulationG	300	-	701.0	701.0
pop_size_PopulationH	300	-	701.0	701.0
pop_size_root_PopulationG	300	-	701.0	701.0
ln_likelihood_PopulationI	300	-	538.5260961683042	538.5260961683042
root_height_PopulationI	300	-	644.6514059830612	644.6514059830612
pop_size_PopulationI	300	-	701.0	701.0
pop_size_PopulationJ	300	-	701.0	701.0
pop_size_root_PopulationI	300	-	701.0	701.0
ln_likelihood_PopulationK	300	-	701.0	701.0
root_height_PopulationK	300	-	701.0	701.0
pop_size_PopulationK	300	-	701.0	701.0
pop_size_PopulationL	300	-	701.0	701.0
pop_size_root_PopulationK	300	-	701.0	701.0
ln_likelihood	400	-	451.7748273826254	451.7748273826254
concentration	400	-	543.5997386523259	543.5997386523259
ln_likelihood_PopulationA	400	-	601.0	601.0
root_height_PopulationA	400	-	578.6088133423816	578.6088133423816
pop_size_PopulationA	400	-	561.3881135340816	561.3881135340816
pop_size_PopulationB	400	-	458.7527100954974	458.7527100954974
pop_size_root_PopulationA	400	-	601.0	601.0
ln_likelihood_PopulationC	400	-	601.0	601.0
root_height_PopulationC	400	-	560.9616638247782	560.9616638247782
pop_size_PopulationC	400	-	601.0	601.0
pop_size_PopulationD	400	-	449.6233293781326	449.6233293781326
pop_size_root_PopulationC	400	-	554.0682235845218	554.0682235845218
ln_likelihood_PopulationE	400	-	550.4011554668508	550.4011554668508
root_height_PopulationE	400	-	563.6456388441518	563.6456388441518
pop_size_PopulationE	400	-	466.42034388411145	466.42034388411145
pop_size_PopulationF	400	-	478.7247070087003	478.7247070087003
pop_size_root_PopulationE	400	-	460.84335031723907	460.84335031723907
ln_likelihood_PopulationG	400	-	601.0	601.0
root_height_PopulationG	400	-	578.1904984876714	578.1904984876714
pop_size_PopulationG	400	-	571.13139614695	571.13139614695
pop_size_PopulationH	400	-	570.457061203513	570.457061203513
pop_size_root_PopulationG	400	-	601.0	601.0
ln_likelihood_PopulationI	400	-	433.9180933379076	433.9180933379076
root_height_PopulationI	400	-	601.0	601.0
pop_size_PopulationI	400	-	558.0893153961379	558.0893153961379
pop_size_PopulationJ	400	-	601.0	601.0
pop_size_root_PopulationI	400	-	601.0	601.0
ln_likelihood_PopulationK	400	-	476.2514738708582	476.2514738708582
root_height_PopulationK	400	-	560.2849507217364	560.2849507217364
pop_size_PopulationK	400	-	495.0130514936533	495.0130514936533
pop_size_PopulationL	400	-	601.0	601.0
pop_size_root_PopulationK	400	-	574.0191802123477	574.0191802123477
ln_likelihood	500	-	426.90960103972924	426.90960103972924
concentration	500	-	501.0	501.0
ln_likelihood_PopulationA	500	-	501.0	501.0
root_height_PopulationA	500	-	456.6200198520718	456.6200198520718
pop_size_PopulationA	500	-	429.1331447347086	429.1331447347086
pop_size_PopulationB	500	-	367.8227158355239	367.8227158355239
pop_size_root_PopulationA	500	-	501.0	501.0
ln_likelihood_PopulationC	500	-	501.0	501.0
root_height_PopulationC	500	-	501.0	501.0
pop_size_PopulationC	500	-	396.3783863492212	396.3783863492212
pop_size_PopulationD	500	-	341.92053589360194	341.92053589360194
pop_size_root_PopulationC	500	-	424.8974530833279	424.8974530833279
ln_likelihood_PopulationE	500	-	501.0	501.0
root_height_PopulationE	500	-	501.0	501.0
pop_size_PopulationE	500	-	400.3883455492628	400.3883455492628
pop_size_PopulationF	500	-	423.73428622774605	423.73428622774605
pop_size_root_PopulationE	500	-	377.181687557401	377.181687557401
ln_likelihood_PopulationG	500	-	501.0	501.0
root_height_PopulationG	500	-	501.0	501.0
pop_size_PopulationG	500	-	501.0	501.0
pop_size_PopulationH	500	-	436.9200066228783	436.9200066228783
pop_size_root_PopulationG	500	-	501.0	501.0
ln_likelihood_PopulationI	500	-	404.4985354794855	404.4985354794855
root_height_PopulationI	500	-	468.2924333875843	468.2924333875843
pop_size_PopulationI	500	-	439.1120531879681	439.1120531879681
pop_size_PopulationJ	500	-	501.0	501.0
pop_size_root_PopulationI	500	-	501.0	501.0
ln_likelihood_PopulationK	500	-	501.0	501.0
root_height_PopulationK	500	-	501.0	501.0
pop_size_PopulationK	500	-	501.0	501.0
pop_size_PopulationL	500	-	501.0	501.0
pop_size_root_PopulationK	500	-	501.0	501.0
ln_likelihood	600	-	289.52328218680975	289.52328218680975
concentration	600	-	401.0	401.0
ln_likelihood_PopulationA	600	-	401.0	401.0
root_height_PopulationA	600	-	379.56291004680486	379.56291004680486
pop_size_PopulationA	600	-	401.0	401.0
pop_size_PopulationB	600	-	401.0	401.0
pop_size_root_PopulationA	600	-	401.0	401.0
ln_likelihood_PopulationC	600	-	401.0	401.0
root_height_PopulationC	600	-	367.8697597825206	367.8697597825206
pop_size_PopulationC	600	-	294.0213069076861	294.0213069076861
pop_size_PopulationD	600	-	340.4771252959493	340.4771252959493
pop_size_root_PopulationC	600	-	322.93740169232063	322.93740169232063
ln_likelihood_PopulationE	600	-	401.0	401.0
root_height_PopulationE	600	-	369.0291720265074	369.0291720265074
pop_size_PopulationE	600	-	247.7642625129153	247.7642625129153
pop_size_PopulationF	600	-	308.67368026568306	308.67368026568306
pop_size_root_PopulationE	600	-	315.93960281875394	315.93960281875394
ln_likelihood_PopulationG	600	-	401.0	401.0
root_height_PopulationG	600	-	382.82767646212153	382.82767646212153
pop_size_PopulationG	600	-	401.0	401.0
pop_size_PopulationH	600	-	401.0	401.0
pop_size_root_PopulationG	600	-	385.8122769327327	385.8122769327327
ln_likelihood_PopulationI	600	-	401.0	401.0
root_height_PopulationI	600	-	401.0	401.0
pop_size_PopulationI	600	-	342.09770154283234	342.09770154283234
pop_size_PopulationJ	600	-	401.0	401.0
pop_size_root_PopulationI	600	-	401.0	401.0
ln_likelihood_PopulationK	600	-	331.8179162085305	331.8179162085305
root_height_PopulationK	600	-	375.31725371295454	375.31725371295454
pop_size_PopulationK	600	-	401.0	401.0
pop_size_PopulationL	600	-	401.0	401.0
pop_size_root_PopulationK	600	-	401.0	401.0
ln_likelihood	700	-	276.44013197469747	276.44013197469747
concentration	700	-	163.87725944815233	163.87725944815233
ln_likelihood_PopulationA	700	-	301.0	301.0
root_height_PopulationA	700	-	265.17155575852945	265.17155575852945
pop_size_PopulationA	700	-	301.0	301.0
pop_size_PopulationB	700	-	222.25725152391593	222.25725152391593
pop_size_root_PopulationA	700	-	301.0	301.0
ln_likelihood_PopulationC	700	-	301.0	301.0
root_height_PopulationC	700	-	284.53547718875006	284.53547718875006
pop_size_PopulationC	700	-	199.0084455996956	199.0084455996956
pop_size_PopulationD	700	-	216.09383108261426	216.09383108261426
pop_size_root_PopulationC	700	-	224.6260161816293	224.6260161816293
ln_likelihood_PopulationE	700	-	301.0	301.0
root_height_PopulationE	700	-	280.43615002842347	280.43615002842347
pop_size_PopulationE	700	-	243.11290527966798	243.11290527966798
pop_size_PopulationF	700	-	219.09188132478803	219.09188132478803
pop_size_root_PopulationE	700	-	301.0	301.0
ln_likelihood_PopulationG	700	-	284.75135521590823	284.75135521590823
root_height_PopulationG	700	-	280.43615002842347	280.43615002842347
pop_size_PopulationG	700	-	298.754402293199	298.754402293199
pop_size_PopulationH	700	-	301.0	301.0
pop_size_root_PopulationG	700	-	238.20461963697593	238.20461963697593
ln_likelihood_PopulationI	700	-	301.0	301.0
root_height_PopulationI	700	-	301.0	301.0
pop_size_PopulationI	700	-	263.37873583398255	263.37873583398255
pop_size_PopulationJ	700	-	301.0	301.0
pop_size_root_PopulationI	700	-	301.0	301.0
ln_likelihood_PopulationK	700	-	301.0	301.0
root_height_PopulationK	700	-	280.43615002842347	280.43615002842347
pop_size_PopulationK	700	-	301.0	301.0
pop_size_PopulationL	700	-	301.0	301.0
pop_size_root_PopulationK	700	-	301.0	301.0
ln_likelihood	800	-	201.0	201.0
concentration	800	-	139.45223996938932	139.45223996938932
ln_likelihood_PopulationA	800	-	201.0	201.0
root_height_PopulationA	800	-	201.0	201.0
pop_size_PopulationA	800	-	190.043542435083	190.043542435083
pop_size_PopulationB	800	-	199.05027990716852	199.05027990716852
pop_size_root_PopulationA	800	-	201.0	201.0
ln_likelihood_PopulationC	800	-	201.0	201.0
root_height_PopulationC	800	-	201.0	201.0
pop_size_PopulationC	800	-	174.4231580897114	174.4231580897114
pop_size_PopulationD	800	-	197.12536749946096	197.12536749946096
pop_size_root_PopulationC	800	-	201.0	201.0
ln_likelihood_PopulationE	800	-	189.74555237393372	189.74555237393372
root_height_PopulationE	800	-	201.0	201.0
pop_size_PopulationE	800	-	147.0511061532703	147.0511061532703
pop_size_PopulationF	800	-	127.60026996438698	127.60026996438698
pop_size_root_PopulationE	800	-	186.88349597346064	186.88349597346064
ln_likelihood_PopulationG	800	-	184.86056754587565	184.86056754587565
root_height_PopulationG	800	-	201.0	201.0
pop_size_PopulationG	800	-	201.0	201.0
pop_size_PopulationH	800	-	201.0	201.0
pop_size_root_PopulationG	800	-	146.10397675470816	146.10397675470816
ln_likelihood_PopulationI	800	-	201.0	201.0
root_height_PopulationI	800	-	201.0	201.0
pop_size_PopulationI	800	-	140.9716575011495	140.9716575011495
pop_size_PopulationJ	800	-	201.0	201.0
pop_size_root_PopulationI	800	-	201.0	201.0
ln_likelihood_PopulationK	800	-	201.0	201.0
