Run	Prob_1_Event	Prob_2_Events	Prob_3_Events	Prob_4_Events	Prob_5_Events	Prob_6_Events	Mean_Divergence_PopA_PopB	Mean_Divergence_PopC_PopD	Mean_Divergence_PopE_PopF	Mean_Divergence_PopG_PopH	Mean_Divergence_PopI_PopJ	Mean_Divergence_PopK_PopL	Gene_Length	Population_Size	Mutation_Rate	Samples_Simulated_Per_Pop	True_Number_Events	True_Divergence_PopA_PopB	True_Divergence_PopC_PopD	True_Divergence_PopE_PopF	True_Divergence_PopG_PopH	True_Divergence_PopI_PopJ	True_Divergence_PopK_PopL
1	0.877123	0.107892	0.011988	0.000999	0.000999	0.000999	0.000103	0.000092	0.000097	0.000091	0.00009	0.000105	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
2	0.845155	0.137862	0.014985	0.000999	0	0.000999	0.0001	0.000072	0.000083	0.000086	0.000073	0.000085	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
3	0.779221	0.17982	0.032967	0.005994	0.000999	0.000999	0.000197	0.000198	0.000218	0.000216	0.0002	0.000182	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
4	0.788212	0.17982	0.027972	0.002997	0	0.000999	0.000263	0.000269	0.000269	0.000258	0.000267	0.000261	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
5	0.696304	0.253746	0.041958	0.006993	0	0.000999	0.000108	0.000125	0.00014	0.000114	0.000265	0.000135	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
6	0.83017	0.138861	0.027972	0.000999	0.000999	0.000999	0.00011	0.000131	0.000121	0.000123	0.00012	0.000126	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
7	0.83017	0.148851	0.018981	0.000999	0	0.000999	0.000189	0.000193	0.00019	0.000202	0.00019	0.000186	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
8	0.845155	0.138861	0.013986	0.000999	0	0.000999	0.0001	0.000096	0.000085	0.00008	0.000089	0.000093	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
9	0.415584	0.353646	0.171828	0.044955	0.010989	0.002997	0.000601	0.000397	0.000419	0.000903	0.0004	0.000436	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
10	0.875125	0.112887	0.010989	0	0	0.000999	0.000063	0.00008	0.000068	0.000059	0.000058	0.000065	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
11	0.821179	0.153846	0.021978	0.001998	0	0.000999	0.000141	0.000161	0.000146	0.000132	0.000142	0.000142	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
12	0.793207	0.171828	0.02997	0.003996	0	0.000999	0.000129	0.000118	0.000108	0.000145	0.000134	0.000134	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
13	0.834166	0.143856	0.017982	0.002997	0	0.000999	0.000165	0.000159	0.000163	0.00016	0.000155	0.000164	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
14	0.725275	0.221778	0.042957	0.007992	0.000999	0.000999	0.000336	0.000372	0.00032	0.000313	0.000337	0.000336	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
15	0.014985	0.712288	0.222777	0.044955	0.003996	0.000999	0.00199	0.000197	0.000155	0.00017	0.000104	0.000108	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
16	0.86014	0.120879	0.015984	0.001998	0	0.000999	0.000115	0.000106	0.000125	0.000113	0.000111	0.000107	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
17	0.784216	0.182817	0.025974	0.005994	0	0.000999	0.000151	0.000162	0.000137	0.000194	0.000164	0.000153	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
18	0.824176	0.138861	0.032967	0.002997	0	0.000999	0.000201	0.000202	0.000204	0.0002	0.000205	0.000214	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
19	0.851149	0.128871	0.017982	0.000999	0	0.000999	0.0001	0.000106	0.000093	0.000124	0.000096	0.000108	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
20	0.809191	0.173826	0.011988	0.002997	0.000999	0.000999	0.000193	0.000183	0.000202	0.000194	0.000205	0.000191	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
21	0.789211	0.18981	0.015984	0.002997	0.000999	0.000999	0.000157	0.000144	0.000146	0.000147	0.000221	0.000151	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
22	0.827173	0.146853	0.024975	0	0	0.000999	0.000193	0.000206	0.000205	0.000196	0.000211	0.000192	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
23	0.802198	0.162837	0.030969	0.002997	0	0.000999	0.000182	0.000196	0.000182	0.000168	0.000173	0.000183	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
24	0.721279	0.221778	0.048951	0.006993	0	0.000999	0.000304	0.000303	0.000315	0.000301	0.000301	0.00037	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
25	0.775225	0.197802	0.020979	0.001998	0.002997	0.000999	0.000178	0.000173	0.000175	0.000184	0.000209	0.000161	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
26	0.805195	0.172827	0.01998	0.000999	0	0.000999	0.000206	0.000201	0.000194	0.000204	0.000214	0.000216	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
27	0.794206	0.168831	0.026973	0.008991	0	0.000999	0.00018	0.000181	0.000183	0.000183	0.000215	0.000181	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
28	0.699301	0.225774	0.053946	0.018981	0.000999	0.000999	0.000409	0.00042	0.000453	0.000406	0.000462	0.000414	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
29	0.488511	0.321678	0.143856	0.032967	0.010989	0.001998	0.00041	0.000363	0.000403	0.000389	0.000737	0.000544	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
30	0.71029	0.220779	0.057942	0.007992	0.001998	0.000999	0.000299	0.000377	0.000315	0.000288	0.000291	0.000298	1000	10000	1.00E-08	10	1	10000	10000	10000	10000	10000	10000
