Run	Gene_Length	Population_Size	Mutation_Rate	Prob_1_Event	Prob_2_Events	Prob_3_Events	Prob_4_Events	Prob_5_Events	Prob_6_Events	Mean_Divergence_PopA_PopB	Mean_Divergence_PopC_PopD	Mean_Divergence_PopE_PopF	Mean_Divergence_PopG_PopH	Mean_Divergence_PopI_PopJ	Mean_Divergence_PopK_PopL	Gene_Length	Population_Size	Mutation_Rate	Samples_Simulated_Per_Pop	True_Number_Events	True_Divergence_PopA_PopB	True_Divergence_PopC_PopD	True_Divergence_PopE_PopF	True_Divergence_PopG_PopH	True_Divergence_PopI_PopJ	True_Divergence_PopK_PopL
1	X	Y	Z	0.353646	0.396603	0.183816	0.051948	0.011988	0.001998	0.000458	0.000508	0.001184	0.000587	0.00048	0.000575	1000	10000	1e-8	10	3	10000	10000	30000	30000	50000	50000
2	X	Y	Z	0.553447	0.317682	0.096903	0.028971	0.001998	0.000999	0.000363	0.000357	0.000563	0.00035	0.000362	0.000456	1000	10000	1e-8	10	3	10000	10000	30000	30000	50000	50000
3	X	Y	Z	0.715285	0.228771	0.046953	0.004995	0.001998	0.001998	0.000176	0.000205	0.00021	0.000217	0.000271	0.000205	1000	10000	1e-8	10	3	10000	10000	30000	30000	50000	50000
4	X	Y	Z	0.643357	0.257742	0.077922	0.016983	0.001998	0.001998	0.000376	0.000361	0.000363	0.000356	0.000427	0.000464	1000	10000	1e-8	10	3	10000	10000	30000	30000	50000	50000
5	X	Y	Z	0.734266	0.213786	0.040959	0.008991	0	0.001998	0.000315	0.000318	0.000322	0.000314	0.00033	0.000387	1000	10000	1e-8	10	3	10000	10000	30000	30000	50000	50000
6	X	Y	Z	0	0.286713	0.427572	0.224775	0.050949	0.00999	0.000078	0.000077	0.000538	0.000435	0.001911	0.001685	1000	10000	1e-8	10	3	10000	10000	30000	30000	50000	50000
7	X	Y	Z	0.45954	0.345654	0.141858	0.047952	0.003996	0.000999	0.000401	0.000334	0.000527	0.000485	0.000381	0.000695	1000	10000	1e-8	10	3	10000	10000	30000	30000	50000	50000
8	X	Y	Z	0.674326	0.238761	0.072927	0.010989	0.001998	0.000999	0.000325	0.000412	0.000343	0.000378	0.000363	0.000411	1000	10000	1e-8	10	3	10000	10000	30000	30000	50000	50000
9	X	Y	Z	0.792208	0.171828	0.032967	0.000999	0.000999	0.000999	0.000239	0.000262	0.000243	0.000251	0.000253	0.000242	1000	10000	1e-8	10	3	10000	10000	30000	30000	50000	50000
10	X	Y	Z	0.425574	0.38961	0.143856	0.031968	0.007992	0.000999	0.000277	0.00028	0.000452	0.000232	0.000741	0.000323	1000	10000	1e-8	10	3	10000	10000	30000	30000	50000	50000
