generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	2656	0	10	0.263158	none	
ConcentrationScaler	385	369	3	0.0789474	2.56913	
TimeSizeRateMixer	925	796	6	0.157895	0.198213	
TimeRootSizeMixer	925	854	6	0.157895	0.0808301	
EventTimeScaler	4318	2474	1	0.0263158	1.83707	
RootPopulationSizeScaler0	1648	1733	1	0.0263158	0.44757	
LeafPopulationSizeScaler0	2340	1016	1	0.0263158	1.62974	
RootPopulationSizeScaler1	1679	1683	1	0.0263158	0.446734	
LeafPopulationSizeScaler1	2193	1176	1	0.0263158	1.80149	
RootPopulationSizeScaler2	1741	1636	1	0.0263158	0.418553	
LeafPopulationSizeScaler2	2086	1280	1	0.0263158	1.66369	
RootPopulationSizeScaler3	1776	1580	1	0.0263158	0.429858	
LeafPopulationSizeScaler3	2379	999	1	0.0263158	1.89978	
RootPopulationSizeScaler4	1684	1696	1	0.0263158	0.446178	
LeafPopulationSizeScaler4	2440	896	1	0.0263158	1.75855	
RootPopulationSizeScaler5	1610	1761	1	0.0263158	0.458728	
LeafPopulationSizeScaler5	2272	1093	1	0.0263158	2.13663	
generation 20000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	5271	0	10	0.263158	none	
ConcentrationScaler	771	793	3	0.0789474	2.66185	
TimeSizeRateMixer	1714	1706	6	0.157895	0.202742	
TimeRootSizeMixer	1741	1718	6	0.157895	0.0838127	
EventTimeScaler	8090	5212	1	0.0263158	2.01632	
RootPopulationSizeScaler0	3180	3563	1	0.0263158	0.454063	
LeafPopulationSizeScaler0	4370	2357	1	0.0263158	1.83773	
RootPopulationSizeScaler1	3200	3504	1	0.0263158	0.45273	
LeafPopulationSizeScaler1	4094	2626	1	0.0263158	1.97281	
RootPopulationSizeScaler2	3362	3357	1	0.0263158	0.430036	
LeafPopulationSizeScaler2	3955	2737	1	0.0263158	1.80882	
RootPopulationSizeScaler3	3385	3332	1	0.0263158	0.441685	
LeafPopulationSizeScaler3	4457	2282	1	0.0263158	2.15658	
RootPopulationSizeScaler4	3281	3451	1	0.0263158	0.454205	
LeafPopulationSizeScaler4	4521	2165	1	0.0263158	2.02422	
RootPopulationSizeScaler5	3169	3551	1	0.0263158	0.46672	
LeafPopulationSizeScaler5	4237	2490	1	0.0263158	2.37421	
generation 30000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	7894	0	10	0.263158	none	
ConcentrationScaler	1140	1239	3	0.0789474	2.6791	
TimeSizeRateMixer	2514	2628	6	0.157895	0.205069	
TimeRootSizeMixer	2601	2623	6	0.157895	0.0856652	
EventTimeScaler	11777	8241	1	0.0263158	2.1102	
RootPopulationSizeScaler0	4776	5348	1	0.0263158	0.459346	
LeafPopulationSizeScaler0	6336	3771	1	0.0263158	1.94451	
RootPopulationSizeScaler1	4784	5328	1	0.0263158	0.456768	
LeafPopulationSizeScaler1	5961	4140	1	0.0263158	2.05947	
RootPopulationSizeScaler2	5003	5099	1	0.0263158	0.438517	
LeafPopulationSizeScaler2	5773	4323	1	0.0263158	1.88326	
RootPopulationSizeScaler3	4985	5120	1	0.0263158	0.447865	
LeafPopulationSizeScaler3	6446	3678	1	0.0263158	2.29395	
RootPopulationSizeScaler4	4831	5262	1	0.0263158	0.458314	
LeafPopulationSizeScaler4	6610	3486	1	0.0263158	2.17285	
RootPopulationSizeScaler5	4713	5400	1	0.0263158	0.469207	
LeafPopulationSizeScaler5	6188	3938	1	0.0263158	2.50822	
generation 40000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	10564	0	10	0.263158	none	
ConcentrationScaler	1504	1624	3	0.0789474	2.70894	
TimeSizeRateMixer	3298	3575	6	0.157895	0.2065	
TimeRootSizeMixer	3467	3488	6	0.157895	0.0870214	
EventTimeScaler	15503	11268	1	0.0263158	2.18022	
RootPopulationSizeScaler0	6343	7166	1	0.0263158	0.462474	
LeafPopulationSizeScaler0	8296	5196	1	0.0263158	2.021	
RootPopulationSizeScaler1	6352	7150	1	0.0263158	0.459577	
LeafPopulationSizeScaler1	7760	5692	1	0.0263158	2.1204	
RootPopulationSizeScaler2	6556	6914	1	0.0263158	0.441804	
