model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,0,0,0,0	0.87	0.87	0.025918	251.518
0,0,0,0,1,0	0.0244444	0.894444	0.00736	3.37942
0,0,1,0,0,0	0.0188889	0.913333	0.007328	2.60801
0,0,0,1,0,0	0.0177778	0.931111	0.007472	2.40422
0,1,0,0,0,0	0.0133333	0.944444	0.007466	1.79649
0,1,1,1,1,1	0.00555556	0.95	0.007384	0.750994
0,0,0,0,0,1	0.00444444	0.954444	0.007404	0.598492
0,1,0,1,1,1	0.00444444	0.958889	0.001897	2.34888
0,1,0,0,1,0	0.00333333	0.962222	0.0019	1.75691
0,0,1,0,1,1	0.00222222	0.964444	0.00122	1.82332
0,1,1,0,0,0	0.00222222	0.966667	0.001869	1.18941
0,0,0,1,1,0	0.00222222	0.968889	0.001866	1.19133
0,1,0,1,1,0	0.00222222	0.971111	0.001227	1.81291
0,1,0,1,0,1	0.00222222	0.973333	0.001237	1.79823
0,0,1,0,0,1	0.00222222	0.975556	0.001853	1.1997
0,1,1,0,1,0	0.00222222	0.977778	0.001217	1.82782
0,1,0,0,0,2	0.00111111	0.978889	0.004701	0.235507
0,0,1,2,0,0	0.00111111	0.98	0.004782	0.231499
0,1,0,0,2,0	0.00111111	0.981111	0.004738	0.233659
0,1,0,1,0,0	0.00111111	0.982222	0.001834	0.605402
0,0,1,1,2,1	0.00111111	0.983333	0.001672	0.664167
0,0,1,1,1,1	0.00111111	0.984444	0.001835	0.605071
0,0,1,1,1,0	0.00111111	0.985556	0.001253	0.886635
0,0,1,1,0,1	0.00111111	0.986667	0.001236	0.898845
0,1,1,0,0,1	0.00111111	0.987778	0.001261	0.881003
0,0,1,0,1,0	0.00111111	0.988889	0.001884	0.589305
0,0,0,1,2,0	0.00111111	0.99	0.004862	0.227671
0,1,1,1,1,2	0.00111111	0.991111	0.004714	0.234854
0,1,1,1,2,1	0.00111111	0.992222	0.004671	0.237027
0,1,2,0,0,0	0.00111111	0.993333	0.00466	0.237589
0,1,2,0,1,0	0.00111111	0.994444	0.001528	0.726863
0,1,2,0,1,1	0.00111111	0.995556	0.001507	0.737008
0,1,2,0,2,0	0.00111111	0.996667	0.001586	0.700241
0,1,2,1,2,0	0.00111111	0.997778	0.00082	1.35541
0,1,2,2,0,0	0.00111111	0.998889	0.001622	0.684675
0,1,2,2,2,2	0.00111111	1	0.004828	0.229283
