model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,0,0,0,0	0.968889	0.968889	0.025805	1175.71
0,1,0,0,0,0	0.00555556	0.974444	0.007456	0.743688
0,0,1,0,0,0	0.00444444	0.978889	0.007341	0.603666
0,0,0,1,0,0	0.00222222	0.981111	0.007211	0.30663
0,1,0,1,0,0	0.00222222	0.983333	0.001882	1.18118
0,1,0,0,1,0	0.00222222	0.985556	0.001881	1.18181
0,1,1,1,1,1	0.00222222	0.987778	0.007323	0.301907
0,0,0,0,1,0	0.00222222	0.99	0.007348	0.300872
0,0,1,1,1,1	0.00111111	0.991111	0.001854	0.598859
0,0,1,1,0,0	0.00111111	0.992222	0.001844	0.602113
0,0,1,0,1,1	0.00111111	0.993333	0.001203	0.923532
0,1,0,1,1,1	0.00111111	0.994444	0.001914	0.580051
0,1,1,0,0,1	0.00111111	0.995556	0.001223	0.908411
0,1,1,0,1,1	0.00111111	0.996667	0.001899	0.584642
0,1,1,1,0,0	0.00111111	0.997778	0.001294	0.858507
0,1,1,1,0,1	0.00111111	0.998889	0.001797	0.61789
0,1,0,0,0,1	0.00111111	1	0.001839	0.603753
