model	post_prob	cumulative_post_prob	prior_prob	bf
0,1,2,3,4,5	0.134444	0.134444	0.153383	0.857349
0,1,2,3,4,3	0.05	0.184444	0.019025	2.71381
0,1,2,3,3,3	0.0488889	0.233333	0.006424	7.95013
0,1,1,2,3,4	0.0466667	0.28	0.019109	2.51272
0,0,1,2,2,2	0.0455556	0.325556	0.0016	29.7835
0,1,2,3,4,4	0.04	0.365556	0.018822	2.17205
0,0,1,2,3,2	0.0355556	0.401111	0.003238	11.3487
0,1,2,3,3,4	0.0355556	0.436667	0.019163	1.88696
0,0,1,1,1,1	0.0311111	0.467778	0.001895	16.9125
0,0,0,1,1,1	0.0311111	0.498889	0.001254	25.574
0,0,1,2,3,4	0.03	0.528889	0.019265	1.57446
0,0,1,2,2,3	0.0288889	0.557778	0.003194	9.28405
0,0,1,2,3,3	0.0244444	0.582222	0.003116	8.01633
0,1,1,2,2,2	0.0233333	0.605556	0.001511	15.7874
0,1,1,2,3,3	0.0222222	0.627778	0.003215	7.04641
0,1,1,2,2,3	0.02	0.647778	0.003193	6.37112
0,0,0,1,1,2	0.02	0.667778	0.001593	12.7907
0,0,0,1,2,1	0.0188889	0.686667	0.001565	12.2827
0,1,2,2,2,2	0.0177778	0.704444	0.004613	3.9055
0,0,0,1,2,3	0.0177778	0.722222	0.006477	2.77633
0,1,1,2,3,2	0.0177778	0.74	0.003274	5.51017
0,1,2,2,3,4	0.0155556	0.755556	0.01924	0.805475
0,0,0,1,2,2	0.0144444	0.77	0.001638	8.93293
0,1,2,3,2,2	0.0133333	0.783333	0.006337	2.11896
0,0,1,1,2,2	0.0122222	0.795556	0.000788	15.69
0,1,2,2,2,3	0.0111111	0.806667	0.006423	1.7381
0,1,0,2,3,4	0.0111111	0.817778	0.01915	0.575498
0,1,2,3,4,2	0.01	0.827778	0.019225	0.515309
0,1,1,1,1,1	0.00888889	0.836667	0.007439	1.19665
0,1,0,2,2,2	0.00888889	0.845556	0.001541	5.81102
0,1,2,2,3,3	0.00888889	0.854444	0.003271	2.73289
0,0,1,1,2,1	0.00888889	0.863333	0.001596	5.61046
0,1,0,2,3,3	0.00888889	0.872222	0.003251	2.74975
0,0,1,1,2,3	0.00777778	0.88	0.003266	2.39227
0,0,1,2,1,1	0.00777778	0.887778	0.001502	5.21103
0,1,0,2,2,3	0.00777778	0.895556	0.003195	2.4456
0,0,1,1,1,2	0.00777778	0.903333	0.001555	5.03316
0,0,1,2,1,3	0.00666667	0.91	0.003266	2.04822
0,1,2,3,2,4	0.00666667	0.916667	0.018964	0.347191
0,1,2,2,3,2	0.00555556	0.922222	0.006459	0.859345
0,1,0,2,3,2	0.00555556	0.927778	0.003272	1.70181
0,0,1,2,1,2	0.00444444	0.932222	0.000787	5.66807
0,1,2,3,1,4	0.00444444	0.936667	0.019006	0.230424
0,0,1,2,2,1	0.00444444	0.941111	0.000767	5.81599
0,0,1,2,3,1	0.00444444	0.945556	0.003148	1.41367
0,1,2,1,3,3	0.00444444	0.95	0.003164	1.4065
0,1,2,1,3,4	0.00333333	0.953333	0.018941	0.173229
0,1,1,1,2,3	0.00333333	0.956667	0.006487	0.512222
0,1,2,3,2,3	0.00333333	0.96	0.003255	1.02415
0,1,2,3,1,1	0.00333333	0.963333	0.006364	0.522187
0,1,2,1,1,3	0.00222222	0.965556	0.006568	0.336867
0,1,0,2,3,0	0.00222222	0.967778	0.006407	0.345388
0,1,1,1,1,2	0.00222222	0.97	0.004792	0.462542
0,1,2,1,3,1	0.00222222	0.972222	0.006431	0.344091
0,1,1,1,2,1	0.00222222	0.974444	0.004756	0.46606
0,1,1,1,2,2	0.00222222	0.976667	0.001545	1.43931
0,1,1,2,1,1	0.00222222	0.978889	0.004806	0.461188
0,1,1,2,1,2	0.00222222	0.981111	0.001586	1.40204
0,1,1,2,1,3	0.00111111	0.982222	0.00634	0.174337
0,1,2,2,1,3	0.00111111	0.983333	0.003165	0.35034
0,1,0,0,2,2	0.00111111	0.984444	0.001617	0.686796
0,1,0,0,0,0	0.00111111	0.985556	0.007283	0.15162
0,1,2,0,3,0	0.00111111	0.986667	0.006393	0.172882
0,1,2,3,1,3	0.00111111	0.987778	0.003182	0.348462
0,1,0,1,2,3	0.00111111	0.988889	0.003182	0.348462
0,1,1,0,2,0	0.00111111	0.99	0.001657	0.670189
0,1,0,1,2,1	0.00111111	0.991111	0.001648	0.673856
0,1,0,2,3,1	0.00111111	0.992222	0.003142	0.352913
0,1,2,3,3,2	0.00111111	0.993333	0.003184	0.348243
0,1,2,0,3,4	0.00111111	0.994444	0.019084	0.0571745
0,0,1,1,0,1	0.00111111	0.995556	0.00123	0.903235
0,0,0,1,2,0	0.00111111	0.996667	0.004782	0.231499
0,0,0,1,1,0	0.00111111	0.997778	0.001829	0.60706
0,0,0,1,0,1	0.00111111	0.998889	0.001858	0.597567
0,0,0,0,1,1	0.00111111	1	0.001856	0.598213
