model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,0,0,0,0	0.427778	0.427778	0.025871	28.1486
0,0,0,0,1,0	0.136667	0.564444	0.007255	21.6613
0,0,1,0,1,0	0.0588889	0.623333	0.001887	33.0979
0,0,1,0,2,0	0.0355556	0.658889	0.004846	7.57072
0,0,0,1,0,0	0.0288889	0.687778	0.00739	3.99573
0,0,1,0,0,0	0.0277778	0.715556	0.00738	3.8429
0,0,0,0,1,1	0.0177778	0.733333	0.001909	9.46307
0,0,1,0,1,1	0.0155556	0.748889	0.001208	13.0648
0,0,0,1,2,0	0.0133333	0.762222	0.004854	2.77048
0,1,1,1,1,1	0.0122222	0.774444	0.007451	1.64827
0,1,0,1,0,1	0.01	0.784444	0.001167	8.64543
0,0,0,0,1,2	0.01	0.794444	0.004744	2.11912
0,1,1,0,1,0	0.00888889	0.803333	0.001245	7.19473
0,1,0,0,0,0	0.00888889	0.812222	0.007192	1.23806
0,1,0,1,0,0	0.00666667	0.818889	0.001895	3.53493
0,0,0,0,0,1	0.00666667	0.825556	0.007327	0.909272
0,0,0,1,0,1	0.00666667	0.832222	0.001871	3.58036
0,1,1,0,2,1	0.00666667	0.838889	0.001533	4.37125
0,1,0,1,0,2	0.00666667	0.845556	0.001604	4.17746
0,0,1,0,2,1	0.00666667	0.852222	0.001544	4.34006
0,1,0,0,2,0	0.00555556	0.857778	0.004753	1.1698
0,1,0,0,1,0	0.00555556	0.863333	0.001861	2.99634
0,0,1,0,2,3	0.00555556	0.868889	0.006414	0.865413
0,0,1,0,1,2	0.00555556	0.874444	0.001569	3.55502
0,1,0,1,2,0	0.00444444	0.878889	0.001508	2.95594
0,1,1,1,0,1	0.00444444	0.883333	0.001864	2.39054
0,1,1,1,0,0	0.00444444	0.887778	0.001245	3.58131
0,1,1,2,1,1	0.00444444	0.892222	0.004919	0.903095
0,1,1,0,1,1	0.00444444	0.896667	0.001809	2.46336
0,1,2,0,3,0	0.00333333	0.9	0.006462	0.514217
0,0,1,0,0,1	0.00333333	0.903333	0.001865	1.78994
0,1,1,0,2,0	0.00333333	0.906667	0.001592	2.09746
0,0,0,1,2,1	0.00333333	0.91	0.001554	2.14883
0,0,1,2,3,0	0.00333333	0.913333	0.00666	0.49883
0,1,2,1,3,1	0.00333333	0.916667	0.006457	0.514618
0,0,1,1,0,0	0.00222222	0.918889	0.001828	1.21614
0,1,2,3,4,1	0.00222222	0.921111	0.018928	0.115438
0,0,1,0,2,2	0.00222222	0.923333	0.001521	1.46205
0,1,1,1,2,0	0.00222222	0.925556	0.001524	1.45917
0,0,1,0,0,2	0.00222222	0.927778	0.004744	0.467244
0,1,2,0,1,1	0.00222222	0.93	0.001642	1.35415
0,1,2,0,2,0	0.00222222	0.932222	0.001615	1.37683
0,1,0,2,3,2	0.00222222	0.934444	0.003157	0.703244
0,0,1,2,0,0	0.00222222	0.936667	0.004726	0.469032
0,1,0,2,3,0	0.00222222	0.938889	0.00645	0.343071
0,1,2,1,1,1	0.00222222	0.941111	0.004824	0.459458
0,0,1,1,0,1	0.00222222	0.943333	0.001182	1.88201
0,1,0,1,1,1	0.00222222	0.945556	0.001891	1.17555
0,1,0,1,1,0	0.00111111	0.946667	0.001312	0.846713
0,1,0,2,0,3	0.00111111	0.947778	0.006388	0.173018
0,1,0,2,1,0	0.00111111	0.948889	0.001592	0.697598
0,1,0,2,2,0	0.00111111	0.95	0.001579	0.703351
0,0,0,1,2,2	0.00111111	0.951111	0.001587	0.699799
0,1,0,0,2,3	0.00111111	0.952222	0.006424	0.172043
0,1,0,2,3,3	0.00111111	0.953333	0.003231	0.343161
0,0,0,1,1,1	0.00111111	0.954444	0.001231	0.9025
0,1,0,0,2,2	0.00111111	0.955556	0.001559	0.712388
0,1,1,0,1,2	0.00111111	0.956667	0.001581	0.702459
0,1,0,0,2,1	0.00111111	0.957778	0.001617	0.686796
0,0,0,1,1,0	0.00111111	0.958889	0.001831	0.606396
0,1,1,0,2,2	0.00111111	0.96	0.000786	1.41409
0,1,1,0,2,3	0.00111111	0.961111	0.003165	0.35034
0,1,0,0,1,1	0.00111111	0.962222	0.001234	0.900303
0,1,0,0,0,1	0.00111111	0.963333	0.001888	0.588055
0,0,0,1,0,2	0.00111111	0.964444	0.004841	0.228664
0,0,1,2,3,4	0.00111111	0.965556	0.018985	0.0574785
0,1,1,1,2,1	0.00111111	0.966667	0.004842	0.228616
