generation 10000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	2618	0	10	0.263158	none	
ConcentrationScaler	420	356	3	0.0789474	2.28892	
TimeSizeRateMixer	878	1018	6	0.157895	0.217643	
TimeRootSizeMixer	924	1022	6	0.157895	0.170423	
EventTimeScaler	4280	2937	1	0.0263158	1.80675	
RootPopulationSizeScaler0	1734	1801	1	0.0263158	0.440189	
LeafPopulationSizeScaler0	2415	1118	1	0.0263158	2.1193	
RootPopulationSizeScaler1	1818	1728	1	0.0263158	0.428301	
LeafPopulationSizeScaler1	2470	1051	1	0.0263158	1.97563	
RootPopulationSizeScaler2	1738	1795	1	0.0263158	0.453325	
LeafPopulationSizeScaler2	2291	1238	1	0.0263158	1.93311	
RootPopulationSizeScaler3	1947	1601	1	0.0263158	0.402385	
LeafPopulationSizeScaler3	2576	942	1	0.0263158	1.6811	
RootPopulationSizeScaler4	1844	1701	1	0.0263158	0.421278	
LeafPopulationSizeScaler4	2268	1276	1	0.0263158	1.78221	
RootPopulationSizeScaler5	1721	1810	1	0.0263158	0.455739	
LeafPopulationSizeScaler5	2317	1205	1	0.0263158	2.15354	
generation 20000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	5297	0	10	0.263158	none	
ConcentrationScaler	842	749	3	0.0789474	2.43526	
TimeSizeRateMixer	1685	2062	6	0.157895	0.218325	
TimeRootSizeMixer	1849	1999	6	0.157895	0.1749	
EventTimeScaler	8108	6346	1	0.0263158	1.9257	
RootPopulationSizeScaler0	3360	3581	1	0.0263158	0.451495	
LeafPopulationSizeScaler0	4340	2567	1	0.0263158	2.33586	
RootPopulationSizeScaler1	3464	3454	1	0.0263158	0.442485	
LeafPopulationSizeScaler1	4522	2391	1	0.0263158	2.22077	
RootPopulationSizeScaler2	3336	3580	1	0.0263158	0.461615	
LeafPopulationSizeScaler2	4242	2703	1	0.0263158	2.11303	
RootPopulationSizeScaler3	3616	3315	1	0.0263158	0.418725	
LeafPopulationSizeScaler3	4805	2142	1	0.0263158	1.94104	
RootPopulationSizeScaler4	3460	3446	1	0.0263158	0.433476	
LeafPopulationSizeScaler4	4093	2821	1	0.0263158	1.92283	
RootPopulationSizeScaler5	3237	3649	1	0.0263158	0.460135	
LeafPopulationSizeScaler5	4282	2629	1	0.0263158	2.38197	
generation 30000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	8024	0	10	0.263158	none	
ConcentrationScaler	1232	1126	3	0.0789474	2.51276	
TimeSizeRateMixer	2581	3061	6	0.157895	0.219382	
TimeRootSizeMixer	2697	3001	6	0.157895	0.175794	
EventTimeScaler	11937	9917	1	0.0263158	1.98966	
RootPopulationSizeScaler0	4963	5372	1	0.0263158	0.457299	
LeafPopulationSizeScaler0	6240	4045	1	0.0263158	2.45896	
RootPopulationSizeScaler1	5073	5212	1	0.0263158	0.448918	
LeafPopulationSizeScaler1	6481	3813	1	0.0263158	2.34441	
RootPopulationSizeScaler2	4930	5365	1	0.0263158	0.465971	
LeafPopulationSizeScaler2	6041	4280	1	0.0263158	2.18735	
RootPopulationSizeScaler3	5285	5035	1	0.0263158	0.426722	
LeafPopulationSizeScaler3	6917	3427	1	0.0263158	2.09095	
RootPopulationSizeScaler4	5109	5185	1	0.0263158	0.441303	
LeafPopulationSizeScaler4	5863	4455	1	0.0263158	1.99083	
RootPopulationSizeScaler5	4817	5470	1	0.0263158	0.463864	
LeafPopulationSizeScaler5	6176	4103	1	0.0263158	2.50332	
generation 40000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	10660	0	10	0.263158	none	
ConcentrationScaler	1627	1522	3	0.0789474	2.54795	
TimeSizeRateMixer	3510	4128	6	0.157895	0.221077	
TimeRootSizeMixer	3677	4006	6	0.157895	0.178329	
EventTimeScaler	15901	13602	1	0.0263158	2.03405	
RootPopulationSizeScaler0	6528	7220	1	0.0263158	0.459821	
LeafPopulationSizeScaler0	8087	5598	1	0.0263158	2.53242	
RootPopulationSizeScaler1	6676	7019	1	0.0263158	0.452776	
LeafPopulationSizeScaler1	8410	5307	1	0.0263158	2.42801	
RootPopulationSizeScaler2	6508	7203	1	0.0263158	0.468277	
LeafPopulationSizeScaler2	7883	5830	1	0.0263158	2.25078	
RootPopulationSizeScaler3	6975	6766	1	0.0263158	0.433459	
LeafPopulationSizeScaler3	8976	4784	1	0.0263158	2.1926	
RootPopulationSizeScaler4	6719	6998	1	0.0263158	0.445886	
LeafPopulationSizeScaler4	7610	6099	1	0.0263158	2.03288	
RootPopulationSizeScaler5	6355	7327	1	0.0263158	0.46689	
LeafPopulationSizeScaler5	8090	5597	1	0.0263158	2.58382	
generation 50000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	13343	0	10	0.263158	none	
ConcentrationScaler	2012	1948	3	0.0789474	2.5739	
TimeSizeRateMixer	4366	5148	6	0.157895	0.221784	
TimeRootSizeMixer	4523	5088	6	0.157895	0.178168	
EventTimeScaler	19503	17341	1	0.0263158	2.05926	
RootPopulationSizeScaler0	8053	9091	1	0.0263158	0.461545	
LeafPopulationSizeScaler0	9912	7151	1	0.0263158	2.59115	
RootPopulationSizeScaler1	8295	8798	1	0.0263158	0.455988	
LeafPopulationSizeScaler1	10291	6803	1	0.0263158	2.49079	
RootPopulationSizeScaler2	8080	9056	1	0.0263158	0.470165	
LeafPopulationSizeScaler2	9633	7496	1	0.0263158	2.28616	
RootPopulationSizeScaler3	8566	8558	1	0.0263158	0.436743	
LeafPopulationSizeScaler3	10947	6182	1	0.0263158	2.26453	
RootPopulationSizeScaler4	8301	8807	1	0.0263158	0.448251	
LeafPopulationSizeScaler4	9335	7774	1	0.0263158	2.06505	
RootPopulationSizeScaler5	7895	9159	1	0.0263158	0.468374	
LeafPopulationSizeScaler5	9918	7165	1	0.0263158	2.63838	
generation 60000:
name	number_accepted	number_rejected	weight	weight_prob	tuning_parameter
DirichletProcessGibbsSampler	15920	0	10	0.263158	none	
