generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_PopulationA	ln_likelihood_PopulationA	ln_prior_PopulationA	root_height_PopulationA	mutation_rate_PopulationA	freq_1_PopulationA	pop_size_PopulationA	pop_size_PopulationB	pop_size_root_PopulationA	root_height_index_PopulationC	ln_likelihood_PopulationC	ln_prior_PopulationC	root_height_PopulationC	mutation_rate_PopulationC	freq_1_PopulationC	pop_size_PopulationC	pop_size_PopulationD	pop_size_root_PopulationC	root_height_index_PopulationE	ln_likelihood_PopulationE	ln_prior_PopulationE	root_height_PopulationE	mutation_rate_PopulationE	freq_1_PopulationE	pop_size_PopulationE	pop_size_PopulationF	pop_size_root_PopulationE	root_height_index_PopulationG	ln_likelihood_PopulationG	ln_prior_PopulationG	root_height_PopulationG	mutation_rate_PopulationG	freq_1_PopulationG	pop_size_PopulationG	pop_size_PopulationH	pop_size_root_PopulationG	root_height_index_PopulationI	ln_likelihood_PopulationI	ln_prior_PopulationI	root_height_PopulationI	mutation_rate_PopulationI	freq_1_PopulationI	pop_size_PopulationI	pop_size_PopulationJ	pop_size_root_PopulationI	root_height_index_PopulationK	ln_likelihood_PopulationK	ln_prior_PopulationK	root_height_PopulationK	mutation_rate_PopulationK	freq_1_PopulationK	pop_size_PopulationK	pop_size_PopulationL	pop_size_root_PopulationK
0	-4511.88939152436524	92.4024966485265509	6	1.58402653697872831	0	-771.660115916223276	10.3014867902763605	0.0166423898775051732	1	0.5	0.0022458752978088861	0.0022458752978088861	0.00208724026092815427	1	-752.223339285483348	14.5108719070563943	0.0112379895632583309	1	0.5	0.000169923422878937263	0.000169923422878937263	0.000163139496462685901	2	-751.625836094740407	14.397529890978042	0.0054318786841754509	1	0.5	5.39610780069412865e-05	5.39610780069412865e-05	5.95105293126187509e-05	3	-735.430989007785229	13.5526990645977392	0.00801945868903774887	1	0.5	0.00044315273793953065	0.00044315273793953065	0.000379759566534521574	4	-755.648985063932173	12.4656032089152333	0.0080950994487489665	1	0.5	0.00058667893179755739	0.00058667893179755739	0.000455915828483110228	5	-745.300126156200804	12.9248660917817588	0.0100081684853794324	1	0.5	0.000836191277471421074	0.000836191277471421074	0.000737359785138572794
100	-4396.39534767918758	86.010325855684485	3	1.20580937879684225	0	-737.377618245391091	10.5263027100443551	0.000382307661839783252	1	0.5	0.0018460634024812482	0.00246403068806978374	0.00204574607546523105	1	-724.834841121727322	14.5358953119427206	8.35960782981393384e-05	1	0.5	0.000157098969299842965	0.000167144968202129836	0.00015794830087385598	0	-741.579975089301342	14.7521694712268179	0.000382307661839783252	1	0.5	5.72994640732667752e-05	4.77433658916111921e-05	5.08349783701467946e-05	2	-721.992083618368724	13.6465421291297737	0.000558439016874369724	1	0.5	0.000491064384231976897	0.000722351502551026601	0.000590734033057290506	2	-744.523848388109741	13.7979378560385868	0.000558439016874369724	1	0.5	0.000552665792325919645	0.000494173654818617718	0.000526257672075679099	2	-726.08698121628936	13.3801650330154214	0.000558439016874369724	1	0.5	0.000727264682858762626	0.000738158882718538282	0.00070020754072734582
200	-4393.89162864856189	84.5224448615213788	3	5.53646491916443484	0	-732.532181671797275	10.376747782595622	0.000168135148456621727	1	0.5	0.00167168280193354568	0.00164735432496818969	0.00129695745139873182	0	-726.367902835232258	13.591236038378792	0.000168135148456621727	1	0.5	0.000154421015296024014	0.000138704609900162863	0.000174247730528175049	0	-742.005766183714513	14.0604424644232182	0.000168135148456621727	1	0.5	4.18785334969137344e-05	3.29381369164057325e-05	3.07072952295209069e-05	1	-721.66558969473806	13.7314054744112752	0.000215776129895418195	1	0.5	0.000436211619116013273	0.000647537113115609548	0.000554336841718643569	2	-745.243443787945125	13.8376935215329624	0.00219709633327475583	1	0.5	0.000504009510618618926	0.000464177882091052841	0.00045226717571208682	0	-726.076744475135001	13.1540261947264021	0.000168135148456621727	1	0.5	0.000659136242750232079	0.000714754549445281002	0.000754779375977452315
300	-4390.54751659791418	80.3181487483901293	1	1.98921686087314331	0	-729.222076941977775	12.6519815768166417	0.000468943995708686169	1	0.5	0.00119805505193366912	0.000667381663688385919	0.00102662086080050684	0	-727.864672481152752	14.0440524957208925	0.000468943995708686169	1	0.5	0.000400108525812943789	0.00028013267158639478	0.000358838785289011168	0	-742.195547403641058	13.7942060653270744	0.000468943995708686169	1	0.5	7.53310485528765233e-05	1.64116427683842563e-05	3.6572105322086408e-05	0	-720.95841829829169	13.9411098522554386	0.000468943995708686169	1	0.5	0.000298784488048410568	0.000582127016301436213	0.000449089775601601887	0	-745.474583319578869	13.0123659101303026	0.000468943995708686169	1	0.5	0.000961906158400444022	0.000377132168249862901	0.000565995649375192634	0	-724.83221815327181	13.6307268496718308	0.000468943995708686169	1	0.5	0.000164739605576851559	0.000972101028927173979	0.000523358887640579988
400	-4381.4758574819316	77.0997580522438284	1	2.19064014547902186	0	-726.305436955650748	13.5292004170570763	0.000153402127540566859	1	0.5	0.00101937460076366665	0.000259926071267503947	0.000598290008924262607	0	-724.977698776191573	11.1693638265706472	0.000153402127540566859	1	0.5	0.000214807056263055729	0.000359453206837403896	0.000394032955101147799	0	-739.766630036627021	11.61298658868178	0.000153402127540566859	1	0.5	0.00019088322794562297	3.9377768255455901e-05	0.000157187704540058683	0	-720.908083831824683	13.6826114439034772	0.000153402127540566859	1	0.5	0.000801338859995818229	0.00026881554360717885	0.000490292834538875858	0	-745.835617240100078	14.2838549088282001	0.000153402127540566859	1	0.5	0.000351958783405118534	0.000180962530690282686	0.00025019552059889937	0	-723.682390641537609	13.7275311598809786	0.000153402127540566859	1	0.5	0.000342940363154283303	0.000381009507853993367	0.000310828469142403337
500	-4383.60595340791588	82.4038173282579862	1	1.32822355671461878	0	-724.125840599762	14.2694059669759774	0.000225654620554079143	1	0.5	0.000399026907052333387	8.98752457656633568e-05	0.000255406997770918148	0	-725.980894321173309	14.3163722414259222	0.000225654620554079143	1	0.5	0.000299973892203041518	0.000230385856265025488	0.000266194713308249903	0	-739.063115477904262	14.4110747208077363	0.000225654620554079143	1	0.5	0.000260934419325071186	0.000107405357460755582	0.000170271616592742383	0	-721.245662755606418	13.5985521908340843	0.000225654620554079143	1	0.5	0.000340061616314005157	0.000684005489225189014	0.000453911524436943238	0	-747.634068279663893	12.8037041525088497	0.000225654620554079143	1	0.5	0.00150449102318889714	0.000238150014177875848	0.000954350462761073678	0	-725.556371973806563	13.1477445676808671	0.000225654620554079143	1	0.5	8.72591795397613395e-05	0.00152807792203214147	0.000742528961945836358
600	-4378.43813006890196	80.086470170723203	1	3.76434247148532775	0	-723.828977729747294	12.7839086544627829	0.000197279044877413898	1	0.5	0.000263297754620806987	1.94740904452395142e-05	0.000179511364230174595	0	-725.44288277624446	13.5165452665460144	0.000197279044877413898	1	0.5	0.000186516463784105888	0.000978840547210054531	0.000523586187411307648	0	-740.528249628070398	13.5833157134614808	0.000197279044877413898	1	0.5	0.000802536389561769523	0.000408124519486380559	0.000624790995228718298	0	-719.880607789457372	14.257369147572863	0.000197279044877413898	1	0.5	0.000272706707623456414	0.00027818261362876675	0.000282652587099892184	0	-744.806382182941093	14.4161668191131085	0.000197279044877413898	1	0.5	0.000226894112517932661	0.000176699739827968877	0.000205984325742519775	0	-723.951029962441453	13.7911036958283688	0.000197279044877413898	1	0.5	7.69009015617577973e-05	0.000812203814415931452	0.00039930229075668249
700	-4377.6442079617882	82.5926496308715627	1	1.62331720700312498	0	-724.014990307177186	13.8113041853693073	0.000212447036263966189	1	0.5	0.000759407927073578524	3.16856220356753605e-06	0.000415584787069354553	0	-725.792926987001238	13.539159852126609	0.000212447036263966189	1	0.5	0.000295659168073077411	0.000950017999315804743	0.000645045806794435203	0	-739.323002631224426	13.7603420452108782	0.000212447036263966189	1	0.5	0.000618375820376998757	0.000202409220405304596	0.000360717806029819802	0	-719.553083597019963	14.3007600792237888	0.000212447036263966189	1	0.5	0.000263582454368846311	0.000185073841922911496	0.000235012449123533413	0	-745.661649733565014	13.4640933772858382	0.000212447036263966189	1	0.5	0.000755580241998931581	9.00864788290082813e-05	0.000479677493539452655	0	-723.298554705800484	14.1185819571465814	0.000212447036263966189	1	0.5	0.000308040912370337793	0.000294053969811921645	0.000273259717438761862
800	-4382.90033603616484	78.7760544451917042	2	0.567494305863460058	0	-725.237514045603803	12.806232444959285	0.000150141634393103246	1	0.5	0.00168001236021694074	5.31228708847094849e-05	0.000755615857929486847	0	-725.49137585640608	10.6117185865719179	0.000150141634393103246	1	0.5	0.000405245286410202887	0.000546788899106475886	0.000659168753285975821	1	-741.80706863223304	13.6368685435705501	0.000602802238833496755	1	0.5	0.000125506880417087895	0.000996495799645142873	0.000515047587966492039	1	-722.189118219881834	13.0087634791044469	0.000602802238833496755	1	0.5	0.000848305837737555911	0.000410034652716980872	0.000717629835492972993	1	-744.855539607509172	13.5039484372626788	0.000602802238833496755	1	0.5	0.000275503728953431222	0.00107790242357599843	0.000655129888793475838	0	-723.319719674530688	14.2526154367291706	0.000150141634393103246	1	0.5	0.000306621991409412062	0.000211844865859628015	0.000238968631193765596
900	-4379.4177620386854	78.6636992586622341	2	5.74093356517811237	0	-723.954441172845691	14.5602577238936064	0.000169969377471771923	1	0.5	0.000265489394093799741	3.11868988759640071e-05	0.000143510277078349698	0	-726.293653851058934	12.2117290303552988	0.000169969377471771923	1	0.5	0.000729380113974138246	0.00118862484074442405	0.000786668702540668026	0	-739.404238987658687	14.5734114482257038	0.000169969377471771923	1	0.5	0.000203057445310852975	7.46162023401619241e-05	0.000133343451601062278	0	-720.07333450922431	13.9676273444554795	0.000169969377471771923	1	0.5	0.00019396839920648743	0.000340749943750626855	0.000295003677894498627	1	-744.635497557281496	13.4100835024458078	0.00115071630260321915	1	0.5	5.76240640625768198e-05	0.000133974855936219012	0.000116806365292823055	0	-725.05659596061696	9.08594426143586986	0.000169969377471771923	1	0.5	0.000741921418214576997	0.000214779622904161748	0.000708477583300670135
