parameter	burnin	psrf	ess_concat	ess_0
pop_size_PopulationC	300	-	637.1142400834707	637.1142400834707
pop_size_PopulationD	300	-	701.0	701.0
pop_size_root_PopulationC	300	-	701.0	701.0
ln_likelihood_PopulationE	300	-	555.0169242530657	555.0169242530657
root_height_PopulationE	300	-	625.250814644983	625.250814644983
pop_size_PopulationE	300	-	698.574650498901	698.574650498901
pop_size_PopulationF	300	-	636.4795582188642	636.4795582188642
pop_size_root_PopulationE	300	-	701.0	701.0
ln_likelihood_PopulationG	300	-	701.0	701.0
root_height_PopulationG	300	-	701.0	701.0
pop_size_PopulationG	300	-	510.10001501358676	510.10001501358676
pop_size_PopulationH	300	-	701.0	701.0
pop_size_root_PopulationG	300	-	701.0	701.0
ln_likelihood_PopulationI	300	-	701.0	701.0
root_height_PopulationI	300	-	662.4810473373278	662.4810473373278
pop_size_PopulationI	300	-	701.0	701.0
pop_size_PopulationJ	300	-	673.3206531668267	673.3206531668267
pop_size_root_PopulationI	300	-	701.0	701.0
ln_likelihood_PopulationK	300	-	536.7252056172167	536.7252056172167
root_height_PopulationK	300	-	701.0	701.0
pop_size_PopulationK	300	-	701.0	701.0
pop_size_PopulationL	300	-	701.0	701.0
pop_size_root_PopulationK	300	-	639.0536667679461	639.0536667679461
ln_likelihood	400	-	601.0	601.0
concentration	400	-	601.0	601.0
ln_likelihood_PopulationA	400	-	601.0	601.0
root_height_PopulationA	400	-	452.7900759792866	452.7900759792866
pop_size_PopulationA	400	-	601.0	601.0
pop_size_PopulationB	400	-	601.0	601.0
pop_size_root_PopulationA	400	-	601.0	601.0
ln_likelihood_PopulationC	400	-	601.0	601.0
root_height_PopulationC	400	-	435.2646566147925	435.2646566147925
pop_size_PopulationC	400	-	601.0	601.0
pop_size_PopulationD	400	-	601.0	601.0
pop_size_root_PopulationC	400	-	601.0	601.0
ln_likelihood_PopulationE	400	-	361.85048711561035	361.85048711561035
root_height_PopulationE	400	-	436.02046136835645	436.02046136835645
pop_size_PopulationE	400	-	601.0	601.0
pop_size_PopulationF	400	-	586.2043273073772	586.2043273073772
pop_size_root_PopulationE	400	-	601.0	601.0
ln_likelihood_PopulationG	400	-	598.9489344431923	598.9489344431923
root_height_PopulationG	400	-	601.0	601.0
pop_size_PopulationG	400	-	488.555717592637	488.555717592637
pop_size_PopulationH	400	-	601.0	601.0
pop_size_root_PopulationG	400	-	566.2481897938233	566.2481897938233
ln_likelihood_PopulationI	400	-	601.0	601.0
root_height_PopulationI	400	-	601.0	601.0
pop_size_PopulationI	400	-	601.0	601.0
pop_size_PopulationJ	400	-	601.0	601.0
pop_size_root_PopulationI	400	-	601.0	601.0
ln_likelihood_PopulationK	400	-	561.9119788725461	561.9119788725461
root_height_PopulationK	400	-	601.0	601.0
pop_size_PopulationK	400	-	601.0	601.0
pop_size_PopulationL	400	-	601.0	601.0
pop_size_root_PopulationK	400	-	601.0	601.0
ln_likelihood	500	-	501.0	501.0
concentration	500	-	501.0	501.0
ln_likelihood_PopulationA	500	-	501.0	501.0
root_height_PopulationA	500	-	455.4419072411599	455.4419072411599
pop_size_PopulationA	500	-	501.0	501.0
pop_size_PopulationB	500	-	501.0	501.0
pop_size_root_PopulationA	500	-	501.0	501.0
ln_likelihood_PopulationC	500	-	501.0	501.0
root_height_PopulationC	500	-	444.65645887086606	444.65645887086606
pop_size_PopulationC	500	-	482.33914908950464	482.33914908950464
pop_size_PopulationD	500	-	501.0	501.0
pop_size_root_PopulationC	500	-	501.0	501.0
ln_likelihood_PopulationE	500	-	348.467601919643	348.467601919643
