model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,0,0,0,0	0.963333	0.963333	0.025904	987.962
0,1,1,1,1,1	0.0122222	0.975556	0.007527	1.6315
0,0,0,0,0,1	0.00333333	0.978889	0.007413	0.44782
0,0,0,0,1,0	0.00333333	0.982222	0.007378	0.44996
0,0,1,0,0,0	0.00222222	0.984444	0.007296	0.303032
0,0,1,0,0,1	0.00222222	0.986667	0.001834	1.21215
0,1,1,1,1,0	0.00222222	0.988889	0.00183	1.21481
0,0,1,1,0,1	0.00222222	0.991111	0.001253	1.77524
0,1,0,0,0,0	0.00222222	0.993333	0.007468	0.296001
0,1,0,0,1,1	0.00111111	0.994444	0.001203	0.923532
0,1,0,1,1,0	0.00111111	0.995556	0.001214	0.915154
0,0,1,0,1,0	0.00111111	0.996667	0.001808	0.614124
0,0,0,1,0,1	0.00111111	0.997778	0.001841	0.603096
0,1,2,0,0,0	0.00111111	0.998889	0.004734	0.233857
0,1,2,2,2,2	0.00111111	1	0.004817	0.229809
