generation	ln_likelihood	ln_prior	number_of_events	concentration	root_height_index_PopulationA	ln_likelihood_PopulationA	ln_prior_PopulationA	root_height_PopulationA	mutation_rate_PopulationA	freq_1_PopulationA	pop_size_PopulationA	pop_size_PopulationB	pop_size_root_PopulationA	root_height_index_PopulationC	ln_likelihood_PopulationC	ln_prior_PopulationC	root_height_PopulationC	mutation_rate_PopulationC	freq_1_PopulationC	pop_size_PopulationC	pop_size_PopulationD	pop_size_root_PopulationC	root_height_index_PopulationE	ln_likelihood_PopulationE	ln_prior_PopulationE	root_height_PopulationE	mutation_rate_PopulationE	freq_1_PopulationE	pop_size_PopulationE	pop_size_PopulationF	pop_size_root_PopulationE	root_height_index_PopulationG	ln_likelihood_PopulationG	ln_prior_PopulationG	root_height_PopulationG	mutation_rate_PopulationG	freq_1_PopulationG	pop_size_PopulationG	pop_size_PopulationH	pop_size_root_PopulationG	root_height_index_PopulationI	ln_likelihood_PopulationI	ln_prior_PopulationI	root_height_PopulationI	mutation_rate_PopulationI	freq_1_PopulationI	pop_size_PopulationI	pop_size_PopulationJ	pop_size_root_PopulationI	root_height_index_PopulationK	ln_likelihood_PopulationK	ln_prior_PopulationK	root_height_PopulationK	mutation_rate_PopulationK	freq_1_PopulationK	pop_size_PopulationK	pop_size_PopulationL	pop_size_root_PopulationK
0	-4525.84622814969862	89.4349666188843742	6	23.9419988498901262	0	-773.093213066486328	11.761371641092234	0.00483917957466419198	1	0.5	0.00145218345662535483	0.00145218345662535483	0.00129984744970563951	1	-723.719214141969474	14.5359361776012079	0.000710276761352419831	1	0.5	0.000154465678893844196	0.000154465678893844196	0.000155292142257807141	2	-737.378538722419762	14.3413469104813469	0.000611696960933922826	1	0.5	8.25354413942063771e-05	8.25354413942063771e-05	7.15405118982400198e-05	3	-733.331317518566266	10.3384935369035169	0.0069879184761701095	1	0.5	0.000701875650598532755	0.000701875650598532755	0.000470704215334535967	4	-796.87229852390999	12.0948164270536953	0.0108156009458312118	1	0.5	0.000255316871607422474	0.000255316871607422474	0.000181768309309672803	5	-761.451646176346799	8.29645829787672184	0.000370261934245261486	1	0.5	0.00327228256386833576	0.00327228256386833576	0.00329924394826440221
100	-4415.89284868281993	74.3213892189642849	1	3.33522020749464909	0	-745.086886390907694	12.3917578460053512	1.51984495055163788e-05	1	0.5	0.00151316689608660512	0.000897253022794519185	0.00123991988873396091	0	-714.864036227494694	14.3683537637143424	1.51984495055163788e-05	1	0.5	0.00020402689037438742	0.000156300639268460898	0.000163901703086728447	0	-728.415626705590739	13.6583495880325696	1.51984495055163788e-05	1	0.5	0.000148390730433680047	5.40844268627413608e-05	0.000120630619721437052	0	-720.142822265696282	13.255116897632881	1.51984495055163788e-05	1	0.5	0.000661136788594820623	0.000763355018687486629	0.00075979246717698646	0	-757.139825126788423	13.6521374776532678	1.51984495055163788e-05	1	0.5	0.000224479447683295386	0.000232449765367100341	0.000186928008334297225	0	-750.243651966341645	8.8840772388328233	1.51984495055163788e-05	1	0.5	0.00189044870398621186	0.00202706726742459724	0.00141548099889537353
200	-4412.31148984169613	70.9810419350964565	1	1.9839524485890756	0	-744.114849140113165	12.3605641817368515	2.26957603821946974e-05	1	0.5	0.0011827924632159246	0.00101101800153140828	0.000959153469819505914	0	-715.236135396952363	12.6307940295317511	2.26957603821946974e-05	1	0.5	0.000573264324824343183	0.000194062168160035863	0.000291441322418522738	0	-727.964933916486871	14.4093277066896057	2.26957603821946974e-05	1	0.5	0.000314131481244622052	8.54146025800574721e-05	0.000204945968944738487	0	-719.436964039945451	12.5586845867265708	2.26957603821946974e-05	1	0.5	0.000646650838445416093	0.000850211303612381894	0.000608388082281873226	0	-755.839500795398067	12.8923083346468559	2.26957603821946974e-05	1	0.5	0.00030432180466321635	0.000333559931534651698	0.000391174355791172666	0	-749.719106552800326	6.83629087871333496	2.26957603821946974e-05	1	0.5	0.00188136834633824347	0.00219107465911525748	0.00129753563145896264
300	-4409.61686100244242	78.1953006451096257	1	0.765781391862537908	0	-743.608988140211977	11.9328646703853423	5.29606217068411271e-06	1	0.5	0.000894195456803209381	0.000642219289513894925	0.00094680240184831033	0	-714.567577106485714	14.1370689605435604	5.29606217068411271e-06	1	0.5	0.000150037909313255634	0.000124081368320066429	0.000153349085821732315	0	-728.287045677942956	13.2554711320964778	5.29606217068411271e-06	1	0.5	0.000469137690311214987	0.000363730961469320001	0.000484931243658684777	0	-719.352566430308229	13.5173080002125729	5.29606217068411271e-06	1	0.5	0.000335203606536447595	0.000691887587927699443	0.000562672034372700171	0	-754.734167088475147	13.2853754315460897	5.29606217068411271e-06	1	0.5	0.000155250233409618191	0.000925115379571879795	0.000608252571778234124	0	-749.066516559017714	11.7604164295955567	5.29606217068411271e-06	1	0.5	0.00153993490467848422	0.00107796957400707822	0.00111104830096812727
400	-4406.36637063722628	80.6516230547596393	1	0.315356492104306552	0	-742.771666853968668	13.4001684474149627	7.96313603843579052e-06	1	0.5	0.000391750245873221476	0.000990153188157779848	0.000639426848680142669	0	-714.989384110614083	14.1283122157903573	7.96313603843579052e-06	1	0.5	0.000255274773737525001	0.0003562586174339278	0.000321218581723231394	0	-728.127978709432568	13.1835873867077318	7.96313603843579052e-06	1	0.5	0.00052647774366099305	0.000469901552577466314	0.000411286682481876804	0	-718.909744077509686	13.6173719755370826	7.96313603843579052e-06	1	0.5	0.000654774650880122588	0.000114132903203113332	0.000326724930335920794	0	-755.388140692051479	12.810418826870686	7.96313603843579052e-06	1	0.5	0.000467497059620048359	0.00132359694669863747	0.000971078906318607947	0	-746.179456193650367	13.1735992248941045	7.96313603843579052e-06	1	0.5	0.00162274261567660187	4.24786892907684066e-05	0.000840746884318394516
500	-4407.44916608416315	77.4999871814661958	1	1.95669959703577345	0	-742.480982490640145	13.1523527758666123	2.36216222406946029e-06	1	0.5	7.8549185587771899e-05	0.000534201604310100865	0.000368301975824929457	0	-715.089931631789682	12.4096588478827563	2.36216222406946029e-06	1	0.5	0.000200835414044498269	0.000801189860039696472	0.000381052974298768125	0	-728.119755634681837	13.9202683986804754	2.36216222406946029e-06	1	0.5	0.000256737082872617885	0.000542248267593322124	0.000422039669380643067	0	-719.695491998608986	13.6631082479648267	2.36216222406946029e-06	1	0.5	0.00115229579413701788	4.29911525194001879e-05	0.000591732046054383592	0	-754.608274797965123	13.6104869859511428	2.36216222406946029e-06	1	0.5	0.000745586329575413632	0.000452768577007257335	0.000614701109316866806	0	-747.454729530477834	11.4244570411023343	2.36216222406946029e-06	1	0.5	0.00207097967600006812	1.3541211120316541e-05	0.00128050357794458444
600	-4408.80876921103118	81.2362086827226193	1	0.714541928514935365	0	-742.405866671885406	13.4642957307613376	9.83876301866233618e-07	1	0.5	6.34029658680088646e-05	0.000707214108092993929	0.000320413008584024682	0	-714.906340838400865	13.8986724351941273	9.83876301866233618e-07	1	0.5	0.000449743019819271882	0.00018084340988883555	0.000346349190097091795	0	-727.935932359038588	14.006828880438043	9.83876301866233618e-07	1	0.5	0.000415997790954527008	0.000203653790311414954	0.00027488460364572426	0	-719.520268366897881	13.7746501404624553	9.83876301866233618e-07	1	0.5	0.000920937643874399146	1.22352784171765618e-05	0.000494367211984210681	0	-756.490579259601873	11.8741215943848726	9.83876301866233618e-07	1	0.5	0.00142562360283358556	0.000869753506180316648	0.00132441621340289618	0	-747.549781715205995	13.882320493453923	9.83876301866233618e-07	1	0.5	0.000641018485615885212	2.01791980081532471e-05	0.00036227950260788827
700	-4409.05607202012652	77.5316047114651496	1	3.30069876925030359	0	-743.149681460261945	12.2705840419766528	3.15982644472563281e-06	1	0.5	0.00129352618309730373	0.000719980027512972316	0.000842864973938775358	0	-714.661919560434853	14.2688164671559363	3.15982644472563281e-06	1	0.5	0.000450991735457896873	9.35696433310093394e-05	0.000255244962320882551	0	-729.135026243691868	12.8869818253390562	3.15982644472563281e-06	1	0.5	0.000140797370543087222	0.00110728735930095681	0.000722955307934761084	0	-719.614983301206735	13.4895870164768645	3.15982644472563281e-06	1	0.5	0.000917056784986353232	3.66271430174426493e-05	0.000531007113771995954	0	-754.611110556838184	13.7360798143818652	3.15982644472563281e-06	1	0.5	0.000253777239563386116	0.000868930981626904074	0.000544934927859704716	0	-747.883350897693276	12.7377213947029837	3.15982644472563281e-06	1	0.5	0.000541980904606805328	0.000516209054630588794	0.000634263829680789385
800	-4412.28750970857436	76.2139194738371799	1	1.5300569084316149	0	-742.970101564423089	11.4447405729975529	1.52963302232603072e-05	1	0.5	0.000369185715165896457	0.000629444762577022741	0.000351271748650074989	0	-717.906451674848086	12.2452370238160899	1.52963302232603072e-05	1	0.5	0.000830594140100326126	0.00123402710513935096	0.000867420874389553424	0	-730.171014286097147	12.3196871581141512	1.52963302232603072e-05	1	0.5	0.00107122255774453148	0.00105573916143150964	0.000912487489816478955	0	-718.7094699146229	13.8526541724792445	1.52963302232603072e-05	1	0.5	0.00044862410205955748	0.000413781865776102883	0.000390799630356585719	0	-755.095978119028928	13.2349084180692191	1.52963302232603072e-05	1	0.5	0.000735013219663973607	0.000515840103099818987	0.000691930301145637504	0	-747.434494149554553	13.4154885356511411	1.52963302232603072e-05	1	0.5	0.000318713620313743225	0.000532334326032659288	0.000485385756231478712
900	-4412.9646573288137	78.1378725692710958	1	0.643371216540139956	0	-743.503770958307655	12.7138270393615613	9.68641174794650899e-06	1	0.5	0.0011834637241621268	0.00031471381629447515	0.000860154008631636006	0	-715.510169116324732	13.8626967771169998	9.68641174794650899e-06	1	0.5	0.00024204973607132695	0.000695920115805092232	0.000437176154312668712	0	-727.896941049423049	14.2621805241962036	9.68641174794650899e-06	1	0.5	0.000407057959629054391	0.000188994315053814472	0.00028898142689614783	0	-719.536965755543179	13.1006628293203526	9.68641174794650899e-06	1	0.5	0.000787541309197349799	0.000600015491220856926	0.000599449939887296735	0	-756.296688349513602	11.8964370053733806	9.68641174794650899e-06	1	0.5	0.000681716919538371733	0.00141404096809844655	0.00123262552984866364	0	-750.220122099700916	11.9345897767511886	9.68641174794650899e-06	1	0.5	0.00142063268000795144	0.00150111808449570694	0.00141203818228289256
