Run	Gene_Length	Population_Size	Mutation_Rate	Samples_Simulated_Per_Pop	True_Number_Events	True_Divergence_PopA_PopB	True_Divergence_PopC_PopD	True_Divergence_PopE_PopF	True_Divergence_PopG_PopH	True_Divergence_PopI_PopJ	True_Divergence_PopK_PopL	Prob_1_Event	Prob_2_Events	Prob_3_Events	Prob_4_Events	Prob_5_Events	Prob_6_Events	Mean_Divergence_PopA_PopB	Mean_Divergence_PopC_PopD	Mean_Divergence_PopE_PopF	Mean_Divergence_PopG_PopH	Mean_Divergence_PopI_PopJ	Mean_Divergence_PopK_PopL
0	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.964036	0.033966	0.000999	0.000000	0.000000	0.000999	0.000011	0.000011	0.000011	0.000011	0.000013	0.000011
1	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.946054	0.050949	0.000999	0.000999	0.000000	0.000999	0.000009	0.000009	0.000019	0.000009	0.000009	0.000021
2	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.948052	0.047952	0.002997	0.000000	0.000000	0.000999	0.000016	0.000016	0.000016	0.000020	0.000016	0.000018
3	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.862138	0.129870	0.004995	0.001998	0.000000	0.000999	0.000023	0.000038	0.000023	0.000033	0.000054	0.000023
4	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.949051	0.049950	0.000000	0.000000	0.000000	0.000999	0.000019	0.000019	0.000020	0.000019	0.000019	0.000022
5	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.977023	0.020979	0.000999	0.000000	0.000000	0.000999	0.000005	0.000005	0.000005	0.000005	0.000006	0.000006
6	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.953047	0.042957	0.002997	0.000000	0.000000	0.000999	0.000027	0.000021	0.000021	0.000020	0.000020	0.000021
7	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.937063	0.060939	0.000999	0.000000	0.000000	0.000999	0.000013	0.000015	0.000012	0.000024	0.000012	0.000016
8	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.943057	0.050949	0.004995	0.000000	0.000000	0.000999	0.000021	0.000026	0.000013	0.000014	0.000014	0.000014
9	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.976024	0.022977	0.000000	0.000000	0.000000	0.000999	0.000009	0.000008	0.000008	0.000009	0.000008	0.000009
10	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.944056	0.052947	0.001998	0.000000	0.000000	0.000999	0.000009	0.000009	0.000016	0.000025	0.000009	0.000009
11	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.950050	0.046953	0.001998	0.000000	0.000000	0.000999	0.000029	0.000021	0.000024	0.000023	0.000021	0.000022
12	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.954046	0.041958	0.001998	0.000999	0.000000	0.000999	0.000021	0.000016	0.000015	0.000015	0.000021	0.000015
13	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.929071	0.069930	0.000000	0.000000	0.000000	0.000999	0.000012	0.000013	0.000012	0.000030	0.000013	0.000018
14	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.880120	0.108891	0.009990	0.000000	0.000000	0.000999	0.000023	0.000023	0.000038	0.000021	0.000035	0.000044
15	1000	10000	1e-8	10	6	10000	90000	170000	250000	330000	410000	0.977023	0.020979	0.000999	0.000000	0.000000	0.000999	0.000009	0.000009	0.000009	0.000009	0.000009	0.000009
