Run	Prob_1_Event	Prob_2_Events	Prob_3_Events	Prob_4_Events	Prob_5_Events	Prob_6_Events	Mean_Divergence_PopA_PopB	Mean_Divergence_PopC_PopD	Mean_Divergence_PopE_PopF	Mean_Divergence_PopG_PopH	Mean_Divergence_PopI_PopJ	Mean_Divergence_PopK_PopL	Gene_Length	Population_Size	Mutation_Rate	Samples_Simulated_Per_Pop	True_Number_Events	True_Divergence_PopA_PopB	True_Divergence_PopC_PopD	True_Divergence_PopE_PopF	True_Divergence_PopG_PopH	True_Divergence_PopI_PopJ	True_Divergence_PopK_PopL
1	0	0.021978	0.133866	0.30969	0.346653	0.187812	0.000675	0.001755	0.003021	0.005769	0.005125	0.007137	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
2	0	0.042957	0.210789	0.337662	0.280719	0.127872	0.000733	0.001592	0.002596	0.002989	0.001727	0.009131	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
3	0	0.01998	0.103896	0.280719	0.366633	0.228771	0.000636	0.00208	0.00359	0.008464	0.007359	0.008469	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
4	0	0.056943	0.180819	0.316683	0.302697	0.142857	0.000776	0.002138	0.002084	0.004132	0.006096	0.005927	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
5	0	0.001998	0.096903	0.277722	0.393606	0.22977	0.000118	0.001817	0.007062	0.006388	0.006631	0.009308	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
6	0	0.005994	0.100899	0.254745	0.37962	0.258741	0.000655	0.002877	0.003985	0.004435	0.008051	0.010448	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
7	0	0.100899	0.254745	0.324675	0.227772	0.091908	0.000738	0.001353	0.001676	0.005569	0.001294	0.006209	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
8	0	0.008991	0.098901	0.27972	0.395604	0.216783	0.000721	0.002613	0.001576	0.005565	0.006234	0.009579	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
9	0	0.010989	0.073926	0.280719	0.391608	0.242757	0.000691	0.002208	0.004153	0.004953	0.009205	0.009246	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
10	0	0.046953	0.172827	0.324675	0.333666	0.121878	0.000787	0.000961	0.003209	0.004299	0.006145	0.006518	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
11	0	0.003996	0.085914	0.267732	0.411588	0.230769	0.000755	0.001231	0.002539	0.00647	0.002758	0.011631	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
12	0	0.210789	0.325674	0.283716	0.150849	0.028971	0.000129	0.003712	0.003638	0.004272	0.003835	0.003719	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
13	0	0.006993	0.122877	0.30969	0.364635	0.195804	0.000656	0.001987	0.005267	0.00879	0.000606	0.009324	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
14	0	0.081918	0.218781	0.328671	0.270729	0.0999	0.000128	0.004762	0.005489	0.005627	0.005556	0.007811	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
15	0.000999	0.092907	0.23976	0.317682	0.248751	0.0999	0.000572	0.00183	0.004858	0.004879	0.00461	0.00542	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
16	0	0.046953	0.167832	0.293706	0.323676	0.167832	0.000526	0.000701	0.004544	0.00537	0.007028	0.008178	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
17	0	0.025974	0.153846	0.303696	0.348651	0.167832	0.000724	0.002325	0.001538	0.004978	0.007467	0.003914	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
18	0.000999	0.023976	0.130869	0.282717	0.390609	0.170829	0.000716	0.002092	0.004677	0.005455	0.002703	0.007653	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
19	0	0.018981	0.106893	0.284715	0.396603	0.192807	0.000601	0.00271	0.003314	0.005484	0.005431	0.008394	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
20	0	0.113886	0.241758	0.296703	0.251748	0.095904	0.000539	0.000892	0.005785	0.005651	0.007122	0.006049	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
21	0	0.007992	0.093906	0.262737	0.395604	0.23976	0.000822	0.001541	0.002551	0.005092	0.009302	0.009381	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
22	0	0.00999	0.102897	0.257742	0.386613	0.242757	0.00066	0.001491	0.005139	0.004339	0.009378	0.008409	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
23	0	0.024975	0.123876	0.296703	0.354645	0.1998	0.00057	0.000885	0.002504	0.006931	0.008843	0.008218	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
24	0	0.027972	0.15984	0.338661	0.346653	0.126873	0.000309	0.000309	0.004347	0.007554	0.004966	0.0092	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
25	0	0.018981	0.131868	0.298701	0.372627	0.177822	0.000564	0.0021	0.003127	0.006218	0.005826	0.00739	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
26	0	0.0999	0.225774	0.310689	0.25974	0.103896	0.000711	0.001689	0.004992	0.005133	0.005887	0.005678	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
27	0.001998	0.051948	0.20979	0.303696	0.305694	0.126873	0.000695	0.002781	0.004098	0.003291	0.005981	0.005627	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
28	0	0.008991	0.093906	0.284715	0.385614	0.226773	0.000702	0.002216	0.004314	0.003257	0.004806	0.010435	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
29	0	0.064935	0.192807	0.314685	0.291708	0.135864	0.000743	0.001157	0.005094	0.003432	0.006032	0.00632	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
30	0	0.011988	0.0999	0.2997	0.366633	0.221778	0.000654	0.00229	0.00345	0.002162	0.005192	0.010132	1000	10000	1.00E-08	10	6	10000	170000	330000	490000	650000	810000
