Run	Gene_Length	Population_Size	Mutation_Rate	Prob_1_Event	Prob_2_Events	Prob_3_Events	Prob_4_Events	Prob_5_Events	Prob_6_Events	Mean_Divergence_PopA_PopB	Mean_Divergence_PopC_PopD	Mean_Divergence_PopE_PopF	Mean_Divergence_PopG_PopH	Mean_Divergence_PopI_PopJ	Mean_Divergence_PopK_PopL	Gene_Length	Population_Size	Mutation_Rate	Samples_Simulated_Per_Pop	True_Number_Events	True_Divergence_PopA_PopB	True_Divergence_PopC_PopD	True_Divergence_PopE_PopF	True_Divergence_PopG_PopH	True_Divergence_PopI_PopJ	True_Divergence_PopK_PopL
1	X	Y	Z	0.508492	0.318681	0.123876	0.03996	0.007992	0.000999	0.000554	0.000507	0.000528	0.000525	0.000778	0.000671	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
2	X	Y	Z	0.314685	0.373626	0.218781	0.067932	0.022977	0.001998	0.000686	0.00033	0.00061	0.000431	0.000877	0.000475	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
3	X	Y	Z	0.66034	0.247752	0.072927	0.013986	0.003996	0.000999	0.000542	0.000551	0.000626	0.000527	0.000524	0.000561	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
4	X	Y	Z	0.182817	0.471528	0.247752	0.073926	0.018981	0.004995	0.000547	0.000696	0.000548	0.001862	0.000536	0.000682	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
5	X	Y	Z	0.509491	0.304695	0.133866	0.040959	0.007992	0.002997	0.000653	0.000582	0.000603	0.000826	0.000799	0.000595	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
6	X	Y	Z	0.37962	0.325674	0.191808	0.073926	0.021978	0.006993	0.000994	0.001378	0.000884	0.001347	0.0011	0.000988	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
7	X	Y	Z	0.28971	0.401598	0.21978	0.070929	0.013986	0.003996	0.00049	0.001325	0.000485	0.000481	0.00062	0.000693	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
8	X	Y	Z	0.619381	0.244755	0.0999	0.026973	0.007992	0.000999	0.000648	0.00065	0.000611	0.000577	0.000685	0.000681	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
9	X	Y	Z	0.567433	0.307692	0.090909	0.025974	0.004995	0.002997	0.000411	0.000503	0.000508	0.000351	0.000518	0.000443	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
10	X	Y	Z	0.501499	0.318681	0.128871	0.038961	0.00999	0.001998	0.000661	0.000678	0.000566	0.000547	0.000556	0.000835	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
11	X	Y	Z	0.671329	0.255744	0.055944	0.014985	0.000999	0.000999	0.000432	0.000311	0.00032	0.000313	0.000338	0.00034	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
12	X	Y	Z	0.654346	0.236763	0.084915	0.01998	0.000999	0.002997	0.000569	0.000628	0.000599	0.0006	0.000559	0.000631	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
13	X	Y	Z	0.542458	0.306693	0.0999	0.036963	0.010989	0.002997	0.00068	0.000806	0.000772	0.000664	0.000779	0.000843	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
14	X	Y	Z	0.472527	0.333666	0.142857	0.040959	0.008991	0.000999	0.00075	0.000512	0.000374	0.000403	0.000367	0.000362	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
15	X	Y	Z	0.732268	0.20979	0.048951	0.006993	0.000999	0.000999	0.000393	0.000359	0.000364	0.000356	0.000367	0.000367	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
16	X	Y	Z	0.699301	0.228771	0.060939	0.006993	0.002997	0.000999	0.000392	0.00038	0.000386	0.000457	0.000372	0.000446	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
17	X	Y	Z	0.64036	0.271728	0.065934	0.015984	0.004995	0.000999	0.000406	0.000471	0.000403	0.000484	0.000417	0.000394	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
18	X	Y	Z	0.631369	0.258741	0.084915	0.020979	0.002997	0.000999	0.000825	0.000827	0.00084	0.000813	0.000804	0.00084	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
19	X	Y	Z	0.641359	0.273726	0.067932	0.011988	0.003996	0.000999	0.00041	0.000408	0.000474	0.000425	0.000473	0.000486	1000	10000	1.00E-08	10	1	40000	40000	40000	40000	40000	40000
