parameter	burnin	psrf	ess_concat	ess_0
ln_likelihood	1	-	1000.0	1000.0
concentration	1	-	1000.0	1000.0
ln_likelihood_PopulationA	1	-	860.7818884594848	860.7818884594848
root_height_PopulationA	1	-	799.4166557085333	799.4166557085333
pop_size_PopulationA	1	-	908.3306863351708	908.3306863351708
pop_size_PopulationB	1	-	944.4544635251863	944.4544635251863
pop_size_root_PopulationA	1	-	1000.0	1000.0
ln_likelihood_PopulationC	1	-	980.1035663910804	980.1035663910804
root_height_PopulationC	1	-	1000.0	1000.0
pop_size_PopulationC	1	-	1000.0	1000.0
pop_size_PopulationD	1	-	1000.0	1000.0
pop_size_root_PopulationC	1	-	1000.0	1000.0
ln_likelihood_PopulationE	1	-	976.4954640251283	976.4954640251283
root_height_PopulationE	1	-	1000.0	1000.0
pop_size_PopulationE	1	-	767.0820266565856	767.0820266565856
pop_size_PopulationF	1	-	1000.0	1000.0
pop_size_root_PopulationE	1	-	790.0281451888304	790.0281451888304
ln_likelihood_PopulationG	1	-	600.9739468135971	600.9739468135971
root_height_PopulationG	1	-	968.2166156379984	968.2166156379984
pop_size_PopulationG	1	-	827.5081438268733	827.5081438268733
pop_size_PopulationH	1	-	1000.0	1000.0
pop_size_root_PopulationG	1	-	957.4437432068493	957.4437432068493
ln_likelihood_PopulationI	1	-	1000.0	1000.0
root_height_PopulationI	1	-	1000.0	1000.0
pop_size_PopulationI	1	-	1000.0	1000.0
pop_size_PopulationJ	1	-	834.2694247282024	834.2694247282024
pop_size_root_PopulationI	1	-	1000.0	1000.0
ln_likelihood_PopulationK	1	-	1000.0	1000.0
root_height_PopulationK	1	-	1000.0	1000.0
pop_size_PopulationK	1	-	940.0229351324383	940.0229351324383
pop_size_PopulationL	1	-	939.7280829784412	939.7280829784412
pop_size_root_PopulationK	1	-	1000.0	1000.0
ln_likelihood	100	-	901.0	901.0
concentration	100	-	901.0	901.0
ln_likelihood_PopulationA	100	-	725.9368272475804	725.9368272475804
root_height_PopulationA	100	-	881.1340125610884	881.1340125610884
