model	post_prob	cumulative_post_prob	prior_prob	bf
0,0,0,0,0,0	0.361111	0.361111	0.025995	21.1781
0,0,1,0,0,0	0.195556	0.556667	0.007399	32.6119
0,0,1,1,0,0	0.0266667	0.583333	0.001799	15.2018
0,0,1,0,0,2	0.02	0.603333	0.004761	4.26612
0,1,1,1,1,1	0.0188889	0.622222	0.007388	2.58667
0,0,1,0,2,0	0.0177778	0.64	0.004769	3.77715
0,0,1,2,0,0	0.0177778	0.657778	0.004751	3.79153
0,0,0,0,1,0	0.0166667	0.674444	0.007373	2.28186
0,0,0,1,0,0	0.0155556	0.69	0.00738	2.1253
0,0,1,0,0,1	0.0133333	0.703333	0.001817	7.42375
0,1,2,0,0,0	0.0133333	0.716667	0.004661	2.88576
0,0,1,1,0,1	0.0122222	0.728889	0.001221	10.1215
0,1,1,1,0,1	0.0111111	0.74	0.001845	6.07871
0,0,1,2,0,2	0.0111111	0.751111	0.001626	6.89895
0,0,0,0,0,1	0.01	0.761111	0.007479	1.34048
0,1,2,1,1,1	0.00777778	0.768889	0.004724	1.65151
0,1,2,1,0,1	0.00666667	0.775556	0.001585	4.22762
0,1,1,0,0,1	0.00666667	0.782222	0.00123	5.44972
0,0,1,0,2,3	0.00555556	0.787778	0.006397	0.867728
0,0,1,0,1,0	0.00555556	0.793333	0.001814	3.07412
0,1,2,0,1,0	0.00555556	0.798889	0.001532	3.64101
0,1,0,0,0,0	0.00555556	0.804444	0.007459	0.743387
0,0,0,1,0,1	0.00555556	0.81	0.001817	3.06904
0,1,1,0,0,0	0.00555556	0.815556	0.001834	3.04054
0,0,1,1,1,1	0.00444444	0.82	0.001843	2.41783
0,1,2,3,1,1	0.00444444	0.824444	0.006431	0.689718
0,1,2,1,1,3	0.00444444	0.828889	0.006358	0.697688
0,1,2,2,0,1	0.00444444	0.833333	0.00076	5.8696
0,1,2,3,1,0	0.00444444	0.837778	0.003196	1.39237
0,0,1,1,1,0	0.00444444	0.842222	0.001238	3.60158
0,0,1,1,0,2	0.00444444	0.846667	0.001558	2.86093
0,1,1,1,0,0	0.00444444	0.851111	0.001239	3.59867
